Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
IMPERIAL POLK  FL  CHAPTER ONCOLOGY NURSING SOCIETY,,1500,,,,,,,,,,,,,1500
Lecture Program,,1500,,,,,,,,,,,,,1500
INDIAN AMERICAN MEDICAL ASSN,,1500,,,,,,,,,,,,,1500
Lecture Programs,,1500,,,,,,,,,,,,,1500
INDIAN MEDICAL ASSOCIATION OF NEW ENGLAND,,,,,,,1000,,,,,,,,1000
Conventions,,,,,,,1000,,,,,,,,1000
INDIAN MEDICAL ASSOCIATION OF SOUTHERN CALIFORNIA,,,,,,,,,,,5000,,,,5000
Medical Ed,,,,,,,,,,,5000,,,,5000
INDIANA ACADEMY OF FAMILY PHYSICIANS,,1200,1200,,,,,,,,,,,,2400
Conventions,,1200,1200,,,,,,,,,,,,2400
INDIANA ACADEMY OF PHYSICIAN ASSIS,350,,,,,,,,,,750,750,,,1850
Conventions,350,,,,,,,,,,750,750,,,1850
INDIANA ASSOC OF OSTEOPATHIC PHYSICIANS & SURGEONS INC,3850,550,3000,900,550,550,3050,,2500,,700,1450,1400,,18500
Conventions,,550,,900,,550,550,,,,700,1450,1400,,6100
Lecture Program,3000,,,,,,,,,,,,,,3000
ManagedCare FF,850,,,,,,,,,,,,,,850
Medical Ed,,,3000,,550,,2500,,2500,,,,,,8550
INDIANA ASSOCIATION OF CHIEFS OF POLICE,,1350,,,,,,,,,,,,,1350
Analgesic,,675,,,,,,,,,,,,,675
LELE,,675,,,,,,,,,,,,,675
INDIANA SHERIFFS ASSN INC,,400,,,,,,,,,,,,,400
LELE,,400,,,,,,,,,,,,,400
INDIANA SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,,,1500,,,,,,,,,,,,1500
Medical Ed,,,1500,,,,,,,,,,,,1500
INDIANA STATE MEDICAL ASSN,6489.72,,,,,,,,,,,1200,,,7689.72
Conventions,,,,,,,,,,,,1200,,,1200
Lecture Program,3500,,,,,,,,,,,,,,3500
Market Strategies,2989.72,,,,,,,,,,,,,,2989.72
INLAND NORTHWEST ACADEMY OF FAMILY PHYSICIANS,250,800,,,,,,,,,,1250,,,2300
Conventions,,800,,,,,,,,,,1250,,,2050
Sales Force,250,,,,,,,,,,,,,,250
INTERNATIONAL ASSOC FOR HOSPICE & PALLIATIVE CARE,,20000,20000,30000,10000,20000,25000,26500,,,,,,,151500
Pur Pharma Fund,,20000,20000,30000,,,,,,,,,,,70000
St. Gov Leg  Aff,,,,,10000,20000,25000,26500,,,,,,,81500
INTERNATIONAL ASSOCIATION FOR THE STUDY OF PAIN,525,20175,350,,,1000,34480.61,,,,,,,,56530.61
Analgesic,,175,175,,,,4257.07,,,,,,,,4607.07
Clin Data OP Tec,175,,,,,,,,,,,,,,175
Clin Pln CMgmt,175,,,,,,,,,,,,,,175
Clinical Rsch 3,175,,175,,,,,,,,,,,,350
Conventions,,,,,,,29223.54,,,,,,,,29223.54
S&P Adj,,20000,,,,,,,,,,,,,20000
St. Gov Leg  Aff,,,,,,1000,1000,,,,,,,,2000
INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,4920,12100,937.5,,10557,,21930,45135,,,5000,,5000,,105579.5
Analgesic,2320,10000,,,,,,,,,,,,,12320
Corp.Security,,2000,,,,,,,,,,,5000,,7000
Direct Mfg O_H,100,,,,,,,,,,,,,,100
LELE,,,937.5,,10557,,21930,45135,,,5000,,,,83559.5
Medical Ed,2500,,,,,,,,,,,,,,2500
Security Rhodes,,100,,,,,,,,,,,,,100
INTERNATIONAL NARCOTIC ENFORCE OFFICERS ASSOC INC,625,1200,,,,,,,,,1200,,,,3025
General Counsel,,,,,,,,,,,1200,,,,1200
Pharmaceutics,,1200,,,,,,,,,,,,,1200
Sales Admin,625,,,,,,,,,,,,,,625
INTERNATIONAL SOCIETY FOR PHARMACOEPIDEMIOLOGY,,,,,,,,,,3500,3750,3750,,,11000
Analgesic,,,,,,,,,,3500,,,,,3500
Medical Ed,,,,,,,,,,,3750,3750,,,7500
INTERNATIONAL SOCIETY OF PSYCHIATRIC MENTAL HEALTH NURS,7500,,,,,,,,,,,,,,7500
Medical Ed,7500,,,,,,,,,,,,,,7500
INTERSTITIAL CYSTITIS ASSOCIATION OF AMERICA,5000,5000,5000,,,,,10000,52500,,35000,,10000,,122500
