Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Conventions,,250,,,,,,,,,,,,,250
WEST KENTUCKY ONCOLOGY NURSING SOCIETY,,1700,,,,,,,,,,,,,1700
Lecture Programs,,1700,,,,,,,,,,,,,1700
WEST MICHIGAN CHRONIC FATIGUE,,,,,,,,,,,,8500,10000,,18500
St. Gov Leg  Aff,,,,,,,,,,,,8500,10000,,18500
WEST VIRGINIA ACADEMY OF FAMILY PHYSICIANS,,3295,895,,2500,,,,,,,3500,3500,1000,14690
Conventions,,795,895,,,,,,,,,,,1000,2690
Lecture Program,,2500,,,,,,,,,,,,,2500
ManagedCare FF,,,,,1500,,,,,,,,,,1500
Medical Ed,,,,,,,,,,,,3500,3500,,7000
St. Gov Leg  Aff,,,,,1000,,,,,,,,,,1000
WEST VIRGINIA ASSOC OF PHYSICANS ASSISTANTS,,2500,500,,,,,,,,,,,,3000
Conventions,,,500,,,,,,,,,,,,500
Lecture Program,,2500,,,,,,,,,,,,,2500
WEST VIRGINIA ASSOCIATION OF DIRECTORS OF NURSING,300,,,,,,,,,,,,,,300
Conventions,300,,,,,,,,,,,,,,300
WEST VIRGINIA BOARD OF PHARMACY,,,1000,,,,,,,800,1500,2400,2400,,8100
Analgesic,,,1000,,,,,,,,,,,,1000
General Counsel,,,,,,,,,,800,1500,2400,2400,,7100
WEST VIRGINIA PHARMACISTS ASSOC,2000,750,,,,,,,,,,,,,2750
Conventions,,750,,,,,,,,,,,,,750
Lecture Program,200,,,,,,,,,,,,,,2000
WEST VIRGINIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,2750,,,,,500,,,,,,,,,3250
Conventions,,,,,,500,,,,,,,,,500
Lecture Program,2750,,,,,,,,,,,,,,2750
WEST VIRGINIA STATE HEALTH DEPT WEST VIRGINIA BOARD OF MEDICINE,,,97.75,,,,,,,,,,,,97.75
General Counsel,,,97.75,,,,,,,,,,,,97.75
WEST VIRGINIA STATE MEDICAL ASSOCIATION,1600,3750,,,,,,,,,1250,,,,6600
Conventions,,,,,,,,,,,1250,,,,1250
ManagedCare FF,1600,,,,,,,,,,,,,,1600
Market Strategies,,3750,,,,,,,,,,,,,3750
WESTERN MASSACHUSETTS CHAPTER OF THE ONCOLOGY NURSIN,250,,,,,,,,,,,,,,250
Lecture Program,250,,,,,,,,,,,,,,250
WESTERN MICHIGAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,,2000,,,,,,,,,,,,,2000
Lecture Program,,2000,,,,,,,,,,,,,2000
WESTERN NEW YORK ONCOLOGY NURSING SOCIETY,,250,,,,,,,,,,,,,250
Conventions,,250,,,,,,,,,,,,,250
WESTERN NEW YORK PHYSICIAN ASSISTANT ASSOC,,,,,,,,300,325,,,,,,625
Conventions,,,,,,,,300,325,,,,,,625
WESTERN PAIN SOCIETY,,,,,,2500,15000,22500,15000,15000,15000,15000,,,100000
Medical Ed,,,,,,,15000,15000,15000,15000,15000,15000,,,90000
St. Gov Leg  Aff,,,,,,2500,,7500,,,,,,,10000
WISCONSIN ACADEMY OF FAMILY PHYSICIANS,5000,1500,,,,,,,,,,,,,6500
Lecture Program,5000,1500,,,,,,,,,,,,,6500
WISCONSIN ACADEMY OF PHYSICIAN ASSISTANTS,400,1425,,,,,,,,,,1500,750,750,4825
Conventions,,1425,,,,,,,,,,1500,750,750,4425
Sales Force,400,,,,,,,,,,,,,,400
WISCONSIN ASSOCIATION OF MEDICAL DIRECTORS,300,350,,,,,,,,,,500,,,1150
Conventions,,,,,,,,,,,,500,,,500
Lecture Program,300,,,,,,,,,,,,,,300
ManagedCare FF,,350,,,,,,,,,,,,,350
WISCONSIN ASSOCIATION OF NURSE ANESTHETISTS,300,300,,,,,,,,,,,,,600
Conventions,,300,,,,,,,,,,,,,300
Lecture Program,300,,,,,,,,,,,,,,300
WISCONSIN NURSES ASSOCIATION,,400,,,,,,,,,,450,400,,1250
Conventions,,400,,,,,,,,,,450,400,,1250
WISCONSIN SOCIETY OF ANESTHESIOLOGIST,250,,,,,,,,,,,,,,250
Medical Ed,250,,,,,,,,,,,,,,250
WISCONSIN SOCIETY OF PHYSICAL MEDICINE AND REHABILITATIO,400,,,,,,,,,300,,,,,700
