Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Clinical Rsch 3,,,,,,,,,,,25000,,,,25000
Conventions,9000,27000,39600,,12900,28500,30000,66500,21000,57500,30000,10000,5000,15000,352000
HECON,150,,,,,,,,,,,,,,150
Market Strategies,400,,,,,,,,,,,,,,400
Marketing,,,5000,42000,,,,,,,,,,,47000
Medical Ed,65000,,90000,14000,2000,2000,2000,6515,40000,33465,15000,23480,25000,,318460
Medical Servs,1611.45,,,,,,,,,,,,,,1611.45
Mkt Intrnt Strt,,44520,,,,,,,,,,,,,44520
Neurarm,190,,,,,,,,,,,,,,190
Other,69000,-2520,40000,,,,,,,,,,,,106480
Par Against,,380967.3,95002.5,92750,40767.5,,10550,,,,,,,,620037.3
Professional Rels,,5000,42000,5000,,,,,,,,,,,52000
Promotions RX,236923.7,150000,,,,,,,,,,,,,386923.7
Public Affairs,,695,,,,,,,,,,,,,695
St. Gov Leg  Aff,,,,,47190,50190,78880,70000,70000,55000,53465,60000,60000,,544725
AMERICAN PHARMACISTS ASSN FOUND,,10000,828800,,20000,,,,12000,26000,,,,,896800
Conventions,,,28800,,,,,,,,,,,,28800
Medical Ed,,10000,,,20000,,,,12000,26000,,,,,68000
Prof Relations,,,800000,,,,,,,,,,,,800000
AMERICAN PHARMACISTS ASSOCIATION,894985,839999.65,,1014800,193000,152522,138028,95300,45400,105000,70000,41250,50000,34300,3674584.65
Conventions,56800,28800,,,,,,,29400,,,,,34300,149300
Executive Admin,,205,,,,,,,,,,,,,205
Market Strategies,,750439.65,,,42000,,,,,,,,,,792439.65
Medical Ed,63000,59500,,414800,,35300,100000,47500,,20000,,11250,50000,,801350
Merchandise OTC,,,,,,12500,,,,,,,,,12500
Mkt Intrnt Strt,20000,,,,,,,,,,,,,,20000
Nonclinical Admn,195,205,,,,,,,,,,,,,400
Pharm Tech,195,850,,,,,,,,,,,,,1045
Pharmaceutics,2550,,,,,,,,,,,,,,2550
Professional Rels,,,,600000,,,,,,,,,,,600000
Promotions RX,752245,,,,,,,,,,,,,,752245
Pur Pharma Fund,,,,,,,,5000,,,,,,,5000
St. Gov Leg  Aff,,,,,151000,104722,38028,42800,16000,85000,70000,30000,,,537550
AMERICAN PSYCHIATRIC ASSOCIATION,1085,,,,,,,,,,,2222.64,,,3307.64
Clinical Rsch,3485,,,,,,,,,,,,,,485
Promotions RX,600,,,,,,,,,,,2222.64,,,2822.64
AMERICAN PSYCHIATRIC FOUNDATION,,1000,,,,,,,,,,,,,1000
Prof Relations,,1000,,,,,,,,,,,,,1000
AMERICAN PUBLIC HEALTH ASSOCIATION,,2150,,,,,,,,,,,,,2150
Market Strategies,,2150,,,,,,,,,,,,,2150
AMERICAN SOC OF  ADDICTION MEDICINE,30694.4,40970,16350,20120,2500,,,,,,,,,,110634.4
Analgesic,694.4,25970,350,120,,,,,,,,,,,27134.4
Medical Ed,30000,15000,11000,20000,2500,,,,,,,,,,78500
Pur Pharma Fund,,,5000,,,,,,,,,,,,5000
AMERICAN SOC OF PAIN MGMT NURSES DELAWARE VALLEY & EASTERN PA CH,,1263.5,,,,,,,,,,,,,1263.5
Lecture Program,,1263.5,,,,,,,,,,,,,1263.5
AMERICAN SOCIETY FOR CLINICAL PHARMACOLOGY,330,,,,,,,,,,,,,,330
Clinical Pharm,330,,,,,,,,,,,,,,330
AMERICAN SOCIETY FOR PAIN MGMT NURSES NORTHERN VA CHAPTER,,,,,,,,,,750,,,500,,1250
Conventions,,,,,,,,,,,,,500,,500
Medical Ed,,,,,,,,,,750,,,,,750
AMERICAN SOCIETY OF ANESTHESIOLOGISTS,33300,35850,6650,,,,,,,,,,,,75800
Clinical Rsch,1900,,,,,,,,,,,,,,900
Clinical Rsch 3,,450,450,,,,,,,,,,,,900
Conventions,32400,35400,6200,,,,,,,,,,,,74000
AMERICAN SOCIETY OF CONSULTANT PHARMACISTS,50350,119898.19,24149.2,,14000,5400,5400,28550,32940,293183,56800,73175,19350,,723195.39
Conventions,20450,19200,5150,,12000,,,,2650,3550,7300,3400,3400,,77100
Lecture Program,7500,9700,,,,,,,,,,,,,17200
ManagedCare FF,2000,500,2000,,,,,,,,1750,1500,,,7750
