Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Conventions,,,,,,,,,,300,,,,,300
Lecture Program,400,,,,,,,,,,,,,,400
WOMEN IN GOVERNMENT,,,27500,67500,,,,126000,130000,30000,20000,3000,2000,,406000
Pur Pharma Fund,,,27500,65000,,,,126000,,,,,,,218500
St. Gov Leg  Aff,,,,2500,,,,,130000,30000,20000,3000,2000,,187500
WYOMING STATE BOARD OF PHARMACY,300,300,5350,350,1000,1000,1000,1150,1050,1000,1000,1050,1000,,15550
General Counsel,300,300,350,350,1000,1000,1000,1150,1050,1000,1000,1050,1000,,10550
St. Gov Leg  Aff,,,5000,,,,,,,,,,,,5000
YELLOWSTONE NEUROSURGICAL ASSOC PC,,,750,,,,,,,,,,,,750
Conventions,,,750,,,,,,,,,,,,750
YMC AMERICA INC,,,,,,,,,,1323.86,16907.96,2322.89,10027.54,,30582.25
Analytical Sci,,,,,,,,,,,1325.8,,706.71,,2032.51
Quality Control,,,,,,,,,,649.72,15582.16,2322.89,9320.83,,27875.6
R & D Rhodes,,,,,,,,,,674.14,,,,,674.14
YMCA OF NORWALK INC,2500,6000,,,,,,,,,,,,,8500
Japan LicBusDev,,5000,,,,,,,,,,,,,5000
Pur Pharma Fund,2500,1000,,,,,,,,,,,,,3500
YOUNG MEN S CHRISTIAN ASSO OF STAMF  DBA STAMFORD YMC,5000,3475,695,,,,,,1500,,2500,,,,13170
Human Resources,,3475,695,,,,,,,,,,,,4170
Pur Pharma Fund,5000,,,,,,,,1500,,2500,,,,9000
Grand Total,7408715.65,10577902.56,11831150.37,8493515.08,5657424.55,5829182.25,5650985.86,8943181.76,11170437.48,12105420.48,10740452.15,8876376.7,6374942.34,2129286,115788973.2
