Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Prof Relations,,1000,,,,,,,,,,,,,1000
OHIO STATE MEDICAL ASSOCIATION,600,,,,,,,,,,10000,,,,10600
Conventions,600,,,,,,,,,,,,,,600
Medical Ed,,,,,,,,,,,10000,,,,10000
OHIO STATE SOCIETY OF THE AMERICAN COLLEGE OF OSTEOPATHIC,,750,,,,,,,,,,,,,750
Conventions,,750,,,,,,,,,,,,,750
OK CHAPTER OF NATIONAL ASSOC OF DIRECTORS OF NURSING ADMIN,,10000,,,,,,,,,,,,,10000
Medical Ed,,10000,,,,,,,,,,,,,10000
OKLAHOMA ACADEMY OF,,,,,,,,,,,2000,,,,2000
Conventions,,,,,,,,,,,1000,,,,1000
Promotions RX,,,,,,,,,,,1000,,,,1000
OKLAHOMA OSTEOPATHIC ASSOCIATION,1700,4200,2950,1200,,,,10000,10000,,,,,,30050
Conventions,1200,,1700,1200,,,,,,,,,,,4100
Lecture Program,,2500,,,,,,,,,,,,,2500
ManagedCare FF,500,1700,,,,,,,,,,,,,2200
Medical Ed,,,1250,,,,,10000,10000,,,,,,21250
OKLAHOMA PHARMACISTS ASSOC,700,820,,1500,,,,,,,,,,,3020
Lecture Programs,,820,,,,,,,,,,,,,820
ManagedCare FF,700,,,,,,,,,,,,,,700
Medical Ed,,,,1500,,,,,,,,,,,1500
OKLAHOMA SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,,,,1500,,,,,,,,,1500
Dom Oth Inc_Exp,,,,,,1500,,,,,,,,,1500
OKLAHOMA STATE BOARD OF PHARMACY,400,400,400,550,400,400,400,400,400,800,600,600,600,,6350
General Counsel,400,400,400,550,400,400,400,400,400,800,600,600,600,,6350
ONCOLOGY NURSES SOCIETY,59900,7000,,33300,8700,,,,,,,,,,108900
Conventions,59900,7000,,16650,8700,,,,,,,,,,92250
New Prod-Budget,,,,16650,,,,,,,,,,,16650
ONCOLOGY NURSING SOCIETY,85981.83,194530,122395,79442.35,2900,,18090,13290,5000,8000,20520,5000,5000,,560149.18
Conventions,,70725,280,35000,2900,,6090,6290,,,,,,,121285
General Counsel,,,7500,,,,,,,,,,,,7500
Lecture Program,7500,,,,,,,,,,,,,,7500
Medical Ed,66481.83,68720,64615,44442.35,,,,7000,5000,5000,20520,5000,5000,,291779.18
Mkt Intrnt Strt,,50000,,,,,,,,,,,,,50000
Other,12000,5000,50000,,,,12000,,,,,,,,79000
Public Affairs,,85,,,,,,,,,,,,,85
St. Gov Leg  Aff,,,,,,,,,,3000,,,,,3000
ONCOLOGY NURSING SOCIETY LITTLE ROCK CHAPTER,,1600,,,,,,,,,,,,,1600
Lecture Programs,,1600,,,,,,,,,,,,,1600
ONCOLOGY NURSING SOCIETY PUGET SOUND CHAPTER,300,750,,,,,700,,,500,,500,500,,3250
Conventions,300,,,,,,700,,,500,,500,500,,2500
Lecture Program,,750,,,,,,,,,,,,,750
ONS FOUNDATION,7500,12200,12200,12200,,12200,10220,12000,12000,12000,15000,30000,5000,,152520
Medical Ed,7500,12200,12200,,,12200,10220,12000,12000,12000,15000,30000,5000,,140320
Other,,,,12200,,,,,,,,,,,12200
ORANGE CHAPTER  ONCOLOGY NURSING SOCIETY,,500,,,,,,,,,,,,,500
Conventions,,500,,,,,,,,,,,,,500
OREGON GERIATRICS SOCIETY,,,,,,,,,,1950,,,,,1950
Conventions,,,,,,,,,,1950,,,,,1950
OREGON MEDICAL DIRECTORS ASSOCIATION,3000,,,,,,,,,,,,,,3000
Medical Ed,3000,,,,,,,,,,,,,,3000
OREGON NURSE ASSOCIATION,450,800,500,,,650,400,650,,,,,725,,4175
Conventions,450,800,500,,,650,400,650,,,,,725,,4175
OREGON SOC OF CONSULTANT PHARMACISTS,,1000,,,,750,,,,,,,,,1750
Conventions,,,,,,750,,,,,,,,,750
Lecture Programs,,1000,,,,,,,,,,,,,1000
OREGON SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,750,,,,2000,,,,,,,,2750
Conventions,,,750,,,,,,,,,,,,750
Medical Ed,,,,,,,2000,,,,,,,,2000
OREGON SOCIETY OF PHYSICIAN ASSISTA,500,750,,,,700,,,,700,,,,,2650
