Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ACADEMY OF MANAGED CARE PHARMACY,32395,15490,20550,1440,9500,9500,9500,,7600,,3939.75,50000,19000,,178914.75
Conventions,22400,11200,,,,,,,,,,,4000,,37600
ManagedCare FF,1495,2730,2550,440,,,,,,,,50000,,,57215
Market Research,,1560,,,,,,,,,,,,,1560
Market Strategies,,,,,,,,,7828,,3939.75,,,,11767.75
Medical Ed,,,,1000,,,,,,,,,,,1000
Other,,,,,,,,,-228,,,,,,-228
Patient & Professional Relations,,,,,,,,,,,,,15000,,15000
Prof Relations,8500,,8500,,,,,,,,,,,,17000
Professional Rels,,,9500,,,,,,,,,,,,9500
St. Gov Leg  Aff,,,,,9500,9500,9500,,,,,,,,28500
ACP ASIM FOUNDATION AMERICAN COLLEGE OF PHYSICIANS,55000,72850,,55000,11400,5800,17200,,,,,,,,217250
Conventions,,47850,,30000,11400,5800,17200,,,,,,,,112250
Lecture Program,30000,,,,,,,,,,,,,,30000
Marketing,,25000,,,,,,,,,,,,,25000
Medical Ed,,,,25000,,,,,,,,,,,25000
Prof Relations,25000,,,,,,,,,,,,,,25000
ADDICTION MEDICINE & HEALTH ADVOCATES INC,,,225,,,,,,,,,,,,225
Medical Rsch,,,225,,,,,,,,,,,,225
ADVANCED PRACTICE NURSES & PHYSICIAN ASSISTANTS,250,,,,,,,,,,,,,,250
Conventions,250,,,,,,,,,,,,,,250
ADVANCED PRACTICE NURSES OF THE OZARKS,,,,,,500,,,,,,,,,500
Conventions,,,,,,500,,,,,,,,,500
ALABAMA ACADEMY OF FAMILY  PHYSICIANS,2800,825,850,850,,,,,,,,1200,1200,,7725
Conventions,,825,850,850,,,,,,,,1200,1200,,4925
Medical Ed,2800,,,,,,,,,,,,,,2800
ALABAMA ASSOC OF CHIEFS OF POLICE C/O TREASURER,,,550,,,,,,,,,,,,550
LELE,,,550,,,,,,,,,,,,550
ALABAMA CHAPTER AMERICAN COLLEGE OF PHYSICIANS,800,800,,,,,,,,,,,,,1600
Conventions,,800,,,,,,,,,,,,,800
Lecture Program,800,,,,,,,,,,,,,,800
ALABAMA MEDICAL DIRECTORS ASSOC,500,500,1050,,850,,,,400,,,,,,3300
Conventions,,500,1050,,850,,,,400,,,,,,2800
ManagedCare FF,500,,,,,,,,,,,,,,500
ALABAMA OSTEOPATHIC MEDICAL ASSOC,3500,1150,,,,1000,,,,,1000,,1000,,7650
Conventions,,1150,,,,1000,,,,,1000,,1000,,4150
Lecture Program,3500,,,,,,,,,,,,,,3500
ALABAMA PHARMACY ASSOC,,820,800,1020,,,,,,,,,,,2640
Conventions,,820,800,1020,,,,,,,,,,,2640
ALABAMA SOC OF CLINICAL ONCOLOGY,5050,750,,,,,,,,,,,,,5800
Conventions,,750,,,,,,,,,,,,,750
Lecture Program,5050,,,,,,,,,,,,,,5050
ALABAMA SOCIETY OF HEALTH SYSTEM PHARMACISTS,625,,625,,,,,,,,,,,,1250
Conventions,,,625,,,,,,,,,,,,625
Lecture Program,625,,,,,,,,,,,,,,625
ALABAMA SOCIETY OF PHYISCAL MEDICINE & REHABILITATION,1000,,,,,,,,,,,,,,1000
Lecture Program,1000,,,,,,,,,,,,,,1000
ALABAMA SOCIETY OF PHYSICAL MEDICINE,2500,,,,,,,,,,,,,,2500
Medical Ed,2500,,,,,,,,,,,,,,2500
ALABAMA STATE BOARD OF PHARMACY,700,350,1550,200,2200,,,,3300,,3300,,2200,,13800
General Counsel,700,350,1550,200,2200,,,,3300,,3300,,2200,,13800
ALABAMA STATE SOCIETY OF ANESTHESIOLOGISTS,800,800,,,,,,,,,,,,,1600
Conventions,,800,,,,,,,,,,,,,800
Lecture Program,800,,,,,,,,,,,,,,800
