Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Market Strategies,,12353.05,3225,,,,,,,,,,,,15578.05
Medical Ed,,68867.3,1000,,,,,28550,16300,289633,27250,68275,15950,,515825.3
Par Against,,9027.84,8774.2,,,,,,,,,,,,17802.04
Professional Rels,,,4000,,,,,,,,,,,,4000
Promotions RX,20400,,,,,,,,,,,,,,20400
Sales Force,,250,,,,,,,,,,,,,250
St. Gov Leg  Aff,,,,,2000,5400,5400,,13990,,20500,,,,47290
AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,,128630,63850,2900,,,,,,,40000,,37850,,273230
Conventions,,42450,6650,2900,,,,,,,,,22850,,74850
Medical Ed,,86180,57200,,,,,,,,40000,,,,183380
St. Gov Leg  Aff,,,,,,,,,,,,,15000,,15000
AMERICAN SOCIETY OF HEALTH SYSTEMS,70609.8,42096,836,,,,,,,,,,,,113541.8
Conventions,20150,,,,,,,,,,,,,,20150
Drug Sfty&Pharm,,,209,,,,,,,,,,,,209
Library InfoServ,369.9,398,418,,,,,,,,,,,,1185.9
Medical Affairs,184.95,199,,,,,,,,,,,,,383.95
Medical Ed,49720,41300,,,,,,,,,,,,,91020
Medical Servs,184.95,199,209,,,,,,,,,,,,592.95
AMERICAN SOCIETY OF PAIN EDUCATORS,,,,,1750,,2500,,,,,,,,4250
Medical Ed,,,,,750,,,,,,,,,,750
St. Gov Leg  Aff,,,,,1000,,2500,,,,,,,,3500
AMERICAN SOCIETY OF PAIN MANAGEMENT FL,22013.62,13794.05,13661.65,8001.97,18000,28408,43500,39000,73000,66700,16350,81200,53700,7500,484829.29
Conventions,4100,2000,,,,10000,10000,16000,10000,45500,150,,,,97750
Lecture Program,750,,,,,,,,,,,,,,750
Medical Ed,17163.62,10699.05,13386.65,8001.97,13500,8408,3500,13500,3500,8500,3500,3500,33500,,140659.29
Other,,,,,3500,,,,,,,,,,3500
Patient & Professional Relations,,,,,,,,,,,,,12700,7500,20200
Prof Relations,,1000,,,,,,,,,,,,,1000
Pur Pharma Fund,,,,,,,25000,,50000,,,,,,75000
St. Gov Leg  Aff,,95,275,,1000,10000,5000,9500,9500,12700,12700,77700,7500,,145970
AMERICAN SOCIETY OF PAIN MANAGEMENT NORTHERN CALIFORNIA CHAPTER,,1500,,,,,,,,,,,,,1500
Lecture Program,,1500,,,,,,,,,,,,,1500
AMERICAN SOCIETY OF PAIN MANAGEMENT NURSES LONG ISLAND,,750,,,,,,,,,,,,,750
Lecture Programs,,750,,,,,,,,,,,,,750
AMERICAN SOCIETY OF PAIN MANAGEMENT NURSING GARDEN STATE CHAPTER,,,,,,,750,,,,,,,,750
Conventions,,,,,,,750,,,,,,,,750
AMERICAN SOCIETY OF PAIN MGMT NURSES CT CHAPTER,,1500,,,,6500,,,,,,,,,8000
Lecture Programs,,1500,,,,,,,,,,,,,1500
Medical Ed,,,,,,6500,,,,,,,,,6500
AMERICAN SOCIETY OF PAIN MNGMT  NURSES LONG ISLAND CHA5,5000,2500,250,,,200,,200,300,300,,,,,8750
Conventions,,,250,,,200,,200,300,300,,,,,1250
Lecture Program,3000,1000,,,,,,,,,,,,,4000
Medical Ed,2000,1500,,,,,,,,,,,,,3500
AMERICAN SOCIETY OF PAIN MNGMT NURSES ST LOUIS CHAPTER,1000,,,,,,,,,,2500,ss,2500,,6000
Medical Ed,1000,,,,,,,,,,2500,,2500,,6000
AMERICAN SOCIETY OF PEDIATRIC HEMATOLOGY / ONCOLOGY,,,,,,,,,,4000,1500,1675,,,7175
St. Gov Leg  Aff,,,,,,,,,,4000,1500,1675,,,7175
AMERICAN SOCIETY OF REGIONAL ANESTHESIA,42959,24795,,,,,,,,,,,,,67754
Analgesic,195,,,,,,,,,,,,,,195
Clinical Rsch 3,,195,,,,,,,,,,,,,195
Conventions,3600,,,,,,,,,,,,,,3600
Medical Ed,39164,24600,,,,,,,,,,,,,63764
AMERICAN SOCIETY OF REGIONAL ANESTHESIA & PAIN MEDICINE,,35850,11950,,,,,,,,,,,,47800
Conventions,,,1950,,,,,,,,,,,,1950
Medical Ed,,35850,10000,,,,,,,,,,,,45850
AMERICAN SOCIETY ON AGING,,,,,,165,195,,,,205,,250,,815
St. Gov Leg  Aff,,,,,,165,195,,,,205,,250,,815
AMERICAN THORACIC SOCIETY,62760.08,100100,14508.75,,,,,,,,,,,,177368.83
Conventions,22383.2,15100,,,,,,,,,,,,,37483.2
