Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
NORTHWEST PHARMACIST ASSOCIATION,1000,3500,,,,,,,,,,,,,4500
Lecture Program,1000,3500,,,,,,,,,,,,,4500
NPACE NURSE PRACT ASSOC FOR CONTINUING ED,,29150,1000,,,,,,,7500,19250,,,,56900
Conventions,,2150,1000,,,,,,,,750,,,,3900
Medical Ed,,27000,,,,,,,,7500,18500,,,,53000
NURSE PRACTITIONER HEALTHCARE FOUNDATION,,,,69720,,,,37500,207500,47500,47500,10000,,,419720
Medical Ed,,,,69720,,,,,65000,,,,,,134720
Pur Pharma Fund,,,,,,,,,55000,,,,,,55000
St. Gov Leg  Aff,,,,,,,,37500,87500,47500,47500,10000,,,230000
OHIO ACADEMY OF FAMILY PHYSICIANS,1000,4650,3500,,2427.6,,,,650,2375,,3250,,,17852.6
Conventions,,500,1500,,500,,,,650,650,,7 50,,,4550
Lecture Program,1000,,,,,,,,,,,,,,1000
ManagedCare FF,,400,,,,,,,,,,,,,400
Marketing,,,1000,,,,,,,,,,,,1000
Medical Ed,,,,,,,,,,,,2500,,,2500
Par Against,,3000,,,,,,,,,,,,,3000
Prof Relations,,,1000,,,,,,,,,,,,1000
Public Affairs,,,,,,,,,,1725,,,,,1725
St. Gov Leg  Aff,,750,,,1927.6,,,,,,,,,,2677.6
OHIO ACADEMY OF PAIN MEDICINE,,7500,,,,,,,,,,,,,7500
Medical Ed,,7500,,,,,,,,,,,,,7500
OHIO ASSOCIATION OF CHIEFS OF POLIC,,725,550,,,,,,,,,,,,1275
Analgesic,,175,,,,,,,,,,,,,175
LELE,,550,550,,,,,,,,,,,,1100
OHIO ASSOCIATION OF PHYSICIAN ASSISTANTS,,,,,,,,,,,,5 00,,,500
Conventions,,,,,,,,,,,,5 00,,,500
OHIO CHAPTER AMERICAN COLLEGE OF SURGEONS,750,,,,,,,,,,,,,,750
Lecture Program,750,,,,,,,,,,,,,,750
OHIO HOSPICE AND PALLIATIVE CARE ORGANIZATION,2500,,17500,2500,3000,,,,,,,,,,25500
Lecture Program,2500,,,,,,,,,,,,,,2500
Medical Ed,,,2500,2500,3000,,,,,,,,,,8000
Pur Pharma Fund,,,15000,,,,,,,,,,,,15000
OHIO MARSHAL CNTY PHARMACISTS ASSOC,250,1750,1000,,,,,,,,,,,,3000
Lecture Program,,1750,,,,,,,,,,,,,1750
Medical Ed,,,1000,,,,,,,,,,,,1000
Sales Force,250,,,,,,,,,,,,,,250
OHIO MARSHALL COUNTY PHARMACISTS ASSOCIATION,,,,,,,499,,,,,,,,499
Conventions,,,,,,,499,,,,,,,,499
OHIO MEDICAL DIRECTORS ASSOCIATION,,,,,,2500,,,,,,,,,2500
Medical Ed,,,,,,2500,,,,,,,,,2500
OHIO MEDICAL EDUCATION FOUNDATION,,16000,,,,,,,,,,,,,16000
Mkt Intrnt Strt,,16000,,,,,,,,,,,,,16000
OHIO OSTEOPATHIC ASSOCIATION,,1200,1200,,,,,,,,,,,,2400
Conventions,,1200,1200,,,,,,,,,,,,2400
OHIO OSTEOPATHIC FOUNDATION,,1500,,1200,,2000,2000,,,1200,,1200,1500,,10600
Conventions,,,,1200,,,,,,1200,,1200,1500,,5100
Lecture Program,,1500,,,,,,,,,,,,,1500
Medical Ed,,,,,,2000,2000,,,,,,,,4000
OHIO PHARMACISTS ASSOCIATION,2225,2225,1225,,1000,1325,850,,,,,3350,3350,,12550
Analgesic,,,,,,500,,,,,,,,,500
Conventions,,,725,,,825,850,,,,,,3350,,5750
Lecture Program,,1500,,,,,,,,,,,,,1500
ManagedCare FF,725,725,,,,,,,,,,,,,1450
Medical Ed,1500,,500,,1000,,,,,,,3 50,,,3350
OHIO PHARMACISTS FOUNDATION,,,,24000,,,,,,,3000,1100,,,28100
Conventions,,,,,,,,,,,,1100,,,1100
Medical Ed,,,,24000,,,,,,,3000,,,,27000
OHIO SOCIETY OF HEALTH SYSTEM PHARMACISTS,775,1000,,,,,,,,,,,,,1775
Lecture Program,775,,,,,,,,,,,,,,775
