Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,85000,,,,,,,,,,,,,85000
Promotions RX,40376.88,,14508.75,,,,,,,,,,,,54885.63
AMPUTEE COALITION OF AMERICA,,,,,,,3000,,,5000,,10000,5000,,23000
St. Gov Leg  Aff,,,,,,,3000,,,5000,,10000,5000,,23000
APA DIVISION 28 PSYCHOPHARMACOLOGY,,,,,,,,,,,,1000,,,1000
St. Gov Leg  Aff,,,,,,,,,,,,1000,,,1000
APPALACHIAN PAIN FOUNDATION,8000,,,,,,,,,,,,,,8000
Medical Ed,8000,,,,,,,,,,,,,,8000
ARIZONA ACADEMY FAMILY PHYSICIANS,,3586.25,895,895,,,,2500,,,,,,,7876.25
Conventions,,190.26,895,895,,,,,,,,,,,1980.26
ManagedCare FF,,895.99,,,,,,,,,,,,,895.99
Medical Ed,,2500,,,,,,2500,,,,,,,5000
ARIZONA GERIATRICS SOCIETY,2600,1800,,900,,,,,,,,,,,5300
Conventions,800,800,,900,,,,,,,,,,,2500
Lecture Program,1800,,,,,,,,,,,,,,1800
Medical Ed,,1000,,,,,,,,,,,,,1000
ARIZONA HOSPICE & PALLIATIVE CARE,100,1750,,,,,,,,,,,,,1850
Conventions,100,750,,,,,,,,,,,,,850
Medical Ed,,1000,,,,,,,,,,,,,1000
ARIZONA MEDICAL ASSOCIATION,3000,,,,,,,,,,,,,,3000
Lecture Program,3000,,,,,,,,,,,,,,3000
ARIZONA NURSES ASSOCIATION,,1750,,,500,,,,,,,,,,2250
Conventions,,750,,,,,,,,,,,,,750
Lecture Programs,,1000,,,,,,,,,,,,,1000
Medical Ed,,,,,500,,,,,,,,,,500
ARIZONA OSTEOPATHIC MEDICAL ASSOC,,975,3975,1000,,1450,1100,,,,,,,,8500
Conventions,,975,975,1000,,1450,1100,,,,,,,,5500
Medical Ed,,,3000,,,,,,,,,,,,3000
ARIZONA PAIN SOCIETY,,,,3000,,,1000,,,,,,,,4000
Conventions,,,,,,,1000,,,,,,,,1000
Medical Ed,,,,3000,,,,,,,,,,,3000
ARIZONA PERIANESTHESIA NURSES ASSOCIATON,125,,,,,,,,,,,,,,125
Lecture Program,125,,,,,,,,,,,,,,125
ARIZONA PHARMACISTS ASSOCIATION,895,895,3500,250,,,,,,,,,,,5540
Conventions,,,,250,,,,,,,,,,,250
ManagedCare FF,895,895,,,,,,,,,,,,,1790
Medical Ed,,,3500,,,,,,,,,,,,3500
ARIZONA SOCIETY OF PHYSICAL MEDICINE & REHABILITATION,,,,,,300,,,,750,,,,,1050
Conventions,,,,,,300,,,,750,,,,,1050
ARIZONA STATE ASSOCIATION FOR PHYSICIAN ASSISTANTS,1900,3400,,,,,,2500,,,,,,,7800
Conventions,400,400,,,,,,,,,,,,,800
Lecture Program,1500,,,,,,,,,,,,,,1500
Medical Ed,,3000,,,,,,2500,,,,,,,5500
ARIZONA STATE BOARD OF PHARMACY,,200,,2093.34,1000,1000,,1000,,2375,,1000,,,8668.34
General Counsel,,,,2093.34,1000,1000,,1000,,2375,,1000,,,8468.34
Market Strategies,,200,,,,,,,,,,,,,200
ARKANSAS ACADEMY OF FAMILY PHYSICIANS INC,,1000,,,,,,1250,,1350,,,,,3600
Conventions,,1000,,,,,,1250,,1350,,,,,3600
ARKANSAS ACADEMY OF PHYSICIANS ASSISTANTS,1500,,,,,,,,,,,,,,1500
Lecture Program,1500,,,,,,,,,,,,,,1500
ARKANSAS ASSOC OF CHIEFS OF POLICE,,,540,,,,,,,,,,,,540
LELE,,,540,,,,,,,,,,,,540
ARKANSAS ASSOCIATION OF HOSPITAL PHARMACISTS AAHP,,,,,,,,,,,750,1000,,,1750
Conventions,,,,,,,,,,,,1000,,,1000
Promotions RX,,,,,,,,,,,750,,,,750
ARKANSAS ASSOCIATION OF NURSE ANESTHETISTS,300,,,,,,,,,,,,,,300
Conventions,300,,,,,,,,,,,,,,300
ARKANSAS OSTEOPATHIC MEDICAL ASSOC,3850,6400,575,575,,2150,,3760,,,,,650,,17960
Conventions,,1150,575,575,,1150,,,,,,,650,,4100
