Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
COLUMBIA POLICE DEPT CITY OF COLUMBIA,,10000,,,,,,,,,,,,,10000
Corp.Security,,10000,,,,,,,,,,,,,10000
COM ANTI DRUG COALITIONS OF AMERICA,24203,200000,1000,20000,4500,5000,10000,66500,175000,70000,75000,75000,50000,30000,806203
Patient & Professional Relations,,,,,,,,,,,,,15000,30000,45000
Public Affairs,20000,,,,1000,,,,,,,,,,21000
Pur Pharma Fund,4203,200000,1000,20000,3500,5000,10000,66500,175000,70000,30000,,,,585203
St. Gov Leg  Aff,,,,,,,,,,,45000,75000,35000,,155000
COMMUNITY PARTNERS FBO FOR GRACE,,2500,11600,,,,500,5000,2500,,,,,,22100
Medical Ed,,,,,,,,2500,2500,,,,,,5000
Pur Pharma Fund,,2500,11600,,,,,,,,,,,,14100
St. Gov Leg  Aff,,,,,,,500,2500,,,,,,,3000
CONFERENCE OF WESTERN ATTORNEYS GENERAL,,,,,,,,15000,15000,15000,15000,15000,15000,,90000
St. Gov Leg  Aff,,,,,,,,15000,15000,15000,15000,15000,15000,,90000
CONNECTICUT ACADEMY OF FAMILY PHYSICIANS,2000,975,,2500,,,,,,,,,1300,,6775
Conventions,,975,,,,,,,,,,,1300,,2275
Lecture Program,2000,,,,,,,,,,,,,,2000
Medical Ed,,,,2500,,,,,,,,,,,2500
CONNECTICUT ACADEMY OF PHYSICIAN ASSISTANTS,500,4500,500,,,,,,,,,,,,5500
Conventions,500,,500,,,,,,,,,,,,1000
Lecture Program,,2000,,,,,,,,,,,,,2000
Medical Ed,,2500,,,,,,,,,,,,,2500
CONNECTICUT BUSINESS & INDUSTRY ASSOCIATION INC,840,,,700,,180.2,,,,,45000,30000,,32000,108720.2
General Counsel,,,,,,180.2,,,,,,,,,180.2
Human Resources,840,,,,,,,,,,,,,,840
Public Affairs,,,,700,,,,,,,,,,,700
St. Gov Leg  Aff,,,,,,,,,,,45000,30000,,32000,107000
CONNECTICUT CHAPTER OF CMSA INC,,,400,,,,,,,,,,,,400
Conventions,,,400,,,,,,,,,,,,400
CONNECTICUT CHAPTER OF THE AMERICAN COLLEGE OF PHYSICIANS INC,,,,,,,800,,800,,,,,,1600
Conventions,,,,,,,800,,800,,,,,,1600
CONNECTICUT ORTHOPAEDIC SOCIETY,750,,,,,,,,,,,,,,750
Lecture Program,750,,,,,,,,,,,,,,750
CONNECTICUT PAIN SOCIETY,2000,,,,,,,,,,,,,,2000
Medical Ed,2000,,,,,,,,,,,,,,2000
CONNECTICUT PHARMACISTS ASSOC,,750,750,,,7500,7500,8000,17850,10290,6000,,10000,,68640
Conventions,,,750,,,,850,,,,,,,,1600
Health Policy,,,,,,,,3000,,290,,,,,3290
ManagedCare FF,,750,,,,,,,,,,,,,750
Medical Ed,,,,,,7500,6650,5000,17850,10000,6000,,10000,,63000
CONNECTICUT POLICE CHIEFS ASSOC,,770,,,,,,,,,,,,,770
LELE,,770,,,,,,,,,,,,,770
CONNECTICUT SOCIETY OF HEALTH SYSTEM PHARMACISTS,2000,,,,1000,,,,,,,,,,3000
Lecture Program,2000,,,,,,,,,,,,,,2000
Medical Ed,,,,,1000,,,,,,,,,,1000
CONNECTICUT STATE SOCIETY OF ANESTHESIOLOGISTS INC,200,200,,,,,,,,,,,,,400
Clinical Rsch,200,,,,,,,,,,,,,,200
Clinical Rsch 3,,200,,,,,,,,,,,,,200
CONSULTANT PHARMACISTS INC,,,,,,,,300,,,300,,,,600
Conventions,,,,,,,,300,,,300,,,,600
CONSUMER HEALTHCARE PRODUCTS ASSOCIATION,72019,62730,45509,60600,60500,61100,61507,60500,60500,60500,,60500,60500,,726465
Corp Quality,320,,,,,,,,,,,,,,320
Direct Mfg O_H,,640,,,,,,,,,,,,,640
Executive Admin,,,320,,,,,,,,,,,,320
Human Resources,1245,,,,,,,,,,,,,,1245
ISQA,320,,,,,,,,,,,,,,320
Marketing,,60500,,,,,,,,,,,,,60500
PPMD,320,,,,,,,,,,,,,,320
PPMD - QA,,,,,,600,,,,,,,,,600
Preclin Phar An,,950,,,,,,,,,,,,,950
