Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,,,,,1000,,,,,,,,,1000
GEORGIA STATE BOARD OF PHARMACY,,455,,455,25,,,,,700,,2400,,,4035
General Counsel,,455,,455,25,,,,,700,,2400,,,4035
GERONTOLOGICAL SOCIETY OF AMERICA,,,,,,,,,2500,58000,40000,65500,,7500,173500
Medical Ed,,,,,,,,,,58000,10000,,,,68000
Patient & Professional Relations,,,,,,,,,,,,,,7500,7500
St. Gov Leg  Aff,,,,,,,,,2500,,30000,65500,,,98000
GERONTOLOGY SOCIETY OF IOWA,,3000,,,,,,,,,,,,,3000
Lecture Program,,3000,,,,,,,,,,,,,3000
GOVERNORS PREVENTION,10000,10000,10000,45,1000,5000,10000,120000,50000,30000,90060,,100000,,436105
Admin Servs,,,,45,,,,,,,,,,,45
Pur Pharma Fund,10000,10000,10000,,1000,5000,10000,120000,50000,30000,,,,,246000
St. Gov Leg  Aff,,,,,,,,,,,90060,,100000,,190060
GREATER ALBUQUERQUE MEDICAL ASSOCIATION,,,,,,,,,,,,10000,,,10000
Medical Ed,,,,,,,,,,,,10000,,,10000
GREATER CINCINNATI PAIN SOCIETY,4000,,,,,,,,,,,,,,4000
Medical Ed,4000,,,,,,,,,,,,,,4000
GREATER GRAND RAPIDS ONCOLOGY NURSING SOCIETY CANCER,200,,,,,,,,,,,,,,200
Lecture Program,200,,,,,,,,,,,,,,200
GREATER KANSAS CITY CHAPTER AMERICAN SOCIETY PAIN MGMT NURSES,,1800,,,,,,,,,,,,,1800
Lecture Programs,,1800,,,,,,,,,,,,,1800
GREATER KANSAS CITY CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,,,,,,600,,600,,,,,1200
Conventions,,,,,,,,600,,600,,,,,1200
GREATER LAS VEGAS CHAPTER ONCOLOGY NURSING SOCIETY,800,500,,,,,,,,,,,,,1300
Conventions,500,500,,,,,,,,,,,,,1000
Lecture Program,300,,,,,,,,,,,,,,300
GREATER NORTH TEXAS PAIN SOCIETY,,2500,,,,,,,,,,,,,2500
Lecture Programs,,2500,,,,,,,,,,,,,2500
GREATER NORTHERN CALIFORNIA CHAPTER ONCOLOGY NURSING,2500,,,,,,,,,,,,,,2500
Lecture Program,2500,,,,,,,,,,,,,,2500
GREATER PHILADELPHIA PAIN SOCIETY,400,,,,,,,,,,,,,,400
Lecture Program,400,,,,,,,,,,,,,,400
GREATER SACRAMENTO CHAPTER ONCOLOGY NURSING SOCIETY,,600,,,,,,,,,,,,,600
Medical Ed,,600,,,,,,,,,,,,,600
HAWAII ACADEMY OF FAMILY PHYSICIANS,,650,650,,,,,,,,,,,,1300
Conventions,,650,650,,,,,,,,,,,,1300
HAWAII MEDICAL ASSOCIATION HI,14566.7,17000,1000,,,,,,,,,,,,32566.7
Conventions,,,1000,,,,,,,,,,,,1000
ManagedCare FF,975,,,,,,,,,,,,,,975
Medical Ed,,17000,,,,,,,,,,,,,17000
Other,13591.7,,,,,,,,,,,,,,13591.7
HEALTHCARE CONVENTION & EXHIBITORS ASSOCIATION,1190,595,,,595,,,,,,,,,,2380
Conventions,1190,595,,,,,,,,,,,,,1785
Marketing,,,,,595,,,,,,,,,,595
HEALTHCARE DISTRIBUTION,46490,45670,36348.61,31700,35000,30658,75000,,26655,,,,,,327521.61
Corp.Security,,1000,,,,,,,,,,,,,1000
Executive Admin,29350,36600,5600,,,,,,,,,,,,71550
Finance Sys,2640,,,,,,,,,,,,,,2640
Inst Sales Plan 75,,,,,,,,,,,,,,,75
National Accts,11175,6070,30200,31700,35000,30658,75000,,,,,,,,219803
Other,3250,,548.61,,,,,,,,,,,,3798.61
Pkg Design &Dev,,1000,,,,,,,,,,,,,1000
Rhodes Sale Dst,,,,,,,,,26655,,,,,,26655
SAP Admin,,1000,,,,,,,,,,,,,1000
HEALTHCARE DISTRIBUTION MANAGEMENT ASSOCIATION,,,,,,,25000,25000,,3500,40000,40000,60586.5,25785,219871.5
Market Strategies,,,,,,,10000,15000,,,,,,,25000
National Accts,,,,,,,15000,,,,40000,40000,60586.5,25785,181371.5
Sales Force,,,,,,,,10000,,,,,,,10000
St. Gov Leg  Aff,,,,,,,,,,3500,,,,,3500
