Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ALASKA ACADEMY OF PHYSICIAN,,,,,,,5000,,,,,,,,5000
Medical Ed,,,,,,,5000,,,,,,,,5000
ALASKA NURSE PRACTITIONER ASSOC ,1000,,1500,,,,,,,,,,,,2500
Conventions,,,500,,,,,,,,,,,,500
Lecture Program ,1000,,,,,,,,,,,,,,1000
Medical Ed,,,1000,,,,,,,,,,,,1000
ALASKA NURSE PRACTITIONER ASSOCIATI,,,,,,750,750,750,,,,,,,2250
Conventions,,,,,,750,750,750,,,,,,,2250
ALASKA OSTEOPATHIC MEDICAL ASSOC,7000,,,,,,2000,2000,,,800,,,,11800
Conventions,,,,,,,,,,,800,,,,800
Medical Ed,7000,7000,,,,,2000,2000,,,,,,,11000
ALASKA PHARMACISTS ASSOC,,1500,,4250,,,,,,,,,,800,6550
Conventions,,,,750,,,,,,,,,,800,1550
Lecture Program,,1500,,,,,,,,,,,,,1500
Medical Ed,,,,3500,,,,,,,,,,,3500
ALBUQUERQUE CHAPTER OF ONCOLOGY NURSING SOCIETY,200,200,,,,,,,,,,,,,200
Conventions,200,200,,,,,,,,,,,,,200
ALLIANCE FOR AGING RESEARCH,,1000,1000,,500,,,11000,,,,,,,13500
Fed Gov Affairs,,1000,1000,,500,,,,,,,,,,2500
Public Affairs,,,,,,,,10000,,,,,,,10000
St. Gov Leg  Aff,,,,,,,,1000,,,,,,,1000
ALLIANCE FOR PATIENT ACCESS,,,,,,,10000,,15000,,15000,25000,25000,25000,115000
Patient & Professional Relations,,,,,,,,,,,,,,25000,25000
St. Gov Leg  Aff,,,,,,,10000,,15000,,15000,25000,25000,,90000
AM SOCIETY OF PAIN MGMT NURSES WISCONSIN CHAPTER,,1500,,,,,,,,,,,,,1500
Lecture Programs,,1500,,,,,,,,,,,,,1500
AMERICAN ACADEMY OF FAM PHYSICIANS ALASKA CHAPTER,,,900,1350,,,,,,875,,875,875,,4875
Conventions,,,900,1350,,,,,,875,,875,875,,4875
AMERICAN ACADEMY OF FAMILY PHYS NJ DBA NJ ACADEMY OF FAMILY PHYSICIANS,,1500,3437.5,,1250,,7500,5000,2500,,6100,,,,27287.5
Conventions,,,937.5,,1250,,,,,,,,,,2187.5
Lecture Program,,1500,,,,,,,,,,,,,1500
Medical Ed,,,2500,,,,7500,5000,2500,,5000,,,,22500
Public Affairs,,,,,,,,,,,1100,,,,1100
AMERICAN ACADEMY OF FAMILY PHYSICIANS,239549.49 239549.49,231920,32860,50000,103000,53500,489000,471000,96500,353600,640500,300000,113000,25000,3199429.49
Conventions,19125,19125 48650,19445,,27000,13500,28000,71000,51500,133000,127500,,,,538720
Lecture Program,1300,1300,,,,,,,,,,,,,1300
Medical Ed,15000,13140,5000,,36000,,411000,400000,5000,150000,448000,250000,13000,,1746140
Mkt Intrnt Strt,150000,17000,6415,,,,,,,,,,,,173415
New Prod-Budget,,,,,,,,,,40600,,,,,40600
Other,-798.84,,,,,,,,,,,,,,-798.84
Patient & Professional Relations,,,,,,,,,,,,,,25000,25000
Prof Relations,,50000,,,,,,,,,,,,,50000
Professional Rels,54923.33,,2000,50000,,,,,,,,,,,52000
Promotions RX,,27500,,,,,,,,,15000,,,,97423.33
Public Affairs,,50000,,,,,,,,,,,,,50000
Pur Pharma Fund,,,,,,,10000,,,,,,,,10000
Sales Admin,,25630,,,,,,,,,,,,,25630
St. Gov Leg  Aff,,,,,40000,40000,40000,,40000,30000,50000,50000,100000,,390000
AMERICAN ACADEMY OF FAMILY PHYSICIANS - NORTH DAKOTA CHAPTER,,,,,,,,,,,250,,,,250
Conventions,,,,,,,,,,,250,,,,250
AMERICAN ACADEMY OF FAMILY PHYSICIANS FOUNDATION,40000,40000,240000,,,,,,,,,,,,280000
Medical Ed,,,160000,,,,,,,,,,,,160000
Prof Relations ,,,40000,,,,,,,,,,,,80000
Professional Rels,,,40000,,,,,,,,,,,,40000
AMERICAN ACADEMY OF HOSPICE & PALLIATIVE MEDICINE,35050,35050 72680,46339.81,12000,3200,,3485,30000,60000,90000,55000,100000,72500,10000,590254.81
Conventions,1550,,3150,12000,3200,,3300,,,,,,,,23200
Medical Ed,,700,43189.81,,,,,,,,,,,,43889.81
Other,33500,54480,,,,,,,,,,,,,87980
Par Against,,15000,,,,,,,,,,,,,15000
