Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
MONTANA STATE BOARD OF PHARMACY,,2000,,,,,,,,,,,,,2000
Medical Ed,,2000,,,,,,,,,,,,,2000
N C ACADEMY OF FAMILY PHYSICIANS,1413,1170,,,,,,,,,,,,,2583
Lecture Program,1413,,,,,,,,,,,,,,1413
Promotions RX,,1170,,,,,,,,,,,,,1170
NABP/AACP DISTRICT III NATIONAL ASSOC BD OF PHARMACY,,,,2000,,,,,,,,,,,2000
Medical Ed,,,,2000,,,,,,,,,,,2000
NADDI  NATIONAL ASSOC OF DRUG DIVERSION INVESTIGATORS IN1,510,105825,51185,67977.03,493323.72,340149,365000,425000,350000,450000,427211.25,425000,200000,,3702181
Analgesic,1180,70435,395,325,,,,,,,,,,,72335
Corp.Security,,,50,13774.67,490000,290149,350000,375000,350000,450000,427211.25,425000,200000,,3371184.92
DEA Compliance,,,50,,,,,,,,,,,,50
Direct Mfg O_H 35,,,,,,,,,,,,,,,35
General Counsel,,19285,,,,,,,,,,,,,19285
LELE,,5625,50590,53532.32,3323.72,50000,15000,,,,,,,,178071.04
Other,,8000,,,,,,,,,,,,,8000
Public Affairs,295,,,,,,,,,,,,,,295
Pur Pharma Fund,,2000,,,,,,,,,,,,,2000
Security Rhodes,,480,50,,,,,,,,,,,,530
Security Stam,,,,,,,,50000,,,,,,,50000
Security Wilson,,,,345.04,,,,,,,,,,,345.04
St. Gov Leg  Aff,,,50,,,,,,,,,,,,50
NARCOTIC ENFORCEMENT OFFICERS ASSOC,2296,2316,,,1000,1000,,,6000,,,,,,12612
Analgesic,2296,20,,,,,,,,,,,,,2316
LELE,,,,,1000,1000,,,6000,,,,,,8000
Medical Ed,,2296,,,,,,,,,,,,,2296
NATIONAL ALLIANCE OF STATE DRUG ENFORCEMENT AGENCIES  NASDEA,,2000,,,,,,,,8500,,,,,10500
Corp.Security,,,,,,,,,,8500,,,,,8500
Medical Ed,,2000,,,,,,,,,,,,,2000
NATIONAL ALLIANCE OF STATE PHARMACY ASSOCIATIONS,,,,,,,2500,2500,52500,52500,50000,61000,7500,,228500
Health Policy,,,,,,,2500,2500,52500,52500,50000,55000,,,215000
Medical Ed,,,,,,,,,,,,6000,5000,,11000
Patient & Professional Relations,,,,,,,,,,,,,2500,,2500
NATIONAL ASSOC OF DIRECTORS OF NURSING ADMINISTRATION,8925,4054,,,,,,,45580,36400,55370,15000,10000,,175329
Conventions,2175,1400,,,,,,,,21400,14500,,,,39475
ManagedCare FF,,2654,,,,,,,,,,,,,2654
Medical Ed,6750,,,,,,,,45580,15000,24870,15000,10000,,117200
St. Gov Leg  Aff,,,,,,,,,,,16000,,,,16000
NATIONAL ASSOC OF DRUG DIVERSION INVESTIGATORS INDIANA STATE CHAPTER,,,,,,,1000,,,,,,,,1000
LELE,,,,,,,1000,,,,,,,,1000
NATIONAL ASSOCIATION BOARD OF PHARMACY,1500,1000,1000,,,,,,,,,,,,3500
Analgesic,,,1000,,,,,,,,,,,,1000
Medical Ed,1500,1000,,,,,,,,,,,,,2500
NATIONAL ASSOCIATION BOARDS OF PHAR DISTRICT 6 7,8500,,,2000,,,,,,5000,,,,,7500
Medical Ed,500,,,2000,,,,,,5000,,,,,7500
NATIONAL ASSOCIATION OF ATTORNEYS GENERAL,,75,,,,,,,,,,,,,75
Public Affairs,,75,,,,,,,,,,,,,75
NATIONAL ASSOCIATION OF BOARDS OF PHARMACY,,9600,12470,15000,12500,22500,30000,25000,25000,1025000,75000,25000,20000,,1297070
Analgesic,,,4000,,,,,,,,,,,,4000
Creative Servs,,,20,,,,,,,,,,,,20
Health Policy,,560,,,,15000,15000,15000,,1015000,15000,15000,15000,,1105560
Library InfoServ,,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,50000
Medical Ed,,9000,3450,10000,7500,2500,10000,5000,20000,5000,5000,5000,5000,,87450
Medical Servs,,20,,,,,,,,,,,,,20
St. Gov Leg  Aff,,20,,,,,,,,,50000,,,,50020
NATIONAL ASSOCIATION OF CHAIN DRUG STORES,81310,63425,23385,9960,29060,39510,73560,22600,34370,37230,94620,6210,35190,,550430
Conventions,36600,45200,8550,,19100,19550,63600,22600,12450,34350,84660,6210,35190,,388060
Executive Admin,9960,,,,,,,,,,,,,,9960
Market Research,,975,,,,,,,,,,,,,975
National Accts,9750,17250,4875,9960,9960,19960,9960,,,,9960,,,,91675
