Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,18715.1,27744.26,20270,,,,,,,,,,,,66729.36
PENNSYLVANIA SOCIETY OF ONCOLOGY AND HEMATOLOGY,1000,1000,,,,,,,,,,,,,2000
Conventions,1000,1000,,,,,,,,,,,,,2000
PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA,928299,2446750.33,1687370.25,253000,141750,295100,1087434,2481730,3776050,1309665,2449868,2411346,2432120,1211751,22912233.58
Chemical Dev,,825,,,,,,,,,,,,,825
Dom Oth Inc_Exp,,,,,,,,,,,,,,1211751,1211751
Executive Admin,,,,,,,,,,,,,1249746,,1249746
Fed Gov Affairs,,,11506.25,,,,1062434,2474730,3770300,1304565,2439868,2401696,,,13465099.25
General Counsel,,18695,6050,3000,16500,42900,25000,7000,5750,5100,10000,9650,5917,,155562
Medical Ed,50000,,,,,,,,,,,,,,50000
Public Affairs,878299,2427230.33,1669814,250000,125000,250000,,,,,,,,,5600343.33
St. Gov Leg  Aff,,,,,250,2200,,,,,,,1176457,,1178907
PHILADELPHIA ACADEMY OF FAMILY PHYSICIANS,4000,,,,,,,,,,,,,,4000
Lecture Program,4000,,,,,,,,,,,,,,4000
PHILADELPHIA AREA CHAPTER OF ONCOLOGY NURSING SOCIETY,500,500,,,,,,,,,,,,,1000
Conventions,,500,,,,,,,,,,,,,500
Lecture Program,500,,,,,,,,,,,,,,500
PHILADELPHIA SOCIETY OF ANESTHESIOLOGISTS,2500,,,,,,,,,,,,,,2500
Lecture Program,2500,,,,,,,,,,,,,,2500
PITTSBURGH CHAPTER OF THE AMERICAN SOCIETY FOR PAIN MANAGEMENT NURSING,,,,,,,,,,1000,500,,,,1500
Conventions,,,,,,,,,,,500,,,,500
Medical Ed,,,,,,,,,,1000,,,,,1000
Police Chiefs of Rockland County,,,,,,,,,,,1500,1500,1500,,4500
Corp.Security,,,,,,,,,,,,1500,1500,,3000
LELE,,,,,,,,,,,1500,,,,1500
PQA INC PHARMACY QUALITY ALLIANCE,,,,,,,,,,,15546,55000,3500,27500,101546
Health Policy,,,,,,,,,,,15546,55000,3500,27500,101546
PRODUCT STEWARDSHIP INSTITUTE INC,,,,,,,,5000,,2500,,2000,,,9500
General Counsel,,,,,,,,5000,,,,,,,5000
St. Gov Leg  Aff,,,,,,,,,,2500,,2000,,,4500
PROSTATE NET INC,,15000,5000,,,250,9579,5000,,,,,,,34829
Medical Ed,,,,,,,9579,5000,,,,,,,14579
Pur Pharma Fund,,15000,5000,,,,,,,,,,,,20000
St. Gov Leg  Aff,,,,,,250,,,,,,,,,250
PUERTO RICAN ASSN OF PHYSICAL MEDICINE & REHABILITATION,,,,1500,,1500,1700,1400,1190,,935,1100,2000,,11325
Conventions,,,,1500,,1500,1700,1400,1190,,935,1100,2000,,11325
PUERTO RICO ACADEMY OF FAMILY PHYSI ACADEMIA DE MEDICOS DE PURETO RICO,,1500,,,,,,,,2500,2500,2500,,,9000
Conventions,,,,,,,,,,2500,2500,2500,,,7500
ManagedCare FF,,1500,,,,,,,,,,,,,1500
PUERTO RICO ACADEMY OF FAMILY PHYSICIANS,1 500 ,,,,,,,,,,,,,,1500
Lecture Program,1500,,,,,,,,,,,,,,1500
RARE PROJECT,,,,,,,,,,,,16000,,,16000
St. Gov Leg  Aff,,,,,,,,,,,,16000,,,16000
REFLEX SYMPATHETIC DYSTROPHY OF AMERICA,30000,35000,35000,35000,5000,5000,15500,12500,22500,32500,17500,17500,12500,,275500
Medical Ed,,,,,,,,,10000,20000,,,,,30000
Pur Pharma Fund,30000,35000,35000,35000,,,3000,,,,,,,,138000
St. Gov Leg  Aff,,,,,5000,5000,12500,12500,12500,12500,17500,17500,12500,,107500
REPUBLICAN  LEGISLATIVE ELECTION COMMITTE,,1000,,,,,,,,,,,,,1000
Government Aff,,1000,,,,,,,,,,,,,1000
REPUBLICAN NATIONAL STATE ATTENTION TIM BARNES,25000,,,,,,,,,,,,,,25000
Government Aff,25000,,,,,,,,,,,,,,25000
REPUBLICAN PARTY OF NEW MEXICO,,,,,,500,500,,,,,,,,1000
St. Gov Leg  Aff,,,,,,500,500,,,,,,,,1000
REPUBLICAN STATE LDRSHIP COMMITTEE,,35000,25000,35000,70000,40000,40000,45000,45000,50000,65000,65000,25000,,540000
St. Gov Leg  Aff,,35000,25000,35000,70000,40000,40000,45000,45000,50000,65000,65000,25000,,540000
RESEARCHAMERICA,,95000,,,10000,6000,6000,6000,6000,6000,,20000,8500,,163500
Executive Admin,,,,,10000,6000,6000,6000,6000,6000,,,,,40000
Public Affairs,,95000,,,,,,,,,,,6000,,101000
St. Gov Leg  Aff,,,,,,,,,,,,20000,2500,,22500
