Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
HEMOTOLOGY/ONCOLOGY PHARMACY ASSOCIATION,,,,,,,,,,,5000,,,,5000
Medical Ed,,,,,,,,,,,5000,,,,5000
HOPE OF SOUTHWEST FLORIDA INC HOPE HOSPICE & PALLIATIVE CARE,,,6182.06,5513.74,,,,,,,,,,,11695.8
Other,,,6182.06,5513.74,,,,,,,,,,,11695.8
HOPE OF WISCONSIN,3000,1000,175,,,,,,,,,,,,4175
Conventions,,,175,,,,,,,,,,,,175
Lecture Program,3000,,,,,,,,,,,,,,3000
Medical Ed,,1000,,,,,,,,,,,,,1000
HOSPICE & PALLIATIVE NURSES FOUNDATION,,,,,,1000,,,,,,,,,1000
Medical Ed,,,,,,1000,,,,,,,,,1000
HOSPICE AND PALLIATIVE CARE ASSOCIATION,600,3000,3300,,,,,,,,,,,,6900
Conventions,600,,300,,,,,,,,,,,,900
Medical Ed,,3000,3000,,,,,,,,,,,,6000
HOSPICE AND PALLIATIVE NURSE ASSOCIATION,17850,11330,20945,180,,,85,,,,,6 95,,,51085
Conventions,,,,,,,,,,,,6 95,,,695
Medical Ed,7850,11260,,,,,,,,,,,,,19110
Mkt Intrnt Strt,,,12655,,,,,,,,,,,,12655
Other,10000,,8220,,,,,,,,,,,,18220
Public Affairs,,70,,,,,,,,,,,,,70
St. Gov Leg  Aff,,,70,180,,,85,,,,,,,,335
HOSPICE FOUNDATION OF AMERICA,,,,20000,,,,,,,,,,,20000
Medical Ed,,,,20000,,,,,,,,,,,20000
HOSPICE SERVICE OF LAKE COUNTY,2400,,,,,,,,,,,,,,2400
Medical Ed,2400,,,,,,,,,,,,,,2400
HOSPITAL PHARMACISTS OF WESTERN MA,,2600,,,,,,,600,,,,,,3200
Conventions,,,,,,,,,600,,,,,,600
Lecture Program,,2600,,,,,,,,,,,,,2600
IASP 2010 JPDL MONTREAL,,,,,,,64988.33,126634.34,,,,,,,191622.67
Conventions,,,,,,,64988.33,125060.38,,,,,,,190048.71
Discovery Admin,,,,,,,,1573.96,,,,,,,1573.96
IDAHO ACADEMY OF FAMILY PHYSICIANS INC,440,,,,,,,,,,,,,,440
Lecture Program,440,,,,,,,,,,,,,,440
IDAHO MEDICAL ASSOCIATION,475,,,,,,,,,,,,,,475
ManagedCare FF,475,,,,,,,,,,,,,,475
IDAHO NURSES ASSOCIATION,,,,,250,,,,,,,,,,250
Conventions,,,,,250,,,,,,,,,,250
IDAHO SOCIETY FOR INTERVENTIONAL PAIN PHYSICIANS,,300,,,,,,,,,,,,,300
Conventions,,300,,,,,,,,,,,,,300
IDAHO SOCIETY OF ANESTHESIOLOGISTS,,400,,,,,,,,,,,,,400
Conventions,,400,,,,,,,,,,,,,400
ILLINOIS ACADEMY OF FAMILY,3000,10000,,,,1000,,,75380,6000,14200,,,,109580
Lecture Program,3000,,,,,,,,,,,,,,3000
Medical Ed,,10000,,,,1000,,,75380,6000,14200,,,,106580
ILLINOIS COUNCIL OF HEALTH SYSTEM PHARMACISTS,2450,,,,,,,,,,,,,,2450
Conventions,750,,,,,,,,,,,,,,750
Market Strategies,1700,,,,,,,,,,,,,,1700
ILLINOIS DRUG ENFORCEMENT OFFICERS ASSOC,,350,,,,,,,,,,,,,350
LELE,,350,,,,,,,,,,,,,350
ILLINOIS HOSPICE & PALLATIVE CARE O,,,10000,600,,,,,,,,,,,10600
Medical Ed,,,,600,,,,,,,,,,,600
Pur Pharma Fund,,,10000,,,,,,,,,,,,10000
ILLINOIS NURSING HOME ADMINISTRATORS ASSN,,575,,,,,,,,,,,,,575
Conventions,,575,,,,,,,,,,,,,575
ILLINOIS PHARMACY CONVENTION C/O ILLINOIS PHARMACISTS ASSOC,,900,,,,,,,,,,,,,900
Conventions,,900,,,,,,,,,,,,,900
ILLINOIS SOC OF ANESTHESIOLOGISTS,800,,,,,,,,,,,,,,800
Conventions,800,,,,,,,,,,,,,,800
ILLINOIS SOCIETY OF ADDICTION MEDICINE,4000,,,,,,,,,,,,,,4000
Lecture Program,4000,,,,,,,,,,,,,,4000
