Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
VERMONT SOCIETY OF HEALTH SYSTEM PHARMACISTS,,400,,,,,,,,,,,,,400
Conventions,,400,,,,,,,,,,,,,400
VERMONT STATE NURSES  ASSOCIATION,3500,,,,,,,,,,,,,,3500
Lecture Program,3500,,,,,,,,,,,,,,3500
VIRGINIA ACADEMY OF FAMILY PHYSCIANS,820,5950,,,,2000,,1500,,2000,2000,2000,,,16270
Conventions,820,950,,,,,,,,,,,,,1770
Medical Ed,,5000,,,,2000,,1500,,2000,2000,2000,,,14500
VIRGINIA ACADEMY OF PHYSICIAN ASSISTANTS,,,,,,,,5000,,,,2500,,,7500
Medical Ed,,,,,,,,5000,,,,2500,,,7500
VIRGINIA ASSOCIATION OF CHIEFS OF POLICE,,3500,,,,,,,,,,,,,3500
LELE,,3500,,,,,,,,,,,,,3500
VIRGINIA GERIATRICS SOCIETY,,1000,1500,,,,,,,,,,,,2500
Conventions,,1000,1500,,,,,,,,,,,,2500
VIRGINIA INDUSTRIAL PLASTICS,,,,,,3352.77,,,,,,,,,3352.77
Pharm Tech,,,,,,2454.04,,,,,,,,,2454.04
Quality Assur,,,,,,898.73,,,,,,,,,898.73
VIRGINIA PHARMACISTS ASSOCIATION,2125,1503.87,,,1500,,,,,,,,,,5128.87
Conventions,,725,,,,,,,,,,,,,725
Lecture Program,2125,,,,,,,,,,,,,,2125
Market Strategies,,778.87,,,,,,,,,,,,,778.87
Medical Ed,,,,,1500,,,,,,,,,,1500
VIRGINIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,2500,2500,750,,3085,2800,,,,,,,,,11635
Conventions,,,750,,,,,,,,,,,,750
Lecture Program,2500,,,,,,,,,,,,,,2500
Medical Ed,,2500,,,550,2800,,,,,,,,,5850
St. Gov Leg  Aff,,,,,2535,,,,,,,,,,2535
WASH STATE ACADEMY OF PHYS ASSIST,,3975,1825,550,,,,,,,,,,,6350
Conventions,,475,325,550,,,,,,,,,,,1350
Lecture Program,,3500,,,,,,,,,,,,,3500
Medical Ed,,,1500,,,,,,,,,,,,1500
WASHINGTON ACADEMY OF FAMILY PHYSICANS,500,1500,,,,,,,,,,,,,2000
Lecture Program,,1500,,,,,,,,,,,,,1500
Sales Force,500,,,,,,,,,,,,,,500
WASHINGTON ACADEMY OF PAIN MGMT,,,,,,995,995,,995,975,7500,,9 00,,12360
Conventions,,,,,,995,995,,995,975,,,9 00,,4860
Medical Ed,,,,,,,,,,,7500,,,,7500
WASHINGTON CHAPTER OF THE ACP ASIM,850,850,900,,,,,,,,,,,,2600
Conventions,850,850,900,,,,,,,,,,,,2600
WASHINGTON LEGAL FOUNDATION,5000,10000,10000,20000,50000,50000,75000,75000,75000,75000,75000,75000,50000,,645000
Pur Pharma Fund,5000,10000,10000,20000,,,,,,,,,,,45000
St. Gov Leg  Aff,,,,,50000,50000,75000,75000,75000,75000,75000,75000,50000,,600000
WASHINGTON STATE HOSPICE & PALLIATIVE CARE ORANIZATION,2000,3500,4500,,,,,,,,,,,,10000
Lecture Program,2000,3500,,,,,,,,,,,,,5500
Medical Ed,,,2500,,,,,,,,,,,,2500
Other,,,2000,,,,,,,,,,,,2000
WASHINGTON STATE MEDICAL ASSOC,8750,1250,,,,,,,,,,,,,10000
Conventions,1250,1250,,,,,,,,,,,,,2500
Market Strategies,7500,,,,,,,,,,,,,,7500
WASHINGTON STATE PHARMACISTS ASSOC,735,4200,1200,,,,,,,,,,,,13135
Conventions,,1200,1200,,,,,,,,,,,,2400
Lecture Program,5000,3000,,,,,,,,,,,,,8000
Medical Ed,1500,,,,,,,,,,,,,,1500
Medical Liason,35,,,,,,,,,,,,,,35
Sales Force,1200,,,,,,,,,,,,,,1200
WEST CENTRAL FLORIDA HOSPICE & PALLIATIVE NURSES ASSN,,500,,,,,,,,,,,,,500
Medical Ed,,500,,,,,,,,,,,,,500
WEST CENTRAL MINNESOTA ONCOLOGY NURSING SOCIETY,,500,,,,,,,,,,,,,500
Conventions,,500,,,,,,,,,,,,,500
WEST CENTRAL OHIO CHAPTER OF  THE  ONCOLOGY NURSING SOCIETY,,250,,,,,,,,,,,,,250
