Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,19448,10000,85000,10000,,10000,20000,75000,75000,50000,80000,40000,,474448
Professional Rels,,,160000,150000,,,,,,,,,,,310000
St. Gov Leg  Aff,,,,,17500,10000,10000,,,,,,,,37500
AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,81200,93003.84,57500,,4800,,15000,61500,78764,117650,158550,16900,70300,,755167.84
Conventions,23700,17200,,,4800,,5000,32500,,3000,42800,,55300,,184300
Medical Ed,17500,65803.84,17500,,,,10000,29000,58764,79650,75500,16900,15000,,385617.84
Other,40000,10000,40000,,,,,,,,,,,,90000
Promotions RX,,,,,,,,,,,40250,,,,40250
St. Gov Leg  Aff,,,,,,,,,20000,35000,,,,,55000
AMERICAN ASSOC OF NURSE ASSESSMENT COORDINATION,,,,,,,,,,,30708,10000,6000,,46708
Medical Ed,,,,,,,,,,,8500,10000,,,18500
St. Gov Leg  Aff,,,,,,,,,,,22208,,6000,,28208
AMERICAN ASSOCIATION OF MANAGED CARE NURSES,,3500,,,,,,,,,,,,,3500
Medical Ed,,2000,,,,,,,,,,,,,2000
Prof Relations,,1500,,,,,,,,,,,,,1500
AMERICAN BOARD OF PAIN MEDICINE,,175,,,,,,,47066,,,,,,47241
Analgesic,,175,,,,,,,47066,,,,,,47241
AMERICAN BRAIN TUMOR ASSOC,,,,,,,,1000,1000,1000,1000,1000,1000,,6000
St. Gov Leg  Aff,,,,,,,,1000,1000,1000,1000,1000,1000,,6000
AMERICAN CANCER SOC CANCER NTWK INC,,,,,,90000,,,1500,,,26000,25000,25000,167500
Patient & Professional Relations,,,,,,,,,,,,,,25000,25000
Pur Pharma Fund,,,,,,90000,,,,,,,,,90000
St. Gov Leg  Aff,,,,,,,,,1500,,,26000,25000,,52500
AMERICAN CANCER SOCIETY,22000,19150,53560,63660,25020,16950,14620,48000,39500,46000,42000,46250,19750,,456460
Admin Servs,,,,,500,,,,,,,,,,500
Analgesic,,,,120,,,,,,,,,,,120
Conventions,500,1350,,,,,,,,,500,7 50,,,3100
Dom Oth Inc_Exp,,,,,,2200,,,,,,,,,2200
Executive Admin,250,,,,,,,,,,5000,5000,,,10250
Lecture Program,4500,3000,,,,,,,,,,,,,7500
Market Strategies,,850,,,,,,,,,,,,,850
Medical Ed,1500,,,2500,2500,5000,,,,4000,,,,,15500
Other,10000,,,,,,,,,,,,,,10000
Pur Pharma Fund,5250,13950,53500,11000,21000,8500,13620,48000,37500,40000,35000,39500,17500,,344320
St. Gov Leg  Aff,,,60,50040,1020,1250,1000,,2000,2000,1500,1000,2250,,62120
AMERICAN CANCER SOCIETY AM ALLIANCE OF CANCER PAIN INIT,300,300,283600,,1000,1000,1000,2000,1000,1000,1000,,,,292200
Conventions,300,300,,,,,,,,,,,,,600
Pur Pharma Fund,,,283600,,,,,,,,,,,,283600
St. Gov Leg  Aff,,,,,1000,1000,1000,2000,1000,1000,1000,,,,8000
AMERICAN CANCER SOCIETY ARMSTRONG UNIT,2,500,2500 50000,,,,,,,1000,,,,,56000
Medical Ed,2500,,,,,,,,,,,,,,2500
Pur Pharma Fund,,2500,50000,,,,,,,,,,,,52500
St. Gov Leg  Aff,,,,,,,,,,1000,,,,,1000
AMERICAN CANCER SOCIETY EASTERN DIVISION INC,,,,2500,,,5000,,,,,,,,7500
Medical Ed,,,,2500,,,,,,,,,,,2500
St. Gov Leg  Aff,,,,,,,5000,,,,,,,,5000
AMERICAN CANCER SOCIETY FL,,1200,,,,,,,,,,,,,1200
Conventions,,1200,,,,,,,,,,,,,1200
AMERICAN CANCER SOCIETY GREAT LAKE DIVISION INC,,,,,,1000,,,,,,,,,1000
St. Gov Leg  Aff,,,,,,1000,,,,,,,,,1000
AMERICAN CANCER SOCIETY GREAT WEST DIVN,,,,2500,,1000,7000,10000,,12000,,,,,32500
Medical Ed,,,,,,1000,5000,10000,,10000,,,,,26000
Pur Pharma Fund,,,,2500,,,,,,,,,,,2500
St. Gov Leg  Aff,,,,,,,2000,,,2000,,,,,4000
AMERICAN CANCER SOCIETY MIDWEST DIVISION INC,,900,,,,,,,,,,,,,900
Lecture Programs,,900,,,,,,,,,,,,,900
AMERICAN CANCER SOCIETY NORTHWEST DIVISION,10000,,,,,,,,,,,,,,10000
Pur Pharma Fund,10000,,,,,,,,,,,,,,10000
AMERICAN CANCER SOCIETY RI,250,,,,,,,,,,,,,,250
