Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
St. Gov Leg  Aff,,,,,201500,100000,10175.99,25000,25000,184520,25000,100000,15000,,686195.99
CENTRAL ARIZONA CHAPTER CMSA,400,,,,,,,,,,,,,,400
ManagedCare FF,400,,,,,,,,,,,,,,400
CENTRAL COAST COUNTIES PHARMACIST ASSOCIATION,1500,,,,,,,,,,,,,,1500
Lecture Program,1500,,,,,,,,,,,,,,1500
CENTRAL IOWA ONCOLOGY NURSING SOC,,1500,,,,,,,,,,,,,1500
Lecture Program,,1500,,,,,,,,,,,,,1500
CENTRAL MIDWEST CHAPTER AMERICAN SOCIETY FOR PAIN MGT NURSI,,2250,,,,,,,,,500,,,,2750
Conventions,,,,,,,,,,,500,,,,500
Lecture Programs,,2250,,,,,,,,,,,,,2250
CENTRAL MINNESOTA SOCIETY OF HOSPITAL PHARMACISTS,1000,1000,,,,,,,2500,,,,,,4500
Conventions,,1000,,,,,,,,,,,,,1000
ManagedCare FF,1000,,,,,,,,,,,,,,1000
Medical Ed,,,,,,,,,2500,,,,,,2500
CENTRAL OHIO ACADEMY OF FAMILY PHYSICIANS,1000,500,,,,,,300,,,,,,,1800
Conventions,,500,,,,,,300,,,,,,,800
Lecture Program,1000,,,,,,,,,,,,,,1000
CENTRAL PA ONCOLOGY NURSING SOCIETY CANCER CARE ASSOCI,750,1250,,,,,,,,,,,,,2000
Conventions,,250,,,,,,,,,,,,,250
Lecture Program,750,1000,,,,,,,,,,,,,1750
CHICAGO CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,,1300,,,,,,,,,,,1300
Conventions,,,,300,,,,,,,,,,,300
Medical Ed,,,,1000,,,,,,,,,,,1000
CHICAGO WESTERN SUBURBS CHPTR ONCOLOGY NURSING SOCIET1,500,,,,,,,,,,,,,,1500
Medical Ed,1500,,,,,,,,,,,,,,1500
CHILD NEUROLOGY EDUCATION & RESEARCH FOUNDATION,,,,,,,,,,10000,,,,,10000
St. Gov Leg  Aff,,,,,,,,,,10000,,,,,10000
CINCINNATI TRI STATE CHAPTER ONS,,500,,,,,,,,,,,,,500
Conventions,,500,,,,,,,,,,,,,500
CLEVELAND CHAPTER ONCOLOGY NURSING SOCIETY,2500,,,,,,,,,,,,,,2500
Lecture Program,2500,,,,,,,,,,,,,,2500
COLE BARRY E MD,37272.6,17669.14,4034.17,,,,,,,,,,,,58975.91
Lecture Program,37272.6,6121.37,,,,,,,,,,,,,43393.97
Lecture Programs,,11547.77,,,,,,,,,,,,,11547.77
Medical Ed,,,1034.17,,,,,,,,,,,,1034.17
New Prod-Budget,,,3000,,,,,,,,,,,,3000
COLLEGE OF OSTEOPATHIC MEDICINE OF OKLAHOMA STATE UNIV ALUMNI ASSN,,1000,,,,,,,,,,,,,1000
Medical Ed,,1000,,,,,,,,,,,,,1000
COLORADO ACADEMY OF FAMILY PHYSICIANS,2000,850,,,,,,,5000,,,,,,7850
Conventions,,850,,,,,,,,,,,,,850
Lecture Program,2000,,,,,,,,,,,,,,2000
Medical Ed,,,,,,,,,5000,,,,,,5000
COLORADO ASSOC OF CHIEFS OF POLICE,,,400,,,,,,,,,,,,400
LELE,,,400,,,,,,,,,,,,400
COLORADO BUREAU OF INVESTIGATION,,,,,79,,,39.5,,,,39.5,,,158
General Counsel,,,,,79,,,39.5,,,,39.5,,,158
COLORADO MEDICAL DIRECTORS ASSOC,650,,,,,,,,,,,,,,650
Lecture Program,650,,,,,,,,,,,,,,650
COLORADO PRESCRIPTION DRUG ABUSE TASK FORCE,4.99,10100,,,,,,,,,,,,,10104.99
Creative Servs,4.99,,,,,,,,,,,,,,4.99
Medical Ed,,10100,,,,,,,,,,,,,10100
COLORADO SOCIETY OF OSTEOPATHIC MEDICINE,3500,,1200,,,5000,,,,,,,,,9700
Conventions,,,1200,,,,,,,,,,,,1200
Medical Ed,,,,,,5000,,,,,,,,,5000
Other,3500,,,,,,,,,,,,,,3500
COLUMBIA COUNTY BOARD OF COMMISS COLUMBIA COUNTY SHERIFF OFFICE,,,10000,,,,,,,,,,,,10000
Corp.Security,,,10000,,,,,,,,,,,,10000
COLUMBIA COUNTY SHERIFFS DEPT SHERIFFS OFFICE,,,1000,,,,,,,,,,,,1000
Corp.Security,,,1000,,,,,,,,,,,,1000
