Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
AMERICAN COLLEGE OF PREVENTATIVE MEDICINE,,,,,,,,,30000,,25000,,,,55000
Medical Ed,,,,,,,,,20000,,25000,,,,45000
St. Gov Leg  Aff,,,,,,,,,10000,,,,,,10000
AMERICAN COLLEGE OF RHEUMATOLOGY,4400,,4600,9500,10800,,,,,,,,,,29300
Conventions,4400,,4600,9500,10800,,,,,,,,,,29300
AMERICAN COLLEGE OF RHUMATOLOGY,,,,,,,,5600,,,,,,,5600
Conventions,,,,,,,,5600,,,,,,,5600
American College of Toxicology,5431.75,3275,2243.25,2200,,,3000,1500,1500,1500,,1500,,,22150
Clinical Pharm,100,,,,,,,,,,,,,,100
Medical Ed,,,,,,,,,1500,,,,,,1500
NDSE,3831.75,1775,1243.25,,,,,,,,,,,,6850
PKDM,,,,,,,1500,1500,,1500,,1500,,,6000
PPMD Pharma Tech,,,,,,,1500,,,,,,,,1500
Pur Pharma Fund,1500,1500,1000,2200,,,,,,,,,,,6200
AMERICAN DIABETES ASSOCIATION,,5200,,,,,,1000,,,,,,,6200
Pur Pharma Fund,,5200,,,,,,,,,,,,,5200
St. Gov Leg  Aff,,,,,,,,1000,,,,,,,1000
AMERICAN DRUG UTILIZATION REVIEW SOCIETY,20000,,40000,20000,,20000,20000,40000,20000,,,,,,180000
ManagedCare FF,,,20000,,,,,,,,,,,,20000
Market Strategies,20000,,,,,,,,,,,,,,20000
Medical Ed,,,20000,,,,20000,40000,20000,,,,,,100000
Other,,,,20000,,,,,,,,,,,20000
Sales Force,,,,,,20000,,,,,,,,,20000
AMERICAN GERIATRICS SOCIETY,68750,,1950,,,6000,,44850,,40987.5,11750,,,,174287.5
Conventions,21700,,1950,,,,,,,,,,,,23650
Medical Ed,47050,,,,,,,44850,,40987.5,,,,,132887.5
St. Gov Leg  Aff,,,,,,6000,,,,,11750,,,,17750
AMERICAN HEADACHE SOCIETY,,150,,,,,,,,,,,,,150
Analgesic,,150,,,,,,,,,,,,,150
AMERICAN HEART ASSOC,475,2500,,,2750,,,3500,,7000,7600,5000,10000,,38825
EHS Corp,,,,,750,,,,,,,,,,750
Executive Admin,,,,,,,,,,,2500,,,,2500
Human Resources,,,,,,,,,,,100,,,,100
Pur Pharma Fund,475,2500,,,2000,,,2500,,7000,5000,5000,10000,,34475
St. Gov Leg  Aff,,,,,,,,1000,,,,,,,1000
AMERICAN HOSPICE FOUNDATION DC,,,,,,,,,,75000,,50000,,,125000
Medical Ed,,,,,,,,,,75000,,50000,,,125000
AMERICAN LEGISLATIVE EXCHANGE COUNC,500,,,200,10000,8000,,20000,10700,375,20000,10000,17500,,97275
General Counsel,,,,200,,,,,,,,,,,200
Government Aff,500,,,,,,,,,,,,,,500
St. Gov Leg  Aff,,,,,10000,8000,,20000,10700,375,20000,10000,17500,,96575
AMERICAN LUNG ASSOC,,,900,,,,,,,,,,,,900
Stmfd Bldg Serv,,,900,,,,,,,,,,,,900
AMERICAN LUNG ASSOC OF DE,,350,,,,,,,,,,,,,350
Conventions,,350,,,,,,,,,,,,,350
AMERICAN LUNG ASSOCIATION,,,,,,,,,,120,,,,,120
Emply Benefits,,,,,,,,,,120,,,,,120
AMERICAN LUNG ASSOCIATION OF ILLINOIS IOWA,,325,350,,,,,,,,,,,,675
Conventions,,325,350,,,,,,,,,,,,675
AMERICAN LUNG ASSOCIATION OF MAINE MAINE THORACIC SOCIETY,,500,,,,,,,,,,,,,500
Conventions,,530,,,,,,,,,,,,,530
Other,,-30,,,,,,,,,,,,,-30
AMERICAN LUNG ASSOCIATION OF MASSACHUSETTES INC,,1000,,,,,,,,,,,,,1000
Conventions,,1000,,,,,,,,,,,,,1000
AMERICAN LUNG ASSOCIATION OF THE NORTHERN ROCKIES,,450,2450,,,,,,,,,,,,2900
Conventions,,450,450,,,,,,,,,,,,900
Medical Ed,,,2000,,,,,,,,,,,,2000
AMERICAN MED DIRECTORS ASSOCIATION,16000,1000,,,,,,,,,,,,,17000
Conventions,9000,1000,,,,,,,,,,,,,10000
