Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Professional Rels,,,9960,,,,,,,,,,,,9960
Pur Pharma Fund,25000,,,,,,,,,,,,,,25000
Rhodes Sale Dst,,,,,,,,,21920,2880,,,,,24800
NATIONAL ASSOCIATION OF CHAIN DRUG STORES FOUNDATION INC,,12500,,,,,,,,,,,,,12500
Medical Ed,,12500,,,,,,,,,,,,,12500
NATIONAL ASSOCIATION OF MANAGED CARE PHYSICIANS,10885,5000,,5000,2500,2500,2500,12500,57000,25000,57000,28800,70800,,279485
ManagedCare FF,,,,,,,,,,,,3800,3800,,7600
Medical Ed,2500,,,,,,,12500,57000,25000,57000,25000,67000,,246000
Par Against,3385,,,,,,,,,,,,,,3385
Prof Relations,5000,5000,,,,,,,,,,,,,10000
Professional Rels,,,,5000,,,,,,,,,,,5000
St. Gov Leg  Aff,,,,,2500,2500,2500,,,,,,,,7500
NATIONAL ASSOCIATION OF STATE CONTROLLED SUBSTANCE AUTHORITIES,,50000,,,,,,,,,,,,,50000
Pur Pharma Fund,,50000,,,,,,,,,,,,,50000
NATIONAL CHILDRENS CANCER SOCIETY,,,250,,,,,,,,,,,,250
Pur Pharma Fund,,,250,,,,,,,,,,,,250
NATIONAL COALITION FOR CANCER SURVIVORSHIP,,,,1000,1000,,,,2500,1000,1000,1000,,,7500
Pur Pharma Fund,,,,1000,,,,,,,,,,,1000
St. Gov Leg  Aff,,,,,1000,,,,2500,1000,1000,1000,,,6500
NATIONAL COMMUNITY PHARMACISTS ASSN,107400,77400,86000,24500,123700,33500,81165,24137,15000,,29700,15000,15000,9500,642002
Analgesic,,,,,,,,302,,,,,,,302
Conventions,,6050,,,,,,8835,,,,,,,14885
Corp.Security,,10000,,,,,,,,,,,,,10000
Customer Serv,,,14500,,,,,,,,,,,,14500
Market Strategies,113400,,,,600,,40000,15000,15000,,,,,,184000
Medical Ed,,15000,62500,8000,96100,,31665,,,,10000,15000,15000,,253265
Mkt Intrnt Strt,,14500,,,,,,,,,,,,,14500
National Accts,,10000,9000,,27000,,9500,,,,9500,,,9500,74500
Other -6000,,,,,,,,,,,,,,,-6000
PPMD - IT,,,,16500,,18500,,,,,,,,,35000
Promotions RX,,15000,,,,,,,,,2000,,,,17000
Public Affairs,,6850,,,,,,,,,8200,,,,15050
Sales Force,,,,,,15000,,,,,,,,,15000
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION,,,,,,,,,10500,,,,,,10500
Promotions RX,,,,,,,,,10500,,,,,,10500
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION FOUNDATION,,,5000,,,,,,118550,115500,21680,,9000,,269730
Conventions,,,,,,,,,8550,,,,9000,,17550
Medical Ed,,,5000,,,,,,100000,,,,,,105000
National Accts,,,,,,,,,,10500,,,,,10500
Public Affairs,,,,,,,,,10000,90000,6680,,,,106680
Pur Pharma Fund,,,,,,,,,,15000,15000,,,,30000
NATIONAL CONFERENCE FOR NURSE PRACTITIONERS,7000,1925,,,,,,,,,,,,,8925
Conventions,,1925,,,,,,,,,,,,,1925
Medical Ed,7000,,,,,,,,,,,,,,7000
NATIONAL CONFERENCE OF STATE LEGISLATURES,,,5000,,,,,,,,,,,,5000
St. Gov Leg  Aff,,,5000,,,,,,,,,,,,5000
NATIONAL CONSUMERS LEAGUE,5000,,,,,,,25000,25000,,50000,25000,,,130000
Pur Pharma Fund,5000,,,,,,,25000,25000,,,,,,55000
St. Gov Leg  Aff,,,,,,,,,,,50000,25000,,,75000
NATIONAL COUNCIL ON PATIENT INFORMATIN AND EDUCATION,31000,28775,14000,15000,,7500,71500,,82200,26508,84980,70667,8250,,440380
Par Against,,28775,,,,,,,,,,,,,28775
Pur Pharma Fund,31000,,14000,7500,,,64000,,82200,,,,,,198700
St. Gov Leg  Aff,,,,7500,,7500,7500,,,26508,84980,70667,8250,,212905
NATIONAL FAMILY CAREGIVERS ASSN,,15000,5000,,,,7500,18500,15162.85,17000,2500,20000,15200,15000,130862.85
Patient & Professional Relations,,,,,,,,,,,,,200,15000,15200
Public Affairs,,,,,,,,15000,162.85,,,,,,15162.85
Pur Pharma Fund,,15000,5000,,,,,,,2000,,,,,22000
St. Gov Leg  Aff,,,,,,,7500,3500,15000,15000,2500,20000,15000,,78500
NATIONAL FIBROMYALGIA,2500,,,,,,,,,,,,,,2500
