Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ManagedCare FF,850,,,,,,,,,,,,,,850
Medical Ed,,,,,,,,2500,4500,2000,,,,,9000
NEBRASKA ACADEMY OF PHYSICIAN ASSISTANTS,500,500,,600,,600,,,,,,,,,2200
Conventions,,500,,600,,600,,,,,,,,,1700
Lecture Program,500,,,,,,,,,,,,,,500
NEBRASKA MEDICAL ASSOCIATION,,,750,,,,,,,,,,,,750
Conventions,,,750,,,,,,,,,,,,750
NEBRASKA PHARMACISTS ASSOC INC,750,,,1000,,,,,,,,,,,1750
Lecture Program,750,,,,,,,,,,,,,,750
Medical Ed,,,,1000,,,,,,,,,,,1000
NEUROPATHY ASSOCIATION INC,,,,,,50,,,,,,3200,,,3250
St. Gov Leg  Aff,,,,,,50,,,,,,3200,,,3250
NEVADA ACADEMY OF FAMILY FAMILY PRACTICE,,1800,,,,,,,,,,,,,1800
Conventions,,1800,,,,,,,,,,,,,1800
NEVADA OSTEOPATHIC MEDICAL ASSOC,,1500,,,,,,,,,,,,,1500
Lecture Program,,1500,,,,,,,,,,,,,1500
NEVADA PSYCHIATRIC ASSOC,7500,,17500,,,,,,,,,,,,25000
Medical Ed,,,17500,,,,,,,,,,,,17500
Other,7500,,,,,,,,,,,,,,7500
NEVADA STATE BOARD OF PHARMACY,425,,500,,,,,,,,,,,,925
General Counsel,425,,500,,,,,,,,,,,,925
NEW ENGLAND NARCOTIC ENFORCEMENT,,,,,,,,15000,5000,,2500,,,,22500
Corp.Security,,,,,,,,15000,,,2500,,,,17500
LELE,,,,,,,,,5000,,,,,,5000
NEW ENGLAND SOCIETY OF ANESTHESIOLOGISTS INC,,750,,,,,,,,,,,,,750
Conventions,,750,,,,,,,,,,,,,750
NEW HAMPSHIRE BOARD OF PHARMACY,250,250,250,250,250,750,500,500,500,750,750,250,750,,6000
General Counsel,250,250,250,250,250,750,500,500,500,750,750,250,750,,6000
NEW HAMPSHIRE HOSPICE AND PALLIATIVE CARE ORGANIZATION,3000,5000,2500,5000,,,1000,,,250,375,,,,17125
Conventions,,,,,,,,,,250,375,,,,625
Lecture Program,3000,,,,,,,,,,,,,,3000
Medical Ed,,5000,2500,5000,,,1000,,,,,,,,13500
NEW HAMPSHIRE MEDICAL DIRECTORS ASSOCIATION,,,,,,,,,,,700,750,750,,2150
Conventions,,,,,,,,,,,700,750,750,,2150
NEW HAMPSHIRE NURSES ASSOC,,3550,,,,,,,,,,,,,3550
Medical Ed,,3550,,,,,,,,,,,,,3550
NEW HAMPSHIRE PHARMACISTS ASSN,,1500,,,,,,,3000,500,750,,,,5750
Conventions,,,,,,,,,1000,500,750,,,,2250
Lecture Program,,1500,,,,,,,,,,,,,1500
Medical Ed,,,,,,,,,2000,,,,,,2000
NEW HAMPSHIRE SOCIETY OF HEALTH SYSTEM PHARM INC,2000,500,,,,,,,,,,,,,2500
Conventions,,500,,,,,,,,,,,,,500
Lecture Program,2000,,,,,,,,,,,,,,2000
NEW HAMPSHIRE SOCIETY OF PHYSICIAN ASSISTANCE,500,4500,,,,,,,,750,,,,,5750
Conventions,500,2250,,,,,,,,750,,,,,3500
Lecture Program,,2250,,,,,,,,,,,,,2250
NEW JERSEY ASSOCIATION OF DIRECTORS OF NURSING ADMINIST,750,900,900,,,,,,,,,,,,2550
Conventions,,900,900,,,,,,,,,,,,1800
Lecture Program,750,,,,,,,,,,,,,,750
NEW JERSEY GERIATRIC SOCIETY,3000,2000,,,,,,,,,,,,,5000
Conventions,,1000,,,,,,,,,,,,,1000
Lecture Programs,,1000,,,,,,,,,,,,,1000
Medical Ed,3000,,,,,,,,,,,,,,3000
NEW JERSEY HOSPICE AND PALLIATIVE CARE ORGANIZATION,,375,375,,,,,,,,,,,,750
Conventions,,375,375,,,,,,,,,,,,750
NEW JERSEY MEDICAL DIRECTORS ASSOC,,1500,1500,,,,,,,,,,,,3000
Lecture Programs,,1500,,,,,,,,,,,,,1500
Medical Ed,,,1500,,,,,,,,,,,,1500
NEW JERSEY NARCOTIC ENFORCEMENT OFFICERS ASSOC,500,,,,,,,,,,,,,,500
