Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Clin Risk Assess,,220,,,,,,,,,,,,,220
Clinical Rsch 3,,440,348,,,,75,,,,,,,,863
Conventions,,,,,,,2500,,,,,,,,2500
IRD Admin,45,60,75,,,,,,,,,,,,180
Medical Ed,10000,2500,2500,5000,2500,5000,5000,,,,,,,,32500
Prof Relations ,45,,,,,,,,,,,,,,45
EHLERS DANLOS NATIONAL FOUNDATION,,,,,,5250,,,,2000,,,,,7250
St. Gov Leg  Aff,,,,,,5250,,,,2000,,,,,7250
EHLERS DANLOS SYNDROME NETWORK CARES INC,,,,,,,,,10000,,,,,,10000
St. Gov Leg  Aff,,,,,,,,,10000,,,,,,10000
FBI NATIONAL ACADEMY ASSOCIATES 30,,21330,2229,3430,10646,,9402,19608,10000,6934,,2186,,,85795
Analgesic 30,,1330,,,,,,,,,,,,,1360
LELE,,20000,2229,3430,10646,,9402,19608,10000,6934,,2186,,,84435
FBI NATIONAL ACADEMY ASSOCIATES NEW JERSEY CHAPTER,,,,,,,,,,,500,,,,500
LELE,,,,,,,,,,,500,,,,500
FBI NATIONAL ACADEMY ASSOCIATES WESTERN PENNSYLVANIA,,,,,,,,,,,300,300,,,600
LELE,,,,,,,,,,,300,300,,,600
FBI-LAW ENFORCEMENT EXECUTIVE DEVELOPMENT ASSOCIATION3,3700,25600,,25766.33,25647.7,26750,25000,25000,27633.29,37077.58,31500.69,67029.67,7574.3,25000,353279.56
Analgesic,3700,600,,,,,,,,,,,,,4300
Corp.Security,,25000,,25000,25000,25000,25000,25000,25000,29931.9,31500.69,61029.67,7574.3,25000,330036.56
LELE,,,,766.33,647.7,1750,,,2633.29,7145.68,,6000,,,18943
FEDERAL BUREAU OF INVESTIGATIONS NATIONAL ACADEMY,290,,,,,,,,,,,,,,290
Analgesic,290,,,,,,,,,,,,,,290
FEDERATION OF STATE MEDICAL BOARDS RESEARCH & EDUCATION FOUNDATI INC,,60000,199895,339000,50000,100000,,,,,,,,,748895
Analgesic,,,199895,339000,,100000,,,,,,,,,638895
Medical Ed,,60000,,,50000,,,,,,,,,,110000
FLORIDA  ACADEMY OF PHYSICIAN ASSISTANTS,3000,3000,695,,,,,5000,5000,,,,6500,,23195
Conventions,,,695,,,,,,,,,,1500,,2195
Lecture Program,3000,,,,,,,,,,,,,,3000
Medical Ed,,3000,,,,,,5000,5000,,,,5000,,18000
FLORIDA  SOCIETY OF ANESTHESIOLOGISTS INC,,,,1200,1400,,,,,,,,,,2600
Conventions,,,,1200,1400,,,,,,,,,,2600
FLORIDA ACADEMY OF FAMILY PHYS,,11000,,10000,,,,,,,,,,,21000
Conventions,,900,,,,,,,,,,,,,900
Medical Ed,,,,10000,,,,,,,,,,,10000
Prof Relations,,10100,,,,,,,,,,,,,10100
FLORIDA ACADEMY OF PAIN MEDICINE,950,1000,,3000,,,,,,,,,1500,,6450
Conventions,950,1000,,,,,,,,,,,1500,,3450
Medical Ed,,,,3000,,,,,,,,,,,3000
FLORIDA ACADEMY OF PHYSICIAN ASSISTANTS INC,,,,,,,,,,,13380,5000,,,18380
Medical Ed,,,,,,,,,,,13380,5000,,,18380
FLORIDA ASSOCIATION DIRECTORS OF NURSING ADMINISTRATION LTC,,,750,,,,,5000,10000,10000,10000,,,,35750
Conventions,,,750,,,,,,,,,,,,750
Medical Ed,,,,,,,,5000,10000,10000,10000,,,,35000
FLORIDA DEPARTMENT OF LAW ENFORCEMENT,,8749.43,,,,,,,,,,,,,8749.43
Other,,8749.43,,,,,,,,,,,,,8749.43
FLORIDA GERIATRICS SOCIETY,,750,,,,,,,,,,,,,750
Conventions,,750,,,,,,,,,,,,,750
FLORIDA MEDICAL ASSOCIATION INC,1070,7500,15000,5000,,,5000,,,,,5000,,,38570
Conventions,1070,,,,,,,,,,,,,,1070
Medical Ed,,,,5000,,,,,,,,,,,5000
Professional Rels,,,15000,,,,,,,,,,,,15000
Pur Pharma Fund,,7500,,,,,,,,,,,,,7500
St. Gov Leg  Aff,,,,,,,5000,,,,,5000,,,10000
FLORIDA MEDICAL DIRECTORS ASSOC,900,3650,,,,,,2500,,,7500,,,,14550
Conventions,,900,,,,,,,,,,,,,900
Lecture Programs,,2750,,,,,,,,,,,,,2750
ManagedCare FF,900,,,,,,,,,,,,,,900
Medical Ed,,,,,,,,2500,,,7500,,,,10000
