Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
TEXAS NARCOTIC OFFICERS ASSOCIATION,,,,,,,,,,,3000,3000,3000,,9000
Corp.Security,,,,,,,,,,,,,3000,,3000
LELE,,,,,,,,,,,3000,3000,,,6000
TEXAS OSTEOPATHIC MEDICAL ASSOC,875,400,,,,1200,,,,,,,,,2475
Conventions,,,,,,1200,,,,,,,,,1200
ManagedCare FF,875,400,,,,,,,,,,,,,1275
TEXAS PAIN SOCIETY,,15000,10000,5000,1500,2000,3500,5000,10000,10000,13100,1500,1500,,78100
Conventions,,,,,,,,,,,1600,1500,1500,,4600
Medical Ed,,15000,10000,5000,1500,2000,,5000,10000,10000,10000,,,,68500
Promotions RX,,,,,,,,,,,1500,,,,1500
St. Gov Leg  Aff,,,,,,,3500,,,,,,,,3500
TEXAS PHARMACY ASSOC,1550,3250,10750,3000,,1000,2000,12000,4000,23500,,15000,,,76050
Conventions,,2000,1750,,,,,,,,,,,,3750
Health Policy,,,,,,,,10000,,,,,,,10000
Lecture Program,1550,,,,,,,,,,,,,,1550
Market Strategies,,1250,,,,,,,,,,,,,1250
Medical Ed,,,,3000,,1000,2000,2000,4000,23500,,15000,,,50500
Other,,,9000,,,,,,,,,,,,9000
TEXAS PHARMACY FOUNDATION,,,,,,,,,12500,,,,,,12500
Medical Ed,,,,,,,,,12500,,,,,,12500
TEXAS SOCIETY OF ANESTHESIOLOGISTS,,,,,,,,,5000,,1800,,,,6800
Conventions,,,,,,,,,,,1800,,,,1800
Medical Ed,,,,,,,,,5000,,,,,,5000
TEXAS SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,,,,,,2250,3200,,,,,,5450
Medical Ed,,,,,,,,2250,3200,,,,,,5450
THIRD DISTRICT OF MINNESOTA NURSES ASSOCIATION,500,400,,,,,,,,,,,,,900
Conventions,,400,,,,,,,,,,,,,400
Lecture Program,500,,,,,,,,,,,,,,500
TMJ ASSOCIATION LTD,,,,,,,4000,,5000,10000,30000,20000,30000,,99000
Medical Ed,,,,,,,4000,,,10000,,,,,14000
Patient & Professional Relations,,,,,,,,,,,,,30000,,30000
St. Gov Leg  Aff,,,,,,,,,5000,,30000,20000,,,55000
TOLEDO AREA ONCOLOGY NURSING SOC,250,,,,,,,,,,,,,,250
Conventions,250,,,,,,,,,,,,,,250
UNITED STATES CONFERENCE OF MAYORS MAYORS BUSINESS COUNCIL,,,23000,,,,,241250,70000,250000,225000,250000,,,1059250
Public Affairs,,,,,,,,,,75000,,25000,,,100000
St. Gov Leg  Aff,,,23000,,,,,241250,70000,175000,225000,225000,,,959250
UPSTATE NEW YORK CHAPTER OF AMERICAN SOCIETY OF PAIN MGT NURSES,,1000,,500,,,,,,,,,,,1500
Conventions,,1000,,500,,,,,,,,,,,1500
US PAIN FOUNDATION INC,,,,,,,,,12500,30000,30000,59500,104800,25000,261800
Patient & Professional Relations,,,,,,,,,,,,,30000,25000,55000
Public Affairs,,,,,,,,,,,,,300,,300
Pur Pharma Fund,,,,,,,,,12500,30000,30000,50000,25000,,147500
St. Gov Leg  Aff,,,,,,,,,,,,9500,49500,,59000
UTAH ACADEMY OF PHYSICIAN ASSISTANT,,350,350,,,,,450,5460,7175,985,990,990,,16750
Conventions,,350,350,,,,,450,500,500,985,990,990,,5115
Medical Ed,,,,,,,,,4960,6675,,,,,11635
UTAH MEDICAL ASSOCIATION,,,,,,,,,,725,,,,,725
Conventions,,,,,,,,,,725,,,,,725
UTAH OSTEOPATHIC MEDICAL ASSOC,350,350,350,,,,,,,500,,,700,,2250
Conventions,350,350,350,,,,,,,500,,,700,,2250
UTAH PHARMACISTS ASSOCIATION,2500,300,,,,650,,3500,,,,,750,,7700
Conventions,,300,,,,650,,,,,,,750,,1700
Lecture Program,2500,,,,,,,,,,,,,,2500
Medical Ed,,,,,,,,3500,,,,,,,3500
UTAH SOCIETY OF ANESTHESIOLOGISTS,600,,,,,,,,,,,,,,600
Conventions,600,,,,,,,,,,,,,,600
UTAH SOCIETY OF HEALTH SYSTEM PHARMACISTS,1000,,,,,,,,,,,,,,1000
Lecture Program,1000,,,,,,,,,,,,,,1000
