Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,7000,,,,,,,,,,,,,,7000
AMERICAN MEDICAL ASSOCIATION,1063754.16,448698.01,293190,233454,50000,246062,39325,4585,16550,122962,343867,326982,174997,50000,3414426.17
Clinical Rsch 1,84,,,,,,,,,,,,,,84
Library InfoServ,820.39,,,,,4120,4325,4585,6550,12962,13867,16982,14997,,79208.39
Medical Ed,,,,172000,,211942,,,,,30000,,,,413942
Par Against,,20041,,9454,,,,,,,,,,,29495
Patient & Professional Relations,,,,,,,,,,,,,,50000,50000
Prof Relations,,,243190,,,,,,,,,,,,243190
Promotions RX,1009015.4,378657.01,,,,,,,,,,,,,1387672.41
Pur Pharma Fund,53834.37,50000,50000,52000,,,,,,100000,,,,,305834.37
St. Gov Leg  Aff,,,,,50000,30000,35000,,10000,10000,300000,310000,160000,,905000
AMERICAN MEDICAL DIRECTORS ASSOC,45058,,,,,,,,,,,,,,45058
Conventions,300,,,,,,,,,,,,,,300
Market Strategies,31758,,,,,,,,,,,,,,31758
Medical Ed,13000,,,,,,,,,,,,,,13000
AMERICAN MEDICAL DIRECTORS ASSOC FOUNDATION,,,25000,,,,,,,,,,,,25000
Professional Rels,,,25000,,,,,,,,,,,,25000
AMERICAN MEDICAL DIRECTORS ASSOCIATION,15000,74598,10340,4500,,,60713.8,30000,70000,36822.5,22300,15000,15000,15000,369274.3
Conventions,,22150,7200,,,,4500,,,36822.5,,,,,70672.5
Medical Ed,,2448,3140,4500,,,30000,30000,55000,,7300,,,,132388
Other,15000,15000,,,,,,,,,,,,,30000
Patient & Professional Relations,,,,,,,,,,,,,,15000,15000
Promotions RX,,35000,,,,,,,,,,,,,35000
St. Gov Leg  Aff,,,,,,,26213.8,,15000,,15000,15000,15000,,86213.8
AMERICAN OSTEOPATHIC ACADEMY OF ADDICTION MEDICINE,,,5000,5000,,,6000,2500,,,,,,,18500
Medical Ed,,,5000,5000,,,6000,2500,,,,,,,18500
AMERICAN OSTEOPATHIC ASSN,14700,60950,291450,13200,72100,277600,32250,57800,269600,416550,264600,285650,100000,,2156450
Conventions,14700,51600,18450,,38100,,,43200,,82600,110000,,,,358650
Market Strategies,,2500,,,,,,,,,,,,,2500
Marketing,,,20000,,,,,,,,,,,,20000
Medical Ed,,5850,,13200,,227000,,,,,100000,,,,346050
New Prod-Budget,,,,,,,,,,41100,,,,,41100
Prof Relations,,1000,,,,,,,,,,,,,1000
Professional Rels,,,253000,,,,,,,,,,,,253000
Pur Pharma Fund,,,,,,,,,175000,278250,,230500,,,683750
St. Gov Leg  Aff,,,,,34000,50600,32250,14600,94600,14600,54600,55150,100000,,450400
AMERICAN OSTEOPATHIC COLLEGE OF ANESTHESIOLOGISTS,,750,,,,750,,,,,,,,,1500
Dom Oth Inc_Exp,,,,,,750,,,,,,,,,750
Medical Ed,,750,,,,,,,,,,,,,750
AMERICAN OSTEOPATHIC COLLEGE OF FAMILY PHYSICIANS,50000,,,,,,,,,,,,,,50000
Medical Ed,50000,,,,,,,,,,,,,,50000
AMERICAN OSTEOPATHIC COLLEGE OF PHYSICAL MEDICINE & REHABILITATION,,,,,1000,,,,,,2000,850,2000,,5850
Conventions,,,,,,,,,,,2000,850,2000,,4850
Medical Ed,,,,,1000,,,,,,,,,,1000
AMERICAN OSTEOPATHIC INFORMATION ASSOCIATION,,,74000,,75000,,,,,,,,,,149000
Marketing,,,,,75000,,,,,,,,,,75000
Par Against,,,74000,,,,,,,,,,,,74000
AMERICAN PAIN FOUNDATION,15000,459995.15,250087,251210,177037,231150,375000,275000,446500,368961.54,25000,,,,2874940.69
HECON,,500,,,,,,,,,,,,,500
Par Against,15000,186495.15,,,,,,25000,,,,,,,226495.15
Public Affairs,,,87,,,,,15000,10000,3711.54,,,,,28798.54
Pur Pharma Fund,,268000,250000,200210,65000,76150,240000,190000,210000,215250,,,,,1714610
St. Gov Leg  Aff,,5000,,51000,112037,155000,135000,45000,226500,150000,25000,,,,904537
AMERICAN PAIN SOCIETY,383530.15,606332.3,311602.5,154050,102857.5,80690,121430,143015,131000,145965,123465,93480,90000,15000,2502417.45
Analgesic,,670,,300,,,,,,,,,,,970
Clin Data OP Tec,380,,,,,,,,,,,,,,380
Clin Pln CMgmt,275,,,,,,,,,,,,,,275
Clinical Pharm 50,,,,,,,,,,,,,,,50
Clinical Rsch,2550,,,,,,,,,,,,,,550
