Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
FLORIDA NARCOTICS OFFICERS ASSOC,,,,,1000,,,,,10000,,,,,11000
Corp.Security,,,,,,,,,,10000,,,,,10000
LELE,,,,,1000,,,,,,,,,,1000
FLORIDA OSTEOPATHIC MEDICAL ASSOC,2500,30500,30500,30500,2000,2000,5000,5000,6975,11500,6500,5000,,,137975
Conventions,,,,,,2000,,,,,,,,,2000
Government Aff,500,,,,,,,,,,,,,,500
ManagedCare FF,,5000,,,,,,,,,,,,,5000
Medical Ed,2000,25000,25000,25000,2000,,,,6975,6500,,,,,92475
Professional Rels,,,5000,5000,,,,,,,,,,,10000
Public Affairs,,,,,,,,,,,1500,,,,1500
Pur Pharma Fund,,500,,,,,,,,,,,,,500
St. Gov Leg  Aff,,,500,500,,,5000,5000,,5000,5000,5000,,,26000
FLORIDA PHARMACY ASSOC,,5850,1400,5000,,,6000,,,,,,,,18250
Conventions,,850,1400,,,,,,,,,,,,2250
Health Policy,,,,,,,6000,,,,,,,,6000
Medical Ed,,5000,,5000,,,,,,,,,,,10000
FLORIDA POLICE CHIEFS ASSOCIATION,,1074,675,,,,,,,,,,,,1749
Analgesic,,675,,,,,,,,,,,,,675
LELE,,399,675,,,,,,,,,,,,1074
FLORIDA PREVENTION PARTNERSHIP C/O FADAA,700,,,,,,,,,,,,,,700
Public Affairs,700,,,,,,,,,,,,,,700
FLORIDA SOCIETY OF HEALTH SYSTEM PHARMACISTS,250,2500,,,,,,,,,,,,,2750
Medical Ed,250,2500,,,,,,,,,,,,,2750
FLORIDA SOCIETY OF THE AMERICAN COLLEGE OF OSTEOPATHIC F,10000,3500,,4000,1000,1000,,5000,,,,,1250,,25750
Conventions,,,,,,,,,,,,,1250,,1250
Medical Ed,10000,3500,,4000,1000,1000,,5000,,,,,,,24500
FLORIDA SPACE COAST CHAPTER OF ONCOLOGY NURSING SOCIET,275,,,,,,,,,,,,,,275
Conventions,275,,,,,,,,,,,,,,275
GENESE VALLEY ONCOLOGY NURSING SOCIETY,250,250,,,,,,,,,400,450,,,1350
Conventions,,250,,,,,,,,,400,450,,,1100
Lecture Program,250,,,,,,,,,,,,,,250
GEORGIA ACADEMY OF FAMILY PHYSICIANS,3600,7564,1300,2500,1000,2500,,7500,,,20000,10000,,,55964
Conventions,1100,1300,1300,,,1500,,,,,,,,,5200
Lecture Program,2500,,,,,,,,,,,,,,2500
Market Strategies,,1264,,,,,,,,,,,,,1264
Medical Ed,,5000,,2500,1000,1000,,7500,,,20000,10000,,,47000
GEORGIA ASSOC OF CHIEFS OF POLICE,,1200,1200,,,,,,,,250,,250,,2900
Analgesic,,250,,,,,,,,,,,,,250
LELE,,950,1200,,,,,,,,250,,250,,2650
GEORGIA ASSOCIATION OF PHYSICANS ASSISTANTS,1250,7150,2700,,,7650,,10765,,12793,15250,14250,5000,,76808
Conventions,1250,1150,2700,,,,,,,1750,1750,,,,8600
Medical Ed,,6000,,,,7650,,10765,,11043,13500,12500,5000,,66458
Promotions RX,,,,,,,,,,,,1750,,,1750
GEORGIA MEDICAL DIRECTORS ASSOC,2500,3000,,,,,,,,,,,,,5500
Lecture Program,2500,3000,,,,,,,,,,,,,5500
GEORGIA MEDICAL DIRECTORS ASSOCIATION,600,700,,,,,,,5000,,,,,,6300
Conventions,,700,,,,,,,,,,,,,700
ManagedCare FF,600,,,,,,,,,,,,,,600
Medical Ed,,,,,,,,,5000,,,,,,5000
GEORGIA OSTEOPATHIC MEDICAL ASSOC,840,,1170,,,750,,,,,,,,,2760
Conventions,,,1170,,,750,,,,,,,,,1920
Market Strategies,840,,,,,,,,,,,,,,840
GEORGIA OSTEPATHIC MEDICAL ASSOC,,650,,,,,,,,,,,,,650
Conventions,,650,,,,,,,,,,,,,650
GEORGIA PHARMACY ASSOCIATION INC,2000,7000,2850,,,,,,3885,,,,,,15735
Conventions,,,1250,,,,,,,,,,,,1250
Medical Ed,2000,7000,1600,,,,,,3885,,,,,,14485
GEORGIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,,500,,,,1000,,,,,,,,,1500
Conventions,,500,,,,,,,,,,,,,500
