Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Lecture Program,3850,2725,,,,,,,,,,,,,6575
Medical Ed,,2525,,,,1000,,3760,,,,,,,7285
ARKANSAS PHARMACISTS ASSOC,2550,3050,,1500,,,,,,,,7000,,,14100
Conventions,,550,,,,,,,,,,,,,550
Lecture Program,2000,,,,,,,,,,,,,,2000
Lecture Programs,,2500,,,,,,,,,,,,,2500
ManagedCare FF,550,,,,,,,,,,,,,,550
Medical Ed,,,,1500,,,,,,,,7000,,,8500
ARKANSAS STATE BOARD OF PHARMACY,600,,600,,600,,600,,1050,,,,,,3450
General Counsel,600,,600,,600,,600,,1050,,,,,,3450
ARKANSAS STATE MEDICAL BOARD,,,45,35,,,,,,,,,,,80
General Counsel,,,45,35,,,,,,,,,,,80
ARTHRISTIS FOUNDATION,10000,,,,,,,,,,,,,,10000
Medical Ed,10000,,,,,,,,,,,,,,10000
ARTHRITIS FOUNDATION,550,600,,,,,,,,,,,,,1150
Conventions,,600,,,,,,,,,,,,,600
Lecture Program,550,,,,,,,,,,,,,,550
ARTHRITIS FOUNDATION CAROLINAS CHAPTER,,,,,,,,500,1000,,,,,,1500
Medical Ed,,,,,,,,,1000,,,,,,1000
St. Gov Leg  Aff,,,,,,,,500,,,,,,,500
ARTHRITIS FOUNDATION CENTRAL OHIO CHAPTER,,,,,,,,1000,,,,,,,1000
St. Gov Leg  Aff,,,,,,,,1000,,,,,,,1000
ARTHRITIS FOUNDATION EASTERN MO,,,,,,500,,2000,,,,,,,2500
St. Gov Leg  Aff,,,,,,500,,2000,,,,,,,2500
ARTHRITIS FOUNDATION FLORIDA CH,,,,,1000,1000,,,1000,,1000,,,,4000
St. Gov Leg  Aff,,,,,1000,1000,,,1000,,1000,,,,4000
ARTHRITIS FOUNDATION INC,5000,125000,,,,,,,,,25000,25000,25000,,205000
ManagedCare FF,,125000,,,,,,,,,,,,,125000
Pur Pharma Fund,5000,,,,,,,,,,,,,,5000
St. Gov Leg  Aff,,,,,,,,,,,25000,25000,25000,,75000
ARTHRITIS FOUNDATION MASSACHUSETTS CHAPTER INC,10000,,,,,,,,,,,,,,10000
Pur Pharma Fund,10000,,,,,,,,,,,,,,10000
ARTHRITIS FOUNDATION NORTHEAST REGION INC,,,,,,,,,,,15000,,,,15000
St. Gov Leg  Aff,,,,,,,,,,,15000,,,,15000
ARTHRITIS FOUNDATION NORTHERN & SOUTHERN NEW ENGLAND CHAPTER INC,,,,,,,2000,2000,,,,,,,4000
St. Gov Leg  Aff,,,,,,,2000,2000,,,,,,,4000
ARTHRITIS FOUNDATION NORTHERN CALIFORNIA CHAPTER,,,,,,,,1000,,,,,,,1000
St. Gov Leg  Aff,,,,,,,,1000,,,,,,,1000
ARTHRITIS FOUNDATION OK CHAPTER,,,,,1000,,,,,,,,,,1000
St. Gov Leg  Aff,,,,,1000,,,,,,,,,,1000
ARTHRITIS FOUNDATION PACIFIC NW CHAPTER,,,,,,,,1000,,,,,,,1000
St. Gov Leg  Aff,,,,,,,,1000,,,,,,,1000
ARTHRITIS FOUNDATION ROCKY MOUNTAIN CHAPTER,,,,,,,,,1000,1000,1000,,,,3000
St. Gov Leg  Aff,,,,,,,,,1000,1000,1000,,,,3000
ARTHRITIS FOUNDATION SOUTH CENTRAL REGION INC,,,,,,,,1000,,1000,,,,,2000
St. Gov Leg  Aff,,,,,,,,1000,,1000,,,,,2000
ARTHRITIS FOUNDATION VA CHAPTER,,,,,,1000,,,,,,,,,1000
St. Gov Leg  Aff,,,,,,1000,,,,,,,,,1000
ASCO AMERICAN SOC OF CLINICAL ONCOLOGY,184,,,,,,,,,,,,,,184
Lic &s Dev,184,,,,,,,,,,,,,,184
ASCO CANCER FOUNDATION,,,,100000,,,,,10000,,,,5000,,115000
Medical Ed,,,,100000,,,,,10000,,,,,,110000
Patient & Professional Relations,,,,,,,,,,,,,5000,,5000
ASCO HEALTH CARE OF NE LTD DBA OMNICARE OF RHODE ISLAND,,,,,,,,400,,,,750,,,1150
Conventions,,,,,,,,400,,,,,,,400
ManagedCare FF,,,,,,,,,,,,750,,,750
ASSOC OF FORMER FEDERAL NACOTICS AGENTS,,,,,,,,,,,500,,,,500
LELE,,,,,,,,,,,500,,,,500
ASSOC OF REHAB NURSES CTRL AZ CH,,175,,,,,,,,,,,,,175
