Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
NORMAN MARY JANE MD WESTERN MEDICAL DIRECTORS ASSOC,,4000,,,,,,,,,,,,,4000
Medical Ed,,4000,,,,,,,,,,,,,4000
NORTH CAROLINA ACADEMY OF FAMILY PHYSICIANS,47775,52520,900,,,,,4000,8000,10275,14000,9075,12600,,159145
Conventions,775,950,900,,,,,,,2275,,1075,2600,,8575
Medical Ed,30000,51000,,,,,,4000,8000,8000,14000,8000,10000,,133000
Other,17000,,,,,,,,,,,,,,17000
Promotions RX,,570,,,,,,,,,,,,,570
NORTH CAROLINA ACADEMY OF PHYSICIAN ASSISTANTS,,1300,,,,1500,,,,,1200,,,,4000
Conventions,,1300,,,,,,,,,1200,,,,2500
Medical Ed,,,,,,1500,,,,,,,,,1500
NORTH CAROLINA ASSOC OF PHARMACIST,750,4200,,,,,,1000,,,,,,,5950
Conventions,750,,,,,,,,,,,,,,750
Lecture Program,,1700,,,,,,,,,,,,,1700
Medical Ed,,,,,,,,1000,,,,,,,1000
Other,,2500,,,,,,,,,,,,,2500
NORTH CAROLINA ASSOCIATION OF CHIEFS OF POLICE,,,,,,,,,,500,,,,,500
LELE,,,,,,,,,,500,,,,,500
NORTH CAROLINA CHAPTER OF AMERICAN SOCIETY OF CONSULTA650,,,,,,,,,,,,,,,650
Lecture Program,650,,,,,,,,,,,,,,650
NORTH CAROLINA NATIONAL ASSOC OF DIRECTORS OF NURSING,,,2000,,,,,,,,,,,,2000
Lecture Programs,,,2000,,,,,,,,,,,,2000
NORTH CAROLINA NURSES ASSOCIATION,,4500,2000,,,,,,,,,,,,6500
Lecture Program,,4500,,,,,,,,,,,,,4500
Medical Ed,,,2000,,,,,,,,,,,,2000
NORTH CAROLINA SHERIFFS ASSOC,,100,,,,,,,,,,,,,100
Executive Admin,,100,,,,,,,,,,,,,100
NORTH CENTRAL FLORIDA CHAPTER ONCOLOGY NURSING SOCIET,750,2450,,,,,,,,,,,,,3200
Conventions,250,,,,,,,,,,,,,,250
Lecture Program,500,2450,,,,,,,,,,,,,2950
NORTH CENTRAL WEST VIRGINIA CHAPTER OF ONCOLOGY NURSING SOCIETY,,750,,,,,,,,,,,,,750
Lecture Program,,750,,,,,,,,,,,,,750
NORTH DAKATA MEDICAL ASSOCIATION,6591,600,,,,,,,,,,,,,7191
Lecture Program,6591,,,,,,,,,,,,,,6591
Lecture Programs,,600,,,,,,,,,,,,,600
NORTH DAKOTA NURSE PRACTITIONER ASSOCIATION,,,,,,,,,500,500,500,,500,,2000
Conventions,,,,,,,,,500,500,500,,500,,2000
NORTH DAKOTA STATE BOARD OF PHARM,150,150,150,150,300,300,,300,,500,200,,,,2200
General Counsel,150,150,150,150,300,300,,300,,500,200,,,,2200
NORTH DAKOTA STATE BOARD OF PHARMACY,250,,,,,,,,,,400,,,,650
General Counsel,,,,,,,,,,,400,,,,400
Sales Force,250,,,,,,,,,,,,,,250
NORTHEAST FLORIDA ONCOLOGY NURSING SOCIETY,1500,,,,,,,,,,,,,,1500
Lecture Program,1500,,,,,,,,,,,,,,1500
NORTHEAST FLORIDA SOCIETY OF HEALTH-SYSTEM PHARMACISTS,,,500,,,,,,500,,,,,,1000
Conventions,,,500,,,,,,500,,,,,,1000
NORTHEAST LOUISIANA SOCIETY OF HEALTH SYSTEM PHARMACIS,1850,,,,,,,,,,,,,,1850
Lecture Program,1850,,,,,,,,,,,,,,1850
NORTHEAST OHIO NURSE PRACTITIONERS,,500,,,,,,,,,,,,,500
Conventions,,500,,,,,,,,,,,,,500
NORTHEASTERN ILLNOIS PHARMACISTS ASSOCIATION,1000,,,,,,,,,,,,,,1000
Medical Ed,1000,,,,,,,,,,,,,,1000
NORTHEASTERN PENNSYLVANIA REHABILITATION NURSES,300,,,,,,,,,,,,,,300
Sales Force,300,,,,,,,,,,,,,,300
NORTHEASTERN WISCONSIN ONCOLOGY NURSING SOCIETY,,,250,,,,,,,,,,,,250
Conventions,,,250,,,,,,,,,,,,250
NORTHERN MICHIGAN PHARMCISTS ASSOC,2000,,,,,,,,,,,,,,2000
Lecture Program,2000,,,,,,,,,,,,,,2000
NORTHWEST FLORIDA CHAPTER ONCOLOGY NURSING SOCIETY,,500,,,,,,,,,,,,,500
Conventions,,500,,,,,,,,,,,,,500
