Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,500,,,,,,,,,,,,,,500
NEW JERSEY PHARMACISTS ASSOC,1250,240,,,,,,9490,,,,,,,10980
Executive Admin,,240,,,,,,,,,,,,,240
ManagedCare FF,1250,,,,,,,,,,,,,,1250
Medical Ed,,,,,,,,9490,,,,,,,9490
NEW JERSEY POLICE OFFICERS FOUNDATION,,,,,,1250,1250,1250,,,,,,,3750
Discovery Admin,,,,,,,1250,1250,,,,,,,2500
Pur Pharma Fund,,,,,,1250,,,,,,,,,1250
NEW JERSEY RHEUMATOLOGY ASSOC,500,,,,,,,,,,,,,,500
Lecture Program,500,,,,,,,,,,,,,,500
NEW JERSEY SOCIETY OF PHYSICAL MEDICINE & REHABILITATION,,1000,750,3000,,,,,,,,,2000,,6750
Conventions,,1000,750,1000,,,,,,,,,2000,,4750
Medical Ed,,,,2000,,,,,,,,,,,2000
NEW JERSEY STATE ASSOC OF CHIEFS OF POLICE,,,1050,,,,,,,,,,,,1050
LELE,,,1050,,,,,,,,,,,,1050
NEW JERSEY STATE SOCIETY OF ANESTHESIOLOGISTS,,,,400,,,,,,,,,,,400
Conventions,,,,400,,,,,,,,,,,400
NEW JERSEY THORACIC SOCIETY,375,,,,,,,,,,,,,,375
Lecture Program,375,,,,,,,,,,,,,,375
NEW MEXICO BOARD OF PHARMACY,1215,1460,18920,820,820,1520,120,1520,120,2255,180,2280,1 80,,31410
General Counsel,1215,1460,18920,820,820,1520,120,1520,120,2255,180,2280,1 80,,31410
NEW MEXICO CHAPTER AMERICAN COLLEGE OF PHYSICIANS,,,,,,,,750,,,,,,,750
Conventions,,,,,,,,750,,,,,,,750
NEW MEXICO OSTEOPATHIC MEDICAL ASSOCIATION,450,5700,,,750,3000,,4000,6000,4500,6900,3325,,,34625
Conventions,450,100,,,,,,,,,900,,,,1450
Lecture Program,,1600,,,,,,,,,,,,,1600
Medical Ed,,4000,,,750,3000,,4000,6000,4500,6000,3325,,,31575
NEW MEXICO PAIN INITIATIVE,10000,,,,,,,,,,,,,,10000
Medical Ed,10000,,,,,,,,,,,,,,10000
NEW MEXICO SOCIETY OF HEALTH SYSTEM PHARMACISTS,2200,,,,,,,,,,,,,,2200
Lecture Program,2200,,,,,,,,,,,,,,2200
NEW YORK ACADEMY OF FAMILY PHYSICIANS,1000,,2000,,,,,,,,10000,,,,13000
Conventions,,,1000,,,,,,,,,,,,1000
ManagedCare FF,1000,,,,,,,,,,,,,,1000
Other,,,1000,,,,,,,,,,,,1000
St. Gov Leg  Aff,,,,,,,,,,,10000,,,,10000
NEW YORK CHAPTER OF THE AMERICAN COLLEGE OF PHYSICIANS - AMERICAN,,4000,,,,,,,,,,,,,4000
Medical Ed,,4000,,,,,,,,,,,,,4000
NEW YORK CITY POLICE FOUNDATION INC- HEROES FUND,12460,,,,,,,,,25000,25000,25000,25000,,112460
Corp.Security,,,,,,,,,,25000,25000,25000,25000,,100000
Pur Pharma Fund,12460,,,,,,,,,,,,,,12460
NEW YORK STATE ASSOCIATION CHIEFS OF POLICE INC,,505,,,,,,,,,,,,,505
LELE,,505,,,,,,,,,,,,,505
NEW YORK STATE CHAPTER OF ACOFP INC,,,,,,,,,2500,,,,,,2500
Medical Ed,,,,,,,,,2500,,,,,,2500
NEW YORK STATE COUNCIL OF HEALTH SYSTEM PHARMACISTS,,,2000,,,,,,5000,,,2500,3500,,13000
Medical Ed,,,2000,,,,,,5000,,,2500,3500,,13000
NEW YORK STATE EDUCATION DEPT NEW YORK BOARD OF PHARMACY,,1895,,,1050,600,,,,825,520,,,,4890
General Counsel,,1650,,,1050,,,,,825,520,,,,4045
IAF Corp,,245,,,,,,,,,,,,,245
Medical Ed,,,,,,600,,,,,,,,,600
NEW YORK STATE NURSE ASSOCIATION,,850,,,,,,,,,,,,,850
Conventions,,850,,,,,,,,,,,,,850
NEW YORK STATE PAIN SOCIETY INC,,,,,,,,,,,10000,10600,7000,,27600
Conventions,,,,,,,,,,,,600,2000,,2600
Medical Ed,,,,,,,,,,,10000,10000,5000,,25000
NEW YORK STATE SOCIETY OF PHYSICIAN ASSISTANTS,750,4800,850,,,,,5000,,,,,,,11400
Conventions,750,1800,850,,,,,,,,,,,,3400
Medical Ed,,3000,,,,,,5000,,,,,,,8000
