Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Quality Assur,,,320,,,,,,,,,,,,320
Quality Control,,,320,,,,,,,,,,,,320
Reg Affairs,,69494,,45189,60600,60500,60500,61507,60500,,,,,,418290
RQA Ardsley,,320,,,,,,,,,,,,,320
St. Gov Leg  Aff,,,,,,,,,,60500,60500,,60500,60500,242000
COSHAR FOUNDATION,,,,,,,,,,,,185000,198110,25000,408110
St. Gov Leg  Aff,,,,,,,,,,,,185000,198110,25000,408110
COUNCIL OF STATE GOVERNMENTS,,5000,6000,5000,6000,8500,8500,11000,7500,15000,,11000,6000,9000,98500
Government Aff,,5000,,,,,,,,,,,,,5000
St. Gov Leg  Aff,,,6000,5000,6000,8500,8500,11000,7500,15000,,11000,6000,9000,93500
CT FBI NAA SUMMIT,,,,,1000,,,,,,,,,,1000
LELE,,,,,1000,,,,,,,,,,1000
CT OSTEOPATHIC MEDICAL SOCIETY,,,,,3000,,,,,,,,,,3000
Medical Ed,,,,,3000,,,,,,,,,,3000
DAHL JUNE PH D C/O UNIVERSITY OF WI,,4000,,,,,,,,,,,,,4000
Lecture Program,,4000,,,,,,,,,,,,,4000
DANNEMILLER INC,,376692.98,205536.62,464947.79,192400,261500,63340.28,173400,258800,191920,203100,24000,193500,10000,2619137.67
Conventions,,300,,,,,,,,,,,,,300
Market Strategies,,,,5269.8,,,,,,,,,,,5269.8
Medical Ed,,271392.98,185536.62,459677.99,192400,51500,63340.28,173400,258800,191920,203100,24000,193500,10000,2278567.87
Mkt Intrnt Strt,,105000,20000,,,,,,,,,,,,125000
Other,,,,,,210000,,,,,,,,,210000
DARIEN YMCA,,,,,,,700,,,,,,,,700
Human Resources,,,,,,,700,,,,,,,,700
DELAWARE ACADEMY OF FAMILY PHYSICIANS,,1050,650,,,,,,,,,,,,1700
Conventions,,400,650,,,,,,,,,,,,1050
Lecture Program,,650,,,,,,,,,,,,,650
DELAWARE CHAPTER OF AMERICAN COLLEGE OF PHYSICIANSASIM,,,1000,,,,,,,,,,,,1000
Conventions,,,1000,,,,,,,,,,,,1000
DELAWARE NURSES ASSOCIATION,,400,800,400,,,,,,,,,,,1600
Conventions,,,800,400,,,,,,,,,,,1200
Sales Force,,400,,,,,,,,,,,,,400
DELAWARE PHARMACISTS SOCIETY,,2500,,500,,,500,,,,,,495,,3995
Conventions,,,,,,,500,,,,,,495,,995
Corp.Security,,,,500,,,,,,,,,,,500
Lecture Program,,2500,,,,,,,,,,,,,2500
DELAWARE VALLEY SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,1005,,,,,,,,,,,,1005
Lecture Program,,,1005,,,,,,,,,,,,1005
DEMOCRATIC GOVERNORS ASSOCIATION,,10000,,,,,,,,,,20000,55000,50000,135000
Government Aff,,10000,,,,,,,,,,,,,10000
St. Gov Leg  Aff,,,,,,,,,,,,20000,55000,50000,125000
DIA DE LA MUJER LATINA INC,,,10000,10000,15000,,3000,,,,,20000,4000,16250,78250
Pur Pharma Fund,,,10000,10000,10000,,,,,,,,,,30000
St. Gov Leg  Aff,,,,,5000,,3000,,,,,20000,4000,16250,48250
DISABLED AMERICAN VETERANS,,10000,,5000,10000,10000,20000,,10000,1000,10000,10000,10500,10000,106500
Pur Pharma Fund,,10000,,5000,10000,,,,,,,,500,,25500
St. Gov Leg  Aff,,,,,,10000,20000,,10000,1000,10000,10000,10000,10000,81000
DISTRICT I  NABP/AACP,,2000,2000,2000,2000,,,,,,,,,,8000
Lecture Programs,,,2000,,,,,,,,,,,,2000
Medical Ed,,2000,,2000,2000,,,,,,,,,,6000
DISTRICT II NABP,,2000,,,,,,,,,,,,,2000
Medical Ed,,2000,,,,,,,,,,,,,2000
DISTRICT IV NABP AACP COLLEGE OF PHARMACY WSV,,,,,1000,1000,1000,,1000,2000,,,,,6000
Medical Ed,,,,,1000,1000,1000,,1000,2000,,,,,6000
DISTRICT V NABP AACP,,,,,,,,,,1000,,,,,1000
Medical Ed,,,,,,,,,,1000,,,,,1000
Drug Enforcement Agents Recreation Association,,,,,,,,,,,,250,350,350,950
LELE,,,,,,,,,,,,250,350,350,950
EASTERN PAIN ASSOCIATION,,10090,3220,2923,5000,2500,5000,7575,,,,,,,36308
