Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Lecture Program,1200,,,,,,,,,,,,,,1200
M A G N U M  INC,15000,15000,,,,,,,,,,,,,30000
Pur Pharma Fund,15000,15000,,,,,,,,,,,,,30000
MAINE ACADEMY OF FAMILY PHYSICIANS,545,,,,,,,,,,,,,,545
Lecture Program,545,,,,,,,,,,,,,,545
Maine Chiefs of Police Association,,350,350,,,,,,,,5000,1500,2500,,9700
Analgesic,,350,,,,,,,,,,,,,350
Corp.Security,,,,,,,,,,,5000,1500,2500,,9000
LELE,,,350,,,,,,,,,,,,350
MAINE MEDICAL ASSOCIATION,5850,1400,,,,,,,,,,,,,7250
Conventions,850,1400,,,,,,,,,,,,,2250
Medical Ed,5000,,,,,,,,,,,,,,5000
MAINE NURSE PRACTITIONER ASSOCIATION,500,,,,,,,,,,,1000,1000,,2500
Conventions,,,,,,,,,,,,1000,1000,,2000
Lecture Program,500,,,,,,,,,,,,,,500
MAINE OSTEOPATHIC ASSOCIATION,1100,5200,1500,600,,,,,,,,920,2760,,12080
Conventions,,700,1500,600,,,,,,,,920,2760,,6480
Lecture Program,1100,,,,,,,,,,,,,,1100
Medical Ed,,3000,,,,,,,,,,,,,3000
Pur Pharma Fund,,1500,,,,,,,,,,,,,1500
MAINE STATE NURSES ASSOC,1459,400,,,,,,,,,,,,,1850
Conventions,450,,,,,,,,,,,,,,450
Lecture Program,1000,400,,,,,,,,,,,,,1400
MARYLAND ACADEMY OF FAMILY PHYSICIANS,,,1000,3700,,,2500,3500,3500,3500,2500,2500,,,22700
Conventions,,,1000,1200,,,,,,,,,,,2200
Medical Ed,,,,2500,,,2500,3500,3500,3500,2500,2500,,,20500
MARYLAND ACADEMY OF PHYSICIAN ASSISTANTS INC,1247.84,,1000,,,500,,,,,,,,,2747.84
Conventions,,,1000,,,500,,,,,,,,,1500
Lecture Program,1247.84,,,,,,,,,,,,,,1247.84
MARYLAND BOARD OF PHARMACY,1000,1000,1000,1000,500,1650,2000,,3500,,,1750,,,13400
General Counsel,1000,1000,1000,1000,500,1650,2000,,3500,,,1750,,,13400
MARYLAND PAIN INITIATIVE,,,,,,,15000,,,,,,,,15000
St. Gov Leg  Aff,,,,,,,15000,,,,,,,,15000
MARYLAND PHARMACISTS ASSOC,250,,,2250,,,,,1500,,,,,,4000
Market Strategies,250,,,,,,,,,,,,,,250
Medical Ed,,,,2250,,,,,1500,,,,,,3750
MARYLAND SOCIETY OF HEALTH SYSTEM PHARMACISTS,2500,150,,3000,,,,,,,,,,,5650
Conventions,,150,,,,,,,,,,,,,150
Lecture Program,2500,,,,,,,,,,,,,,2500
Medical Ed,,,,3000,,,,,,,,,,,3000
MARYLAND STATE SOCIETY OF PM&R,500,,,,,,,,,,,,,,500
Sales Force,500,,,,,,,,,,,,,,500
MASS CHAPTER OF NADONA/LTC,1800,,,,,,,,,,,,,,1800
Lecture Program,1800,,,,,,,,,,,,,,1800
MASSACHUSETTS ACADEMY OF FAMILY PHYSICIANS,500,500,,500,,,,,,,,,,,1500
Conventions,,500,,,,,,,,,,,,,500
General Counsel,,,,500,,,,,,,,,,,500
Lecture Program,500,,,,,,,,,,,,,,500
MASSACHUSETTS ASSOCIATION OF PHYSICIAN ASSISTANTS,900,,,,,,,,,,,,,,900
Conventions,400,,,,,,,,,,,,,,400
Lecture Program,500,,,,,,,,,,,,,,500
MASSACHUSETTS ASSOCIATION OF PHYSICIANS ASSISTANTS,,1550,,,,,,,,,,,,,1550
Lecture Program,,1550,,,,,,,,,,,,,1550
MASSACHUSETTS CHIEFS OF POLICE ASSOCIATION,,750,,,3000,3000,,,,,,,,,6750
Analgesic,,750,,,,,,,,,,,,,750
LELE,,,,,3000,3000,,,,,,,,,6000
MASSACHUSETTS MEDICAL SOCIETY DBA NEW ENGLAND JOURNAL OF MEDICINE,,37593.6,,,,,3000,3468,5800,6050,6300,6600,7100,7600,83511.6
Library InfoServ,,,,,,,3000,3468,5800,6050,6300,6600,7100,,38318
Library Services,,,,,,,,,,,,,,7600,7600
