Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,,,,,,,,,,5000,5000,12500,,22500
CALIFORNIA ASSOCIATION FOR NURSE PRACTITIONERS,,7500,,1000,,2500,,,,,,,,,11000
Conventions,,,,1000,,,,,,,,,,,1000
Medical Ed,,7500,,,,2500,,,,,,,,,10000
CALIFORNIA HOSPICE AND PALLIATIVE CARE ASSOCIATION,300,550,,,,,,,,,,,,,850
Conventions,,550,,,,,,,,,,,,,550
Lecture Program,300,,,,,,,,,,,,,,300
CALIFORNIA HOSPICE FOUNDATION,6500,10000,5000,6250,,,,,,,,,,,27750
Lecture Program,500,,,,,,,,,,,,,,500
Medical Ed,6000,10000,5000,6250,,,,,,,,,,,27250
CALIFORNIA MEDICAL ASSOCIATION,10000,20000,40000,,,10000,,,,,,,2500,,82500
Analgesic,,20000,,,,,,,,,,,,,20000
Dom Oth Inc_Exp,,,,,,10000,,,,,,,,,10000
Health Policy,,,,,,,,,,,,,2500,,2500
Medical Ed,10000,,30000,,,,,,,,,,,,40000
Other,,,10000,,,,,,,,,,,,10000
CALIFORNIA NARCOTIC OFFICERS ASSOC,,800,,2500,15000,,15000,5000,,5000,,,,,43300
Corp.Security,,,,,,,,,,5000,,,,,5000
LELE,,800,,2500,15000,,15000,5000,,,,,,,38300
CALIFORNIA PHARMACISTS ASSOC EDUCATIONAL FOUNDATION,7900,8748,,,,,,5000,21525,5000,5000,,4500,,57673
Analgesic,,,,,,,,,,5000,,,,,5000
Health Policy,,,,,,,,5000,21525,,5000,,4500,,36025
Lecture Program,4500,4848,,,,,,,,,,,,,9348
ManagedCare FF,1400,3900,,,,,,,,,,,,,5300
Other,2000,,,,,,,,,,,,,,2000
CALIFORNIA SOCIETY OF ADDICTION MEDICINE,5000,5000,,,,,,,,,,,,,10000
Medical Ed,5000,5000,,,,,,,,,,,,,10000
CALIFORNIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,4500,6000,,,,4700,,,,,,,,,15200
Lecture Program,2500,,,,,,,,,,,,,,2500
ManagedCare FF,2000,,,,,,,,,,,,,,2000
Medical Ed,,6000,,,,4700,,,,,,,,,10700
CALIFORNIA SOCIETY OF PHYSICAL MEDICINE & REHABILITATION,,1000,1000,,,,,,,,,,1000,,3000
Conventions,,,,,,,,,,,,,1000,,1000
Medical Ed,,1000,1000,,,,,,,,,,,,2000
CALIFRONIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,525,,,,,,,,,,,,,,525
Medical Liason,525,,,,,,,,,,,,,,525
CANCER SUPPORT COMMUNITY,,,,,,,,,,5000,15000,20000,10000,,50000
Public Affairs,,,,,,,,,,5000,15000,10000,,,30000
St. Gov Leg  Aff,,,,,,,,,,,,10000,10000,,20000
CANCER SUPPORT COMMUNITY-CENTRAL INDIANA INC,,,,,,,,1000,,1000,1000,,,,3000
St. Gov Leg  Aff,,,,,,,,1000,,1000,1000,,,,3000
CASE MANAGEMENT SOC OF LONG ISLAND,,,400,,,,,,,,,,,,400
Conventions,,,400,,,,,,,,,,,,400
CASE MANAGEMENT SOCIETY OF AMERICA,20346.58,35169.68,25098.41,18500,9250,3000,15000,875,,70100,,11800,6800,,215939.67
Conventions,2399,8100,1000,,,,12000,875,,5850,,,1800,,32024
Lecture Program,1000,,,,,,,,,,,,,,1000
ManagedCare FF,3365,350,3000,,,,,,,,,1800,,,8515
Medical Ed,13582.58,20219.68,18098.41,18500,6500,,,,,64250,,10000,5000,,156150.67
Other,,6500,,,,,,,,,,,,,6500
Professional Rels,,,3000,,,,,,,,,,,,3000
St. Gov Leg  Aff,,,,,2750,3000,3000,,,,,,,,8750
C-CHANGE,,,,83000,,,,100000,,50000,50000,75000,,,358000
Pur Pharma Fund,,,,83000,,,,,,,,,,,83000
St. Gov Leg  Aff,,,,,,,,100000,,50000,50000,75000,,,275000
CENTER FOR PRACTICAL BIOETHICS INC,270000,250000,250000,250000,201500,100000,510175.99,525000,302800,934770,25000,101000,15000,3500,3738745.99
Medical Ed,20000,,,,,,,,,,,,,,20000
Other,,,,,,,,500000,,500000,,,,,1000000
Patient & Professional Relations,,,,,,,,,,,,,,3500,3500
Pur Pharma Fund,250000,250000,250000,250000,,,500000,,277800,250250,,1000,,,2029050
