Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
RHEUMATOLOGY ASSN OF N ALABAMA,,,1000,550,,,,,,,,,,,1550
Medical Rsch,,,1000,550,,,,,,,,,,,1550
RHODE ISLAND ACADEMY OF FAMILY PHYSICIANS,1350,,,,,,,,,,,,,,1350
Conventions,550,,,,,,,,,,,,,,550
Lecture Program,800,,,,,,,,,,,,,,800
RHODES ISLAND SOCIETY OFOSTEOPATHIC,,,650,,,,,,,,,,,,650
Conventions,,,650,,,,,,,,,,,,650
RI & SE MA CHAPTER ONCOLOGY NURSING SOCIETY,,,250,,,,,,550,,,,,,800
Conventions,,,250,,,,,,550,,,,,,800
ROANOKE VALLEY ACADEMY OF MEDICINE,3000,,,,,,,,,,,,,,3000
Medical Ed,3000,,,,,,,,,,,,,,3000
SACRAMENTO VALLEY SOCIETY OF HEALTH SYSTEMS PHARMACIST250,,,,,,,,,,,,,,,250
ManagedCare FF,250,,,,,,,,,,,,,,250
SAFE STATES ALLIANCE,,,,,,,,,,,700,,,,700
St. Gov Leg  Aff,,,,,,,,,,,700,,,,700
SAN DIEGO ACADEMY OF FAMILY PHYSICIANS,10000,,,,,,,,,,,,,,10000
Medical Ed,5000,,,,,,,,,,,,,,5000
Other,5000,,,,,,,,,,,,,,5000
SAN DIEGO SOCIETY OF HEALTH SYSTEM PHARMACHY - SDSHP,500,,,,,,,,,,,,,,500
Sales Force,500,,,,,,,,,,,,,,500
SC ACADEMY OF FAMILY PHYSICIANS,2235,,28345,1425,,,1000,,,,,,,,33005
Conventions,,,1575,1425,,,1000,,,,,,,,4000
Lecture Program,1385,,,,,,,,,,,,,,1385
Medical Ed,,,25770,,,,,,,,,,,,25770
Promotions RX,,,1000,,,,,,,,,,,,1000
Sales Force,850,,,,,,,,,,,,,,850
SEATTLE CONF ORGANIZING COMMITTEE SEATTLE NAT GOVERNORS ASSOC,,,,25000,,,,,,,,,,,25000
St. Gov Leg  Aff,,,,25000,,,,,,,,,,,25000
SICKLE CELL DISEASE ASSOCIATION OF AMERICA- EASTERN NC CHAPTER,,,,,,500,,,,,,,,,500
St. Gov Leg  Aff,,,,,,500,,,,,,,,,500
SICKLE CELL DISEASE ASSOCIATION OF AMERICA INC,,,5000,,7500,,,,,,250,,,,12750
Medical Ed,,,5000,,5000,,,,,,,,,,10000
Pur Pharma Fund,,,,,2500,,,,,,,,,,2500
St. Gov Leg  Aff,,,,,,,,,,,250,,,,250
SICKLE CELL DISEASE ASSOCIATION OF PIEDMONT,,,4000,,,,,,,,,,,,4000
Lecture Program,,,4000,,,,,,,,,,,,4000
SICKLE CELL FOUNDATION OF PALM BEACH COUNTY INC,1500,,,,,1000,1000,,,,,,,,3500
Lecture Program,1500,,,,,,,,,,,,,,1500
St. Gov Leg  Aff,,,,,,1000,1000,,,,,,,,2000
SIERRA SOCIETY OF HEALTH SYSTEMS PHARMACISTS,,,450,,,,,,,,,,,,450
Conventions,,,450,,,,,,,,,,,,450
SLC KENTUCKY NIGHT RECEPTION KENTUCKY RETAIL FEDERATION,300,,200,150,,,,,,,,,,,650
Government Aff,300,,,,,,,,,,,,,,300
St. Gov Leg  Aff,,,200,150,,,,,,,,,,,350
SOCIETY FOR WOMENS HEALTH RESEARCH,,,,,,,,11000,11000,1000,16000,16000,15000,15000,85000
Medical Ed,,,,,,,,,,,15000,,,,15000
Patient & Professional Relations,,,,,,,,,,,,,,15000,15000
Public Affairs,,,,,,,,,10000,,,,,,10000
St. Gov Leg  Aff,,,,,,,,11000,1000,1000,1000,16000,15000,,45000
SOCIETY OF TOXICOLOGY,100,,2060,2500,2500,,,10000,,,,5000,,,22160
Discovery Admin,,,,,,,,,,,,5000,,,5000
NDSE,100,,60,,,,,,,,,,,,160
PKDM,,,,,,,,10000,,,,,,,10000
Pur Pharma Fund,,,2000,2500,2500,,,,,,,,,,7000
SONOMA COUNTY ONCOLOGY NURSING SOC,,,,,500,,,,,,,,,,500
Conventions,,,,,500,,,,,,,,,,500
SOUTH BAY PHARMACISTS ASSOC,1000,,,,2400,,,,,,,,,,3400
Lecture Program,1000,,,,,,,,,,,,,,1000
Medical Ed,,,,,2400,,,,,,,,,,2400
