Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
KENTUCKY ASSOC OF HOSPICE & PALLIATIVE CARE,2500,3000,5000,,420,,,,,,,,,,10920
Medical Ed,2500,3000,5000,,250,,,,,,,,,,10750
St. Gov Leg  Aff,,,,,170,,,,,,,,,,170
KENTUCKY BOARD OF PHARMACY,,,,,205,200,200,400,300,200,100,200,100,,1905
General Counsel,,,,,205,200,200,400,300,200,100,200,100,,1905
KENTUCKY MEDICAL ASSOCIATION,1200,1300,733.5,,,,,,,,,,,,3233.5
Conventions,1200,600,733.5,,,,,,,,,,,,2533.5
Medical Ed,,700,,,,,,,,,,,,,700
KENTUCKY NURSES ASSOCIATION,500,,,,,,,,,,,,,,500
Lecture Program,500,,,,,,,,,,,,,,500
KENTUCKY PHARMACISTS ASSOCIATION,,650,10000,,,,,,,,,,,,10650
Conventions,,650,,,,,,,,,,,,,650
Pur Pharma Fund,,,10000,,,,,,,,,,,,10000
LANCE ARMSTRONG FOUNDATION,,,,,25000,25000,25000,100000,,,,,,,175000
St. Gov Leg  Aff,,,,,25000,25000,25000,100000,,,,,,,175000
LANE COUNTY PAIN SOCIETY PAIN SOCIETY OF OREGON,7500,14250,13000,2500,,,250,,5000,10750,750,,1250,,55250
Conventions,,250,,,,,250,,,750,750,,1250,,3250
Lecture Program,1500,,,,,,,,,,,,,,1500
Medical Ed,,12000,6000,2500,,,,,5000,10000,,,,,35500
Pur Pharma Fund,,,7000,,,,,,,,,,,,7000
Sales Force,6000,,,,,,,,,,,,,,6000
St. Gov Leg  Aff,,2000,,,,,,,,,,,,,2000
LAWRENCE SUNFLOWER ONCOLOGY NURSING SOCIETY,,,,,,,,,,750,,,,,750
Conventions,,,,,,,,,,750,,,,,750
LEUKEMIA & LYMPHOMA SOCIETY,5000,300,750,1000,,,1000,6000,6000,6000,33000,1000,1000,,61050
Conventions,,200,,1000,,,,,,,,,,,1200
Fed Gov Affairs,,,250,,,,,,,,,,,,250
Medical Ed,,,500,,,,,2000,,5000,,,,,7500
Pur Pharma Fund,5000,100,,,,,,,,,,,,,5100
St. Gov Leg  Aff,,,,,,,1000,4000,6000,1000,33000,1000,1000,,47000
LOTSA HELPING HANDS INC,,,,,,,,,20000,20000,15000,,,,55000
Par Against,,,,,,,,,20000,20000,,,,,40000
Public Affairs,,,,,,,,,,,10000,,,,10000
St. Gov Leg  Aff,,,,,,,,,,,5000,,,,5000
LOUISIANA ACADEMY OF FAMILY,2000,1000,3000,,,,,,,,,1400,,,7400
Conventions,,1000,,,,,,,,,,,,,1000
Medical Ed,,,3000,,,,,,,,,1400,,,4400
Other,2000,,,,,,,,,,,,,,2000
LOUISIANA ACADEMY OF PHYSICIAN ASSISTANTS,2500,500,,,,,,,,,,,,,3000
Conventions,500,500,,,,,,,,,,,,,1000
Medical Ed,2000,,,,,,,,,,,,,,2000
LOUISIANA ASSOCIATION OF CHIEFS OF POLICE,,500,,,,,,,,,,,,,500
LELE,,500,,,,,,,,,,,,,500
LOUISIANA BOARD OF PHARMACY,,,,,50,50,100,100,120,200,200,200,200,,1220
General Counsel,,,,,50,50,100,100,120,200,200,200,200,,1220
LOUISIANA PAIN INITIATIVE,,1500,,5000,,,,,,,,,,,6500
Lecture Programs,,1500,,,,,,,,,,,,,1500
Medical Ed,,,,5000,,,,,,,,,,,5000
LOUISIANA PHARMACIST ASSOC,650,2837.5,,2175,,,,,,,,,,,5662.5
Conventions,,337.5,,675,,,,,,,,,,,1012.5
Lecture Program,,2500,,,,,,,,,,,,,2500
ManagedCare FF,650,,,,,,,,,,,,,,650
Medical Ed,,,,1500,,,,,,,,,,,1500
LOUISIANA SOCIETY OF HEALTH SYSTEM PHARMACISTS,725,750,,4000,,,3000,,,,,,,,8475
Conventions,725,750,,,,,,,,,,,,,1475
Medical Ed,,,,4000,,,3000,,,,,,,,7000
LOUISIANA SOCIETY OF PAIN MANAGEMENT NURSES,,2500,,,,,,,,,,,,,2500
Lecture Program,,2500,,,,,,,,,,,,,2500
LUZERNE COUNTY PHARMACISTS ASSOCIATION INC,1200,,,,,,,,,,,,,,1200
