Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Conventions,500,,,,,700,,,,700,,,,,1900
Medical Ed,,750,,,,,,,,,,,,,750
OREGON STATE BOARD OF PHARMACY,5100,4650,900,1650,900,1500,900,900,900,2350,1700,1450,,,22900
Conventions,,,,750,,600,,,,750,,,,,2100
General Counsel,900,900,900,900,900,900,900,900,900,1600,1700,1450,,,12850
Lecture Program,4200,1500,,,,,,,,,,,,,5700
Medical Ed,,2250,,,,,,,,,,,,,2250
ORTHOPAEDIC RESEARCH & EDUCATION FOUNDATION,,,1000,1000,,2500,,,10000,7500,,,,,22000
Medical Ed,,,,1000,,,,,10000,7500,,,,,18500
Prof Relations,,,1000,,,,,,,,,,,,1000
St. Gov Leg  Aff,,,,,,2500,,,,,,,,,2500
ORTHOPAEDIC RESEARCH FOUNDATION,2500,,,,,,,,,,,,,,2500
Medical Ed,2500,,,,,,,,,,,,,,2500
Pain Connection,,,,,,,,,,5000,15000,,10000,,30000
Medical Ed,,,,,,,,,,5000,,,,,5000
St. Gov Leg  Aff,,,,,,,,,,,15000,,10000,,25000
PAIN SOCIETY OF THE CAROLINAS INC,,,,,,,,,2000,2000,,2000,3350,1250,10600
Conventions,,,,,,,,,2000,2000,,2000,3350,1250,10600
PANCREATIC CANCER ACTION NETWORK,,3000,3000,,,350,350,1250,1000,1250,6100,5700,5000,,27000
Pur Pharma Fund,,3000,3000,,,,,,,,100,,,,6100
St. Gov Leg  Aff,,,,,,350,350,1250,1000,1250,6000,5700,5000,,20900
PARTNERSHIP FOR A DRUG FREE AMERICA INC,,260000,253497.36,250000,27500,7250,166000,500000,725000,725000,800000,442750,350000,,4506997.36
Patient & Professional Relations,,,,,,,,,,,,,225000,,225000
Public Affairs,,,2497.36,,,,,,,,25000,17500,25000,,69997.36
Pur Pharma Fund,,260000,251000,250000,27500,7250,166000,500000,725000,725000,,75250,,,2987000
St. Gov Leg  Aff,,,,,,,,,,,775000,350000,100000,,1225000
PARTNERSHIP FOR A DRUG FREE COMMUNITY OF SOUTH FLORIDA INC,,,1000,,,,,,,,,,,,1000
Pur Pharma Fund,,,1000,,,,,,,,,,,,1000
PASSAIC COUNTY POLICE CHIEFS ASSN,,330,,,,,,,,,,,,,330
Executive Admin,,330,,,,,,,,,,,,,330
PATIENT ADVOCATE FOUNDATION,,3000,3000,156750,151500,152000,12500,1010000,1020000,1000000,1065000,510000,7500,,5091250
Pur Pharma Fund,,2750,3000,156500,151500,,,,,,,,,,313750
St. Gov Leg  Aff,,250,,250,,152000,12500,1010000,1020000,1000000,1065000,510000,7500,,4777500
PATIENT ALLIANCE FOR NEUROENDOCRINE IMMUNE DISORD ORG FOR RES & ADV INC,,,,,10000,,,,,5000,10000,,,,25000
Pur Pharma Fund,,,,,10000,,,,,,,,,,10000
St. Gov Leg  Aff,,,,,,,,,,5000,10000,,,,15000
PEDIATRIC ANESTHESIOLOGY FOUNDATION,350,,,,,,,,,,,,,,350
Sales Force,350,,,,,,,,,,,,,,350
PENNS WOOD CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,,400,500,500,,,,,,,,,1400
Conventions,,,,400,500,500,,,,,,,,,1400
PENNSYLVANIA ACADEMY OF FAMILY PHYSICIANS FOUNDATION,3000,4453,3500,5000,,,3750,300,25300,650,,850,20050,,66853
Conventions,,500,1000,,,,,,,,,850,850,,3200
Health Policy,,,,,,,,300,300,650,,,,,1250
Medical Ed,3000,3953,2500,5000,,,3750,,25000,,,,19200,,62403
PENNSYLVANIA ASSOC DIRECTOR OF NURSING ADMINISTRATION,620,,925,,,,,,,,,,,,1545
Conventions,,,925,,,,,,,,,,,,925
Sales Force,620,,,,,,,,,,,,,,620
PENNSYLVANIA CHIEFS OF POLICE ASSOCIATION,,,595,,3115,3620,4210,,3400,3400,2500,740,,,21580
LELE,,,595,,3115,3620,4210,,3400,3400,2500,740,,,21580
PENNSYLVANIA MEDICAL DIRECTORS ASSOCIATION,1000,1000,,,,,,,,,,,,,2000
Conventions,,1000,,,,,,,,,,,,,1000
Medical Ed,1000,,,,,,,,,,,,,,1000
PENNSYLVANIA PHARMACISTS ASSOC,,3500,489,1050,,,,1500,2000,1500,,,,,10039
Conventions,,,489,50,,,,,,,,,,,539
Lecture Programs,,3500,,,,,,,,,,,,,3500
Medical Ed,,,,1000,,,,1500,2000,1500,,,,,6000
PENNSYLVANIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,19415.1,28744.26,20270,,,,,,,,,,,,68429.36
Conventions,,1000,,,,,,,,,,,,,1000
ManagedCare FF,700,,,,,,,,,,,,,,700
