Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
FLORIDA NARCOTICS OFFICERS ASSOC,,,,,,"1,000.00",,,,,"10,000.00",,,,"11,000.00"
Corp.Security,,,,,,,,,,,"10,000.00",,,,"10,000.00"
LELE,,,,,,"1,000.00",,,,,,,,,"1,000.00"
FLORIDA OSTEOPATHIC MEDICAL ASSOC,"2 ,500.00",,"30,500.00","30,500.00","30,500.00","2,000.00","2,000.00","5,000.00","5,000.00","6,975.00","11,500.00","6,500.00","5,000.00",,"137,975.00"
Conventions,,,,,,,"2,000.00",,,,,,,,"2,000.00"
Government Aff,500.00,,,,,,,,,,,,,,500.00
ManagedCare FF,,,"5,000.00",,,,,,,,,,,,"5,000.00"
Medical Ed,"2,000.00",,"25,000.00","25,000.00","25,000.00","2,000.00",,,,"6,975.00","6,500.00",,,,"92,475.00"
Professional Rels,,,,"5,000.00","5,000.00",,,,,,,,,,"10,000.00"
Public Affairs,,,,,,,,,,,,"1,500.00",,,"1,500.00"
Pur Pharma Fund,,,500.00,,,,,,,,,,,,500.00
St. Gov Leg  Aff,,,,500.00,500.00,,,"5,000.00","5,000.00",,"5,000.00","5,000.00","5,000.00",,"26,000.00"
FLORIDA PHARMACY ASSOC,,,"5,850.00","1,400.00","5,000.00",,,"6,000.00",,,,,,,"18,250.00"
Conventions,,,850.00,"1,400.00",,,,,,,,,,,"2,250.00"
Health Policy,,,,,,,,"6,000.00",,,,,,,"6,000.00"
Medical Ed,,,"5,000.00",,"5,000.00",,,,,,,,,,"10,000.00"
FLORIDA POLICE CHIEFS ASSOCIATION,,,"1,074.00",675.00,,,,,,,,,,,"1,749.00"
Analgesic,,,675.00,,,,,,,,,,,,675.00
LELE,,,399.00,675.00,,,,,,,,,,,"1,074.00"
FLORIDA PREVENTION PARTNERSHIP C/O FADAA,700.00,,,,,,,,,,,,,,700.00
Public Affairs,700.00,,,,,,,,,,,,,,700.00
FLORIDA SOCIETY OF HEALTH SYSTEM PHARMACISTS,250.00,,"2,500.00",,,,,,,,,,,,"2,750.00"
Medical Ed,250.00,,"2,500.00",,,,,,,,,,,,"2,750.00"
FLORIDA SOCIETY OF THE AMERICAN COLLEGE OF OSTEOPATHIC F,"10,000.00",,"3,500.00",,"4,000.00","1,000.00","1,000.00",,"5,000.00",,,,,"1,250.00","25,750.00"
Conventions,,,,,,,,,,,,,,"1,250.00","1,250.00"
Medical Ed,"10,000.00",,"3,500.00",,"4,000.00","1,000.00","1,000.00",,"5,000.00",,,,,,"24,500.00"
FLORIDA SPACE COAST CHAPTER OF ONCOLOGY NURSING SOCIET,275.00,,,,,,,,,,,,,,275.00
Conventions,275.00,,,,,,,,,,,,,,275.00
GENESE VALLEY ONCOLOGY NURSING SOCIETY,250.00,,250.00,,,,,,,,,400.00,4 50.00,,"1,350.00"
Conventions,,,250.00,,,,,,,,,400.00,4 50.00,,"1,100.00"
Lecture Program,250.00,,,,,,,,,,,,,,250.00
GEORGIA ACADEMY OF FAMILY PHYSICIANS,"3 ,600.00",,"7,564.00","1,300.00","2,500.00","1,000.00","2,500.00",,"7,500.00",,,"20,000.00","10,000.00",,"55,964.00"
Conventions,"1,100.00",,"1,300.00","1,300.00",,,"1,500.00",,,,,,,,"5,200.00"
Lecture Program,"2,500.00",,,,,,,,,,,,,,"2,500.00"
Market Strategies,,,"1,264.00",,,,,,,,,,,,"1,264.00"
Medical Ed,,,"5,000.00",,"2,500.00","1,000.00","1,000.00",,"7,500.00",,,"20,000.00","10,000.00",,"47,000.00"
GEORGIA ASSOC OF CHIEFS OF POLICE,,,"1,200.00","1,200.00",,,,,,,,250.00,,2 50.00,"2,900.00"
Analgesic,,,250.00,,,,,,,,,,,,250.00
LELE,,,950.00,"1,200.00",,,,,,,,250.00,,2 50.00,"2,650.00"
GEORGIA ASSOCIATION OF PHYSICANS ASSISTANTS,"1 ,250.00",,"7,150.00","2,700.00",,,"7,650.00",,"10,765.00",,"12,793.00","15,250.00","14,250.00","5,000.00","76,808.00"
Conventions,"1,250.00",,"1,150.00","2,700.00",,,,,,,"1,750.00","1,750.00",,,"8,600.00"
Medical Ed,,,"6,000.00",,,,"7,650.00",,"10,765.00",,"11,043.00","13,500.00","12,500.00","5,000.00","66,458.00"
Promotions RX,,,,,,,,,,,,,"1,750.00",,"1,750.00"
GEORGIA MEDICAL DIRECTORS ASSOC,"2 ,500.00",,"3,000.00",,,,,,,,,,,,"5,500.00"
Lecture Program,"2,500.00",,"3,000.00",,,,,,,,,,,,"5,500.00"
GEORGIA MEDICAL DIRECTORS ASSOCIATION,600.00,,700.00,,,,,,,"5,000.00",,,,,"6,300.00"
Conventions,,,700.00,,,,,,,,,,,,700.00
ManagedCare FF,600.00,,,,,,,,,,,,,,600.00
Medical Ed,,,,,,,,,,"5,000.00",,,,,"5,000.00"
GEORGIA OSTEOPATHIC MEDICAL ASSOC,840.00,,,"1,170.00",,,750.00,,,,,,,,"2,760.00"
Conventions,,,,"1,170.00",,,750.00,,,,,,,,"1,920.00"
Market Strategies,840.00,,,,,,,,,,,,,,840.00
GEORGIA OSTEPATHIC MEDICAL ASSOC,,,650.00,,,,,,,,,,,,650.00
Conventions,,,650.00,,,,,,,,,,,,650.00
GEORGIA PHARMACY ASSOCIATION INC,"2 ,000.00",,"7,000.00","2,850.00",,,,,,"3,885.00",,,,,"15,735.00"
Conventions,,,,"1,250.00",,,,,,,,,,,"1,250.00"
Medical Ed,"2,000.00",,"7,000.00","1,600.00",,,,,,"3,885.00",,,,,"14,485.00"
GEORGIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,500.00,,,,"1,000.00",,,,,,,,"1,500.00"
Conventions,,,500.00,,,,,,,,,,,,500.00
