Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ACADEMY OF MANAGED CARE PHARMACY,"32,395.00","15,490.00","20,550.00","1,440.00","9,500.00","9,500.00","9,500.00",,"7,600.00",,"3,939.75","50,000.00","19,000.00",,"178,914.75"
Conventions,"22,400.00","11,200.00",,,,,,,,,,,"4,000.00",,"37,600.00"
ManagedCare FF,"1,495.00","2,730.00","2,550.00",440,,,,,,,,"50,000.00",,,"57,215.00"
Market Research,,"1,560.00",,,,,,,,,,,,,"1,560.00"
Market Strategies,,,,,,,,,"7,828.00",,"3,939.75",,,,"11,767.75"
Medical Ed,,,,"1,000.00",,,,,,,,,,,"1,000.00"
Other,,,,,,,,,-228,,,,,,-228
Patient & Professional Relations,,,,,,,,,,,,,"15,000.00",,"15,000.00"
Prof Relations,"8,500.00",,"8,500.00",,,,,,,,,,,,"17,000.00"
Professional Rels,,,"9,500.00",,,,,,,,,,,,"9,500.00"
St. Gov Leg  Aff,,,,,"9,500.00","9,500.00","9,500.00",,,,,,,,"28,500.00"
ACP ASIM FOUNDATION AMERICAN COLLEGE OF PHYSICIANS,"55,000.00","72,850.00",,"55,000.00","11,400.00","5,800.00","17,200.00",,,,,,,,"217,250.00"
Conventions,,"47,850.00",,"30,000.00","11,400.00","5,800.00","17,200.00",,,,,,,,"112,250.00"
Lecture Program,"30,000.00",,,,,,,,,,,,,,"30,000.00"
Marketing,,"25,000.00",,,,,,,,,,,,,"25,000.00"
Medical Ed,,,,"25,000.00",,,,,,,,,,,"25,000.00"
Prof Relations,"25,000.00",,,,,,,,,,,,,,"25,000.00"
ADDICTION MEDICINE & HEALTH ADVOCATES INC,,,225,,,,,,,,,,,,225
Medical Rsch,,,225,,,,,,,,,,,,225
ADVANCED PRACTICE NURSES & PHYSICIAN ASSISTANTS,250,,,,,,,,,,,,,,250
Conventions,250,,,,,,,,,,,,,,250
ADVANCED PRACTICE NURSES OF THE OZARKS,,,,,,500,,,,,,,,,500
Conventions,,,,,,500,,,,,,,,,500
ALABAMA ACADEMY OF FAMILY  PHYSICIANS,"2 ,800.00",825,850,850,,,,,,,,"1,200.00","1,200.00",,"7,725.00"
Conventions,,825,850,850,,,,,,,,"1,200.00","1,200.00",,"4,925.00"
Medical Ed,"2,800.00",,,,,,,,,,,,,,"2,800.00"
ALABAMA ASSOC OF CHIEFS OF POLICE C/O TREASURER,,,550,,,,,,,,,,,,550
LELE,,,550,,,,,,,,,,,,550
ALABAMA CHAPTER AMERICAN COLLEGE OF PHYSICIANS,800,800,,,,,,,,,,,,,"1,600.00"
Conventions,,800,,,,,,,,,,,,,800
Lecture Program,800,,,,,,,,,,,,,,800
ALABAMA MEDICAL DIRECTORS ASSOC,500,500,"1,050.00",,850,,,,400,,,,,,"3,300.00"
Conventions,,500,"1,050.00",,850,,,,400,,,,,,"2,800.00"
ManagedCare FF,500,,,,,,,,,,,,,,500
ALABAMA OSTEOPATHIC MEDICAL ASSOC,"3 ,500.00","1,150.00",,,,"1,000.00",,,,,"1,000.00",,"1,000.00",,"7,650.00"
Conventions,,"1,150.00",,,,"1,000.00",,,,,"1,000.00",,"1,000.00",,"4,150.00"
Lecture Program,"3,500.00",,,,,,,,,,,,,,"3,500.00"
ALABAMA PHARMACY ASSOC,,820,800,"1,020.00",,,,,,,,,,,"2,640.00"
Conventions,,820,800,"1,020.00",,,,,,,,,,,"2,640.00"
ALABAMA SOC OF CLINICAL ONCOLOGY,"5 ,050.00",750,,,,,,,,,,,,,"5,800.00"
Conventions,,750,,,,,,,,,,,,,750
Lecture Program,"5,050.00",,,,,,,,,,,,,,"5,050.00"
ALABAMA SOCIETY OF HEALTH SYSTEM PHARMACISTS,625,,625,,,,,,,,,,,,"1,250.00"
Conventions,,,625,,,,,,,,,,,,625
Lecture Program,625,,,,,,,,,,,,,,625
ALABAMA SOCIETY OF PHYISCAL MEDICINE & REHABILITATION,"1 ,000.00",,,,,,,,,,,,,,"1,000.00"
Lecture Program,"1,000.00",,,,,,,,,,,,,,"1,000.00"
ALABAMA SOCIETY OF PHYSICAL MEDICINE,"2 ,500.00",,,,,,,,,,,,,,"2,500.00"
Medical Ed,"2,500.00",,,,,,,,,,,,,,"2,500.00"
ALABAMA STATE BOARD OF PHARMACY,700,350,"1,550.00",200,"2,200.00",,,,"3,300.00",,"3,300.00",,"2,200.00",,"13,800.00"
General Counsel,700,350,"1,550.00",200,"2,200.00",,,,"3,300.00",,"3,300.00",,"2,200.00",,"13,800.00"
ALABAMA STATE SOCIETY OF ANESTHESIOLOGISTS,800,800,,,,,,,,,,,,,"1,600.00"
Conventions,,800,,,,,,,,,,,,,800
Lecture Program,800,,,,,,,,,,,,,,800
