Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Conventions,500.00,,,,,,700.00,,,,700.00,,,,,"1,900.00"
Medical Ed,,,750.00,,,,,,,,,,,,,750.00
"OREGON STATE BOARD OF PHARMACY 5 ,100.00",,,"4,650.00",900.00,"1,650.00",900.00,"1,500.00",900.00,900.00,900.00,"2,350.00","1,700.00","1,450.00",,,"22,900.00"
Conventions,,,,,750.00,,600.00,,,,750.00,,,,,"2,100.00"
General Counsel,900.00,,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,"1,600.00","1,700.00","1,450.00",,,"12,850.00"
"Lecture Program 4,200.00",,,"1,500.00",,,,,,,,,,,,,"5,700.00"
Medical Ed,,,"2,250.00",,,,,,,,,,,,,"2,250.00"
ORTHOPAEDIC RESEARCH & EDUCATION FOUNDATION,,,,"1,000.00","1,000.00",,"2,500.00",,,"10,000.00","7,500.00",,,,,"22,000.00"
Medical Ed,,,,,"1,000.00",,,,,"10,000.00","7,500.00",,,,,"18,500.00"
Prof Relations,,,,"1,000.00",,,,,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,"2,500.00",,,,,,,,,"2,500.00"
"ORTHOPAEDIC RESEARCH FOUNDATION 2 ,500.00",,,,,,,,,,,,,,,,"2,500.00"
"Medical Ed 2,500.00",,,,,,,,,,,,,,,,"2,500.00"
Pain Connection,,,,,,,,,,,"5,000.00","15,000.00",,"10,000.00",,"30,000.00"
Medical Ed,,,,,,,,,,,"5,000.00",,,,,"5,000.00"
St. Gov Leg  Aff,,,,,,,,,,,,"15,000.00",,"10,000.00",,"25,000.00"
PAIN SOCIETY OF THE CAROLINAS INC,,,,,,,,,,"2,000.00","2,000.00",,"2,000.00","3,350.00","1,250.00","10,600.00"
Conventions,,,,,,,,,,"2,000.00","2,000.00",,"2,000.00","3,350.00","1,250.00","10,600.00"
PANCREATIC CANCER ACTION NETWORK,,,"3,000.00","3,000.00",,,350.00,350.00,"1,250.00","1,000.00","1,250.00","6,100.00","5,700.00","5,000.00",,"27,000.00"
Pur Pharma Fund,,,"3,000.00","3,000.00",,,,,,,,100.00,,,,"6,100.00"
St. Gov Leg  Aff,,,,,,,350.00,350.00,"1,250.00","1,000.00","1,250.00","6,000.00","5,700.00","5,000.00",,"20,900.00"
PARTNERSHIP FOR A DRUG FREE AMERICA INC,,,"260,000.00","253,497.36","250,000.00","27,500.00","7,250.00","166,000.00","500,000.00","725,000.00","725,000.00","800,000.00","442,750.00","350,000.00",,"4,506,997.36"
Patient & Professional Relations,,,,,,,,,,,,,,"225,000.00",,"225,000.00"
Public Affairs,,,,"2,497.36",,,,,,,,"25,000.00","17,500.00","25,000.00",,"69,997.36"
Pur Pharma Fund,,,"260,000.00","251,000.00","250,000.00","27,500.00","7,250.00","166,000.00","500,000.00","725,000.00","725,000.00",,"75,250.00",,,"2,987,000.00"
St. Gov Leg  Aff,,,,,,,,,,,,"775,000.00","350,000.00","100,000.00",,"1,225,000.00"
PARTNERSHIP FOR A DRUG FREE COMMUNITY OF SOUTH FLORIDA INC,,,,"1,000.00",,,,,,,,,,,,"1,000.00"
Pur Pharma Fund,,,,"1,000.00",,,,,,,,,,,,"1,000.00"
PASSAIC COUNTY POLICE CHIEFS ASSN,,,330.00,,,,,,,,,,,,,330.00
Executive Admin,,,330.00,,,,,,,,,,,,,330.00
PATIENT ADVOCATE FOUNDATION,,,"3,000.00","3,000.00","156,750.00","151,500.00","152,000.00","12,500.00","1,010,000.00","1,020,000.00","1,000,000.00","1,065,000.00","510,000.00","7,500.00",,"5,091,250.00"
Pur Pharma Fund,,,"2,750.00","3,000.00","156,500.00","151,500.00",,,,,,,,,,"313,750.00"
St. Gov Leg  Aff,,,250.00,,250.00,,"152,000.00","12,500.00","1,010,000.00","1,020,000.00","1,000,000.00","1,065,000.00","510,000.00","7,500.00",,"4,777,500.00"
PATIENT ALLIANCE FOR NEUROENDOCRINE IMMUNE DISORD ORG FOR RES & ADV INC,,,,,,"10,000.00",,,,,"5,000.00","10,000.00",,,,"25,000.00"
Pur Pharma Fund,,,,,,"10,000.00",,,,,,,,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"5,000.00","10,000.00",,,,"15,000.00"
PEDIATRIC ANESTHESIOLOGY FOUNDATION,350.00,,,,,,,,,,,,,,,350.00
Sales Force,350.00,,,,,,,,,,,,,,,350.00
PENNS WOOD CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,,,400.00,500.00,500.00,,,,,,,,,"1,400.00"
Conventions,,,,,400.00,500.00,500.00,,,,,,,,,"1,400.00"
PENNSYLVANIA ACADEMY OF FAMILY PHYSICIANS FOUNDATION 3,",000.00",,"4,453.00","3,500.00","5,000.00",,,"3,750.00",300.00,"25,300.00",650.00,,8 50.00,"20,050.00",,"66,853.00"
Conventions,,,500.00,"1,000.00",,,,,,,,,8 50.00,8 50.00,,"3,200.00"
Health Policy,,,,,,,,,300.00,300.00,650.00,,,,,"1,250.00"
"Medical Ed 3,000.00",,,"3,953.00","2,500.00","5,000.00",,,"3,750.00",,"25,000.00",,,,"19,200.00",,"62,403.00"
PENNSYLVANIA ASSOC DIRECTOR OF NURSING ADMINISTRATION,620.00,,,925.00,,,,,,,,,,,,"1,545.00"
Conventions,,,,925.00,,,,,,,,,,,,925.00
Sales Force,620.00,,,,,,,,,,,,,,,620.00
PENNSYLVANIA CHIEFS OF POLICE ASSOCIATION,,,,595.00,,"3,115.00","3,620.00","4,210.00",,"3,400.00","3,400.00","2,500.00",7 40.00,,,"21,580.00"
LELE,,,,595.00,,"3,115.00","3,620.00","4,210.00",,"3,400.00","3,400.00","2,500.00",7 40.00,,,"21,580.00"
PENNSYLVANIA MEDICAL DIRECTORS ASSOCIATION 1,",000.00",,"1,000.00",,,,,,,,,,,,,"2,000.00"
Conventions,,,"1,000.00",,,,,,,,,,,,,"1,000.00"
"Medical Ed 1,000.00",,,,,,,,,,,,,,,,"1,000.00"
PENNSYLVANIA PHARMACISTS ASSOC,,,"3,500.00",489.00,"1,050.00",,,,"1,500.00","2,000.00","1,500.00",,,,,"10,039.00"
Conventions,,,,489.00,50.00,,,,,,,,,,,539.00
Lecture Programs,,,"3,500.00",,,,,,,,,,,,,"3,500.00"
Medical Ed,,,,,"1,000.00",,,,"1,500.00","2,000.00","1,500.00",,,,,"6,000.00"
"PENNSYLVANIA SOCIETY OF HEALTH SYSTEM PHARMACISTS 19,415.10",,,"28,744.26","20,270.00",,,,,,,,,,,,"68,429.36"
Conventions,,,"1,000.00",,,,,,,,,,,,,"1,000.00"
ManagedCare FF,700.00,,,,,,,,,,,,,,,700.00
