Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,,,,,"1,000.00",,,,,,,,,"1,000.00"
GEORGIA STATE BOARD OF PHARMACY,,455.00,,455.00,25.00,,,,,700.00,,"2,400.00",,,"4,035.00"
General Counsel,,455.00,,455.00,25.00,,,,,700.00,,"2,400.00",,,"4,035.00"
GERONTOLOGICAL SOCIETY OF AMERICA,,,,,,,,,"2,500.00","58,000.00","40,000.00","65,500.00",,"7,500.00","173,500.00"
Medical Ed,,,,,,,,,,"58,000.00","10,000.00",,,,"68,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"7,500.00","7,500.00"
St. Gov Leg  Aff,,,,,,,,,"2,500.00",,"30,000.00","65,500.00",,,"98,000.00"
GERONTOLOGY SOCIETY OF IOWA,,"3,000.00",,,,,,,,,,,,,"3,000.00"
Lecture Program,,"3,000.00",,,,,,,,,,,,,"3,000.00"
"GOVERNORS PREVENTION 10,000.00",,"10,000.00","10,000.00",45.00,"1,000.00","5,000.00","10,000.00","120,000.00","50,000.00","30,000.00","90,060.00",,"100,000.00",,"436,105.00"
Admin Servs,,,,45.00,,,,,,,,,,,45.00
"Pur Pharma Fund 10,000.00",,"10,000.00","10,000.00",,"1,000.00","5,000.00","10,000.00","120,000.00","50,000.00","30,000.00",,,,,"246,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"90,060.00",,"100,000.00",,"190,060.00"
GREATER ALBUQUERQUE MEDICAL ASSOCIATION,,,,,,,,,,,,"10,000.00",,,"10,000.00"
Medical Ed,,,,,,,,,,,,"10,000.00",,,"10,000.00"
"GREATER CINCINNATI PAIN SOCIETY 4 ,000.00",,,,,,,,,,,,,,,"4,000.00"
"Medical Ed 4,000.00",,,,,,,,,,,,,,,"4,000.00"
GREATER GRAND RAPIDS ONCOLOGY NURSING SOCIETY CANCER 200.00,,,,,,,,,,,,,,,200.00
Lecture Program 200.00,,,,,,,,,,,,,,,200.00
GREATER KANSAS CITY CHAPTER AMERICAN SOCIETY PAIN MGMT NURSES,,"1,800.00",,,,,,,,,,,,,"1,800.00"
Lecture Programs,,"1,800.00",,,,,,,,,,,,,"1,800.00"
GREATER KANSAS CITY CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,,,,,,600.00,,600.00,,,,,"1,200.00"
Conventions,,,,,,,,600.00,,600.00,,,,,"1,200.00"
GREATER LAS VEGAS CHAPTER ONCOLOGY NURSING SOCIETY 800.00,,500.00,,,,,,,,,,,,,"1,300.00"
Conventions 500.00,,500.00,,,,,,,,,,,,,"1,000.00"
Lecture Program 300.00,,,,,,,,,,,,,,,300.00
GREATER NORTH TEXAS PAIN SOCIETY,,"2,500.00",,,,,,,,,,,,,"2,500.00"
Lecture Programs,,"2,500.00",,,,,,,,,,,,,"2,500.00"
"GREATER NORTHERN CALIFORNIA CHAPTER ONCOLOGY NURSING 2 ,500.00",,,,,,,,,,,,,,,"2,500.00"
"Lecture Program 2,500.00",,,,,,,,,,,,,,,"2,500.00"
GREATER PHILADELPHIA PAIN SOCIETY 400.00,,,,,,,,,,,,,,,400.00
Lecture Program 400.00,,,,,,,,,,,,,,,400.00
GREATER SACRAMENTO CHAPTER ONCOLOGY NURSING SOCIETY,,600.00,,,,,,,,,,,,,600.00
Medical Ed,,600.00,,,,,,,,,,,,,600.00
HAWAII ACADEMY OF FAMILY PHYSICIANS,,650.00,650.00,,,,,,,,,,,,"1,300.00"
Conventions,,650.00,650.00,,,,,,,,,,,,"1,300.00"
"HAWAII MEDICAL ASSOCIATION HI 14,566.70",,"17,000.00","1,000.00",,,,,,,,,,,,"32,566.70"
Conventions,,,"1,000.00",,,,,,,,,,,,"1,000.00"
ManagedCare FF 975.00,,,,,,,,,,,,,,,975.00
Medical Ed,,"17,000.00",,,,,,,,,,,,,"17,000.00"
"Other 13,591.70",,,,,,,,,,,,,,,"13,591.70"
"HEALTHCARE CONVENTION & EXHIBITORS ASSOCIATION 1 ,190.00",,595.00,,,595.00,,,,,,,,,,"2,380.00"
"Conventions 1,190.00",,595.00,,,,,,,,,,,,,"1,785.00"
Marketing,,,,,595.00,,,,,,,,,,595.00
"HEALTHCARE DISTRIBUTION 46,490.00",,"45,670.00","36,348.61","31,700.00","35,000.00","30,658.00","75,000.00",,"26,655.00",,,,,,"327,521.61"
