Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Promotions RX,,,"37,593.60",,,,,,,,,,,,,,"37,593.60"
MEDICAL BOARD OF CALIFORNIA,,,4.25,198.50,22.00,,,,,,,,,,,,224.75
General Counsel,,,4.25,198.50,22.00,,,,,,,,,,,,224.75
MERRIMAC VALLY ONCOLOGY NURSING SOCIETY,,,"2,000.00",,,,,500.00,,,,,,,,,"2,500.00"
Conventions,,,,,,,,500.00,,,,,,,,,500.00
Lecture Program,,,"2,000.00",,,,,,,,,,,,,,"2,000.00"
METRO DENVER ONCOLOGY NURSING SOC,,500.00,500.00,,,,,,,,,,,,,,"1,000.00"
Conventions,,500.00,500.00,,,,,,,,,,,,,,"1,000.00"
METRO MINNESOTA ONCOLOGY NURSING SOCIETY,,300.00,"2,300.00",,,,,,,,,,,,,,"2,600.00"
Conventions,,300.00,300.00,,,,,,,,,,,,,,600.00
Lecture Programs,,,"2,000.00",,,,,,,,,,,,,,"2,000.00"
METRO OMAHA CHAPTER ONCOLOGY NURSING SOCIETY,,250.00,250.00,,300.00,300.00,300.00,300.00,,,,,,,,,"1,700.00"
Conventions,,,250.00,,300.00,300.00,300.00,300.00,,,,,,,,,"1,450.00"
Lecture Program,,250.00,,,,,,,,,,,,,,,250.00
MICHIGAN ACADEMY OF FAMILY PHYSICIANS,,,"3,715.40","1,230.00",,,,,,,,,,,,,"4,945.40"
Conventions,,,"1,300.00","1,230.00",,,,,,,,,,,,,"2,530.00"
Lecture Programs,,,"2,415.40",,,,,,,,,,,,,,"2,415.40"
MICHIGAN ACADEMY OF PHYSICIAN ASSISTANTS,,,,,,,,,"5,000.00",,"6,000.00",,"1,500.00","1,500.00",,,"14,000.00"
Conventions,,,,,,,,,,,"1,000.00",,"1,500.00","1,500.00",,,"4,000.00"
Medical Ed,,,,,,,,,"5,000.00",,"5,000.00",,,,,,"10,000.00"
MICHIGAN ASSOC OF CHIEFS OF POLICE,,,550.00,,,,,,,,,,,,,,550.00
