Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
MONTANA STATE BOARD OF PHARMACY,,,"2,000.00",,,,,,,,,,,,"2,000.00"
Medical Ed,,,"2,000.00",,,,,,,,,,,,"2,000.00"
"N C ACADEMY OF FAMILY PHYSICIANS 1 ,413.00",,,"1,170.00",,,,,,,,,,,,"2,583.00"
"Lecture Program 1,413.00",,,,,,,,,,,,,,,"1,413.00"
Promotions RX,,,"1,170.00",,,,,,,,,,,,"1,170.00"
NABP/AACP DISTRICT III NATIONAL ASSOC BD OF PHARMACY,,,,,"2,000.00",,,,,,,,,,"2,000.00"
Medical Ed,,,,,"2,000.00",,,,,,,,,,"2,000.00"
"NADDI  NATIONAL ASSOC OF DRUG DIVERSION INVESTIGATORS IN1 ,510.00",,,"105,825.00","51,185.00","67,977.03","493,323.72","340,149.00","365,000.00","425,000.00","350,000.00","450,000.00","427,211.25","425,000.00","200,000.00","3,702,181.00"
"Analgesic 1,180.00",,,"70,435.00",395.00,325.00,,,,,,,,,,"72,335.00"
Corp.Security,,,,50.00,"13,774.67","490,000.00","290,149.00","350,000.00","375,000.00","350,000.00","450,000.00","427,211.25","425,000.00","200,000.00","3,371,184.92"
DEA Compliance,,,,50.00,,,,,,,,,,,50.00
Direct Mfg O_H 35.00,,,,,,,,,,,,,,,35.00
General Counsel,,,"19,285.00",,,,,,,,,,,,"19,285.00"
LELE,,,"5,625.00","50,590.00","53,532.32","3,323.72","50,000.00","15,000.00",,,,,,,"178,071.04"
Other,,,"8,000.00",,,,,,,,,,,,"8,000.00"
Public Affairs 295.00,,,,,,,,,,,,,,,295.00
Pur Pharma Fund,,,"2,000.00",,,,,,,,,,,,"2,000.00"
Security Rhodes,,,480.00,50.00,,,,,,,,,,,530.00
Security Stam,,,,,,,,,"50,000.00",,,,,,"50,000.00"
Security Wilson,,,,,345.04,,,,,,,,,,345.04
St. Gov Leg  Aff,,,,50.00,,,,,,,,,,,50.00
"NARCOTIC ENFORCEMENT OFFICERS ASSOC 2 ,296.00",,,"2,316.00",,,"1,000.00","1,000.00",,,"6,000.00",,,,,"12,612.00"
"Analgesic 2,296.00",,,20.00,,,,,,,,,,,,"2,316.00"
LELE,,,,,,"1,000.00","1,000.00",,,"6,000.00",,,,,"8,000.00"
Medical Ed,,,"2,296.00",,,,,,,,,,,,"2,296.00"
NATIONAL ALLIANCE OF STATE DRUG ENFORCEMENT AGENCIES  NASDEA,,,"2,000.00",,,,,,,,"8,500.00",,,,"10,500.00"
Corp.Security,,,,,,,,,,,"8,500.00",,,,"8,500.00"
Medical Ed,,,"2,000.00",,,,,,,,,,,,"2,000.00"
NATIONAL ALLIANCE OF STATE PHARMACY ASSOCIATIONS,,,,,,,,"2,500.00","2,500.00","52,500.00","52,500.00","50,000.00","61,000.00","7,500.00","228,500.00"
Health Policy,,,,,,,,"2,500.00","2,500.00","52,500.00","52,500.00","50,000.00","55,000.00",,"215,000.00"
Medical Ed,,,,,,,,,,,,,"6,000.00","5,000.00","11,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"2,500.00","2,500.00"
"NATIONAL ASSOC OF DIRECTORS OF NURSING ADMINISTRATION 8 ,925.00",,,"4,054.00",,,,,,,"45,580.00","36,400.00","55,370.00","15,000.00","10,000.00","175,329.00"
"Conventions 2,175.00",,,"1,400.00",,,,,,,,"21,400.00","14,500.00",,,"39,475.00"
ManagedCare FF,,,"2,654.00",,,,,,,,,,,,"2,654.00"
"Medical Ed 6,750.00",,,,,,,,,,"45,580.00","15,000.00","24,870.00","15,000.00","10,000.00","117,200.00"
St. Gov Leg  Aff,,,,,,,,,,,,"16,000.00",,,"16,000.00"
NATIONAL ASSOC OF DRUG DIVERSION INVESTIGATORS INDIANA STATE CHAPTER,,,,,,,,"1,000.00",,,,,,,"1,000.00"
LELE,,,,,,,,"1,000.00",,,,,,,"1,000.00"
"NATIONAL ASSOCIATION BOARD OF PHARMACY 1 ,500.00",,,"1,000.00","1,000.00",,,,,,,,,,,"3,500.00"
Analgesic,,,,"1,000.00",,,,,,,,,,,"1,000.00"
"Medical Ed 1,500.00",,,"1,000.00",,,,,,,,,,,,"2,500.00"
NATIONAL ASSOCIATION BOARDS OF PHAR DISTRICT 6 7 8 500.00,,,,,"2,000.00",,,,,,"5,000.00",,,,"7,500.00"
Medical Ed 500.00,,,,,"2,000.00",,,,,,"5,000.00",,,,"7,500.00"
NATIONAL ASSOCIATION OF ATTORNEYS GENERAL,,,75.00,,,,,,,,,,,,75.00
Public Affairs,,,75.00,,,,,,,,,,,,75.00
NATIONAL ASSOCIATION OF BOARDS OF PHARMACY,,,"9,600.00","12,470.00","15,000.00","12,500.00","22,500.00","30,000.00","25,000.00","25,000.00","1,025,000.00","75,000.00","25,000.00","20,000.00","1,297,070.00"
Analgesic,,,,"4,000.00",,,,,,,,,,,"4,000.00"
Creative Servs,,,,20.00,,,,,,,,,,,20.00
Health Policy,,,560.00,,,,"15,000.00","15,000.00","15,000.00",,"1,015,000.00","15,000.00","15,000.00","15,000.00","1,105,560.00"
Library InfoServ,,,,"5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00","5,000.00",,"50,000.00"
