Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ManagedCare FF,,850.00,,,,,,,,,,,,,,850.00
Medical Ed,,,,,,,,,"2,500.00","4,500.00","2,000.00",,,,,"9,000.00"
NEBRASKA ACADEMY OF PHYSICIAN ASSISTANTS,,500.00,500.00,,600.00,,600.00,,,,,,,,,"2,200.00"
Conventions,,,500.00,,600.00,,600.00,,,,,,,,,"1,700.00"
Lecture Program,,500.00,,,,,,,,,,,,,,500.00
NEBRASKA MEDICAL ASSOCIATION,,,,750.00,,,,,,,,,,,,750.00
Conventions,,,,750.00,,,,,,,,,,,,750.00
NEBRASKA PHARMACISTS ASSOC INC,,750.00,,,"1,000.00",,,,,,,,,,,"1,750.00"
Lecture Program,,750.00,,,,,,,,,,,,,,750.00
Medical Ed,,,,,"1,000.00",,,,,,,,,,,"1,000.00"
NEUROPATHY ASSOCIATION INC,,,,,,,50.00,,,,,,"3,200.00",,,"3,250.00"
St. Gov Leg  Aff,,,,,,,50.00,,,,,,"3,200.00",,,"3,250.00"
NEVADA ACADEMY OF FAMILY FAMILY PRACTICE,,,"1,800.00",,,,,,,,,,,,,"1,800.00"
Conventions,,,"1,800.00",,,,,,,,,,,,,"1,800.00"
NEVADA OSTEOPATHIC MEDICAL ASSOC,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
NEVADA PSYCHIATRIC ASSOC,"7 ,500.00",,,"17,500.00",,,,,,,,,,,,"25,000.00"
Medical Ed,,,,"17,500.00",,,,,,,,,,,,"17,500.00"
Other,"7,500.00",,,,,,,,,,,,,,,"7,500.00"
NEVADA STATE BOARD OF PHARMACY,,425.00,,500.00,,,,,,,,,,,,925.00
General Counsel,,425.00,,500.00,,,,,,,,,,,,925.00
NEW ENGLAND NARCOTIC ENFORCEMENT,,,,,,,,,"15,000.00","5,000.00",,"2,500.00",,,,"22,500.00"
Corp.Security,,,,,,,,,"15,000.00",,,"2,500.00",,,,"17,500.00"
LELE,,,,,,,,,,"5,000.00",,,,,,"5,000.00"
NEW ENGLAND SOCIETY OF ANESTHESIOLOGISTS INC,,,750.00,,,,,,,,,,,,,750.00
Conventions,,,750.00,,,,,,,,,,,,,750.00
NEW HAMPSHIRE BOARD OF PHARMACY,,250.00,250.00,250.00,250.00,250.00,750.00,500.00,500.00,500.00,750.00,750.00,2 50.00,7 50.00,,"6,000.00"
General Counsel,,250.00,250.00,250.00,250.00,250.00,750.00,500.00,500.00,500.00,750.00,750.00,2 50.00,7 50.00,,"6,000.00"
NEW HAMPSHIRE HOSPICE AND PALLIATIVE CARE ORGANIZATION,"3 ,000.00",,"5,000.00","2,500.00","5,000.00",,,"1,000.00",,,250.00,375.00,,,,"17,125.00"
Conventions,,,,,,,,,,,250.00,375.00,,,,625.00
Lecture Program,"3,000.00",,,,,,,,,,,,,,,"3,000.00"
Medical Ed,,,"5,000.00","2,500.00","5,000.00",,,"1,000.00",,,,,,,,"13,500.00"
NEW HAMPSHIRE MEDICAL DIRECTORS ASSOCIATION,,,,,,,,,,,,700.00,7 00.00,7 50.00,,"2,150.00"
Conventions,,,,,,,,,,,,700.00,7 00.00,7 50.00,,"2,150.00"
NEW HAMPSHIRE NURSES ASSOC,,,"3,550.00",,,,,,,,,,,,,"3,550.00"
Medical Ed,,,"3,550.00",,,,,,,,,,,,,"3,550.00"
NEW HAMPSHIRE PHARMACISTS ASSN,,,"1,500.00",,,,,,,"3,000.00",500.00,750.00,,,,"5,750.00"
Conventions,,,,,,,,,,"1,000.00",500.00,750.00,,,,"2,250.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Medical Ed,,,,,,,,,,"2,000.00",,,,,,"2,000.00"
NEW HAMPSHIRE SOCIETY OF HEALTH SYSTEM PHARM INC,2,",000.00",500.00,,,,,,,,,,,,,"2,500.00"
Conventions,,,500.00,,,,,,,,,,,,,500.00
Lecture Program,"2,000.00",,,,,,,,,,,,,,,"2,000.00"
NEW HAMPSHIRE SOCIETY OF PHYSICIAN ASSISTANCE,,500.00,"4,500.00",,,,,,,,750.00,,,,,"5,750.00"
Conventions,,500.00,"2,250.00",,,,,,,,750.00,,,,,"3,500.00"
Lecture Program,,,"2,250.00",,,,,,,,,,,,,"2,250.00"
NEW JERSEY ASSOCIATION OF DIRECTORS OF NURSING ADMINIST,,750.00,900.00,900.00,,,,,,,,,,,,"2,550.00"
Conventions,,,900.00,900.00,,,,,,,,,,,,"1,800.00"
Lecture Program,,750.00,,,,,,,,,,,,,,750.00
NEW JERSEY GERIATRIC SOCIETY,3,",000.00","2,000.00",,,,,,,,,,,,,"5,000.00"
Conventions,,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Lecture Programs,,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Medical Ed,"3,000.00",,,,,,,,,,,,,,,"3,000.00"
NEW JERSEY HOSPICE AND PALLIATIVE CARE ORGANIZATION,,,375.00,375.00,,,,,,,,,,,,750.00
Conventions,,,375.00,375.00,,,,,,,,,,,,750.00
NEW JERSEY MEDICAL DIRECTORS ASSOC,,,"1,500.00","1,500.00",,,,,,,,,,,,"3,000.00"
Lecture Programs,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Medical Ed,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
NEW JERSEY NARCOTIC ENFORCEMENT OFFICERS ASSOC,,500.00,,,,,,,,,,,,,,500.00
