Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Professional Rels,,,"9,960.00",,,,,,,,,,,,"9,960.00"
"Pur Pharma Fund 25,000.00",,,,,,,,,,,,,,,"25,000.00"
Rhodes Sale Dst,,,,,,,,,"21,920.00","2,880.00",,,,,"24,800.00"
NATIONAL ASSOCIATION OF CHAIN DRUG STORES FOUNDATION INC,,"12,500.00",,,,,,,,,,,,,"12,500.00"
Medical Ed,,"12,500.00",,,,,,,,,,,,,"12,500.00"
"NATIONAL ASSOCIATION OF MANAGED CARE PHYSICIANS 10,885.00",,"5,000.00",,"5,000.00","2,500.00","2,500.00","2,500.00","12,500.00","57,000.00","25,000.00","57,000.00","28,800.00","70,800.00",,"279,485.00"
ManagedCare FF,,,,,,,,,,,,"3,800.00","3,800.00",,"7,600.00"
"Medical Ed 2,500.00",,,,,,,,"12,500.00","57,000.00","25,000.00","57,000.00","25,000.00","67,000.00",,"246,000.00"
"Par Against 3,385.00",,,,,,,,,,,,,,,"3,385.00"
"Prof Relations 5,000.00",,"5,000.00",,,,,,,,,,,,,"10,000.00"
Professional Rels,,,,"5,000.00",,,,,,,,,,,"5,000.00"
St. Gov Leg  Aff,,,,,"2,500.00","2,500.00","2,500.00",,,,,,,,"7,500.00"
NATIONAL ASSOCIATION OF STATE CONTROLLED SUBSTANCE AUTHORITIES,,"50,000.00",,,,,,,,,,,,,"50,000.00"
Pur Pharma Fund,,"50,000.00",,,,,,,,,,,,,"50,000.00"
NATIONAL CHILDRENS CANCER SOCIETY,,,250.00,,,,,,,,,,,,250.00
Pur Pharma Fund,,,250.00,,,,,,,,,,,,250.00
NATIONAL COALITION FOR CANCER SURVIVORSHIP,,,,"1,000.00","1,000.00",,,,"2,500.00","1,000.00","1,000.00","1,000.00",,,"7,500.00"
Pur Pharma Fund,,,,"1,000.00",,,,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,"1,000.00",,,,"2,500.00","1,000.00","1,000.00","1,000.00",,,"6,500.00"
