Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
SOUTH CAROLINA ASSOCIATION OF REHABILITATION NURSES,,,"2,500.00",,,,,,,,,,,,"2,500.00"
Lecture Program,,,"2,500.00",,,,,,,,,,,,"2,500.00"
SOUTH CAROLINA CHAPTER OF THE AMERICAN COLLEGE OF PHYICIANS,,,"1,500.00",,,,,,,,,"1,300.00",,,"2,800.00"
Conventions,,,,,,,,,,,,"1,300.00",,,"1,300.00"
Lecture Programs,,,"1,500.00",,,,,,,,,,,,"1,500.00"
SOUTH CAROLINA DEPARTMENT OF LLR-BOARD OF PHARMACY,"1 ,000.00",,"1,000.00","1,000.00","1,000.00","1,020.00","1,000.00","1,000.00","2,000.00",,"1,000.00","1,000.00","1,050.00","1,000.00","13,070.00"
General Counsel,"1,000.00",,"1,000.00","1,000.00","1,000.00","1,020.00","1,000.00","1,000.00","2,000.00",,"1,000.00","1,000.00","1,050.00","1,000.00","13,070.00"
SOUTH CAROLINA MEDICAL ASSOCIATION,700.00,,"1,700.00",250.00,,"1,000.00","1,000.00","1,000.00",,,,,,,"5,650.00"
Conventions,700.00,,"1,000.00",,,"1,000.00","1,000.00","1,000.00",,,,,,,"4,700.00"
ManagedCare FF,,,700.00,,,,,,,,,,,,700.00
Medical Ed,,,,250.00,,,,,,,,,,,250.00
SOUTH CAROLINA NURSES ASSOCIATION,,,,500.00,,,,,,,,,,,500.00
Conventions,,,,500.00,,,,,,,,,,,500.00
SOUTH CAROLINA PHARMACY ASSOCIATION,"2 ,810.09",,"4,813.43","38,500.00","20,650.00","30,000.00",,,,,,,,,"96,773.52"
Conventions,575.00,,,"2,500.00",650.00,,,,,,,,,,"3,725.00"
Corp.Security,,,,"20,000.00","20,000.00","30,000.00",,,,,,,,,"70,000.00"
ManagedCare FF,575.00,,650.00,,,,,,,,,,,,"1,225.00"
Market Strategies,"1,660.09",,"4,163.43",,,,,,,,,,,,"5,823.52"
St. Gov Leg  Aff,,,,"16,000.00",,,,,,,,,,,"16,000.00"
SOUTH CAROLINA PHARMACY FOUNDATION,,,,,,"2,000.00",,,,,,,,,"2,000.00"
Medical Ed,,,,,,"2,000.00",,,,,,,,,"2,000.00"
SOUTH CAROLINA POLICE CHIEFS ASSOC,,,350.00,,,,,,,,,,,,350.00
LELE,,,350.00,,,,,,,,,,,,350.00
SOUTH CAROLINA SOCIETY OF ANESTHESIOLOGISTS,500.00,,,,,,,,,,,,,,500.00
Lecture Program,500.00,,,,,,,,,,,,,,500.00
SOUTH CAROLINA SOCIETY OF HEALTH-SYSTEM PHARMACISTS,900.00,,,,,,,,,,,,,,900.00
Lecture Program,900.00,,,,,,,,,,,,,,900.00
SOUTH DAKOTA ACADEMY OF PHYS ASSIST,,,,300.00,,,,,,,,,,,300.00
Conventions,,,,300.00,,,,,,,,,,,300.00
SOUTH DAKOTA BOARD OF PHARMACY,200.00,,200.00,200.00,,400.00,200.00,600.00,400.00,400.00,400.00,800.00,6 00.00,6 00.00,"5,000.00"
