Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,,,,,,,"10,000.00",,,,,,,"10,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"10,000.00","10,000.00"
Pur Pharma Fund,"5,000.00","5,000.00","5,000.00",,,,,,"30,000.00",,,,,,"45,000.00"
St. Gov Leg  Aff,,,,,,,,,"22,500.00",,"35,000.00",,,,"57,500.00"
IOWA ACADEMY OF FAMILY PHYSICIANS,900.00,950.00,,,,,,,,,,,,,"1,850.00"
Conventions,,950.00,,,,,,,,,,,,,950.00
ManagedCare FF,900.00,,,,,,,,,,,,,,900.00
IOWA BOARD OF PHARMACY,300.00,,500.00,,600.00,900.00,600.00,600.00,600.00,900.00,"1,600.00",8 10.00,,8 10.00,"8,220.00"
General Counsel,300.00,,500.00,,600.00,900.00,600.00,600.00,600.00,900.00,"1,600.00",8 10.00,,8 10.00,"8,220.00"
IOWA CHAPTER CASE MANAGEMENT SOCIETY OF AMERICA,,375.00,,,,,,,,,,,,,375.00
Conventions,,375.00,,,,,,,,,,,,,375.00
IOWA CHAPTER OF THE AM COLLEGE OF OSTEOPATHIC PHYSICANS INC,,,"1,500.00","1,500.00",,,,"2,000.00",,,,,,9 98.00,"5,998.00"
Conventions,,,,"1,500.00",,,,,,,,,,9 98.00,"2,498.00"
Medical Ed,,,,,,,,"2,000.00",,,,,,,"2,000.00"
Other,,,"1,500.00",,,,,,,,,,,,"1,500.00"
IOWA NARCOTICS OFFICERS ASSOCIATION,,,,"1,000.00",,,,,,,,,,,"1,000.00"
LELE,,,,"1,000.00",,,,,,,,,,,"1,000.00"
IOWA PHARMACY ASSOC,"10,000.00","3,450.00",975.00,,,,,,,,,,,,"14,425.00"
Conventions,,950.00,975.00,,,,,,,,,,,,"1,925.00"
Lecture Program,"10,000.00","2,500.00",,,,,,,,,,,,,"12,500.00"
IOWA PHARMACY FOUNDATION,,,,,,"1,000.00",,,,,,,,,"1,000.00"
Medical Ed,,,,,,"1,000.00",,,,,,,,,"1,000.00"
JEFFERSON COUNTY ACADEMY OF PHARM,,600.00,,,,,,,,,,,,,600.00
Lecture Program,,600.00,,,,,,,,,,,,,600.00
JEFFERSON COUNTY ACADEMY OF PHARMAC,,,,,,,250.00,,,,,,,,250.00
Conventions,,,,,,,250.00,,,,,,,,250.00
JEFFERSON COUNTY SHERIFFS OFFICE,,,"5,000.00",,,,,,,,,,,,"5,000.00"
Corp.Security,,,"5,000.00",,,,,,,,,,,,"5,000.00"
JOHNS HOPKINS UNIVERSITY,"136,851.00","104,431.00","362,938.00","239,413.72","18,643.28",,"502,565.68","47,711.09","290,327.50","90,771.00","75,000.00","100,000.00",,,"1,968,652.27"
Analgesic,,,"99,620.00","104,358.72","17,393.28",,,,,,,"100,000.00",,,"321,372.00"
Clinical Rsch 3,,,,,,,"2,750.00",,,,,,,,"2,750.00"
Drug Sfty&Pharm,,,,,,,,"21,405.00","17,773.00","30,771.00",,,,,"69,949.00"
IRD Admin,,,,"50,000.00",,,,,,,,,,,"50,000.00"
Lecture Program,"2,810.00",,,,,,,,,,,,,,"2,810.00"
Medical Ed,"10,000.00","52,500.00","164,397.00","21,052.00","1,250.00",,,,"272,554.50","60,000.00","75,000.00",,,,"656,753.50"
Medical Rsch,"54,541.00","51,931.00","98,921.00","64,003.00",,,,,,,,,,,"269,396.00"
Other,,,,,,,"499,815.68","26,306.09",,,,,,,"526,121.77"
Promotions RX,"69,500.00",,,,,,,,,,,,,,"69,500.00"
JORANSON DAVID,,,,387.60,,,,,,,,,,,387.60
St. Gov Leg  Aff,,,,387.60,,,,,,,,,,,387.60
KANSAS PHARMACISTS ASSOCIATION,500.00,"2,000.00",,,,,,,,,,,,,"2,500.00"
Lecture Programs,,"2,000.00",,,,,,,,,,,,,"2,000.00"
ManagedCare FF,500.00,,,,,,,,,,,,,,500.00
KANSAS SOCIETY OF HEALTH SYSTEMS PHARMACISTS,600.00,,,,,,,,,,,,,,600.00
ManagedCare FF,600.00,,,,,,,,,,,,,,600.00
KANSAS STATE BOARD OF PHARMACY,300.00,300.00,300.00,300.00,600.00,,600.00,,,,300.00,3 11.00,,,"3,011.00"
General Counsel,300.00,300.00,300.00,300.00,600.00,,600.00,,,,300.00,3 11.00,,,"3,011.00"
KENT COUNTY YMCA,500.00,750.00,500.00,750.00,,850.00,,,,,,,,,"3,350.00"
Executive Admin,,,,,,850.00,,,,,,,,,850.00
Human Resources,500.00,,,,,,,,,,,,,,500.00
Pur Pharma Fund,,750.00,500.00,750.00,,,,,,,,,,,"2,000.00"
KENTUCKY ACADEMY FAMILY PHYSICIANS,,"7,500.00",,,,,,,,,,,,,"7,500.00"
Lecture Program,,"2,500.00",,,,,,,,,,,,,"2,500.00"
Medical Ed,,"5,000.00",,,,,,,,,,,,,"5,000.00"
KENTUCKY ACADEMY OF PHYSICIAN ASSISTANTS,400.00,450.00,,,,,,,,,,,,,850.00
Conventions,400.00,450.00,,,,,,,,,,,,,850.00
KENTUCKY ASSOC OF CHIEFS OF POLICE,500.00,"2,300.00","1,435.00",,,,,,,,,,,,"4,235.00"
LELE,,"2,300.00","1,435.00",,,,,,,,,,,,"3,735.00"
Pur Pharma Fund,500.00,,,,,,,,,,,,,,500.00
