Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
COLUMBIA POLICE DEPT CITY OF COLUMBIA,,"10,000.00",,,,,,,,,,,,,"10,000.00"
Corp.Security,,"10,000.00",,,,,,,,,,,,,"10,000.00"
COM ANTI DRUG COALITIONS OF AMERICA,"24,203.00","200,000.00","1,000.00","20,000.00","4,500.00","5,000.00","10,000.00","66,500.00","175,000.00","70,000.00","75,000.00","75,000.00","50,000.00","30,000.00","806,203.00"
Patient & Professional Relations,,,,,,,,,,,,,"15,000.00","30,000.00","45,000.00"
Public Affairs,"20,000.00",,,,"1,000.00",,,,,,,,,,"21,000.00"
Pur Pharma Fund,"4,203.00","200,000.00","1,000.00","20,000.00","3,500.00","5,000.00","10,000.00","66,500.00","175,000.00","70,000.00","30,000.00",,,,"585,203.00"
St. Gov Leg  Aff,,,,,,,,,,,"45,000.00","75,000.00","35,000.00",,"155,000.00"
COMMUNITY PARTNERS FBO FOR GRACE,,"2,500.00","11,600.00",,,,500.00,"5,000.00","2,500.00",,,,,,"22,100.00"
Medical Ed,,,,,,,,"2,500.00","2,500.00",,,,,,"5,000.00"
Pur Pharma Fund,,"2,500.00","11,600.00",,,,,,,,,,,,"14,100.00"
St. Gov Leg  Aff,,,,,,,500.00,"2,500.00",,,,,,,"3,000.00"
CONFERENCE OF WESTERN ATTORNEYS GENERAL,,,,,,,,"15,000.00","15,000.00","15,000.00","15,000.00","15,000.00","15,000.00",,"90,000.00"
St. Gov Leg  Aff,,,,,,,,"15,000.00","15,000.00","15,000.00","15,000.00","15,000.00","15,000.00",,"90,000.00"
CONNECTICUT ACADEMY OF FAMILY PHYSICIANS,"2 ,000.00",975.00,,"2,500.00",,,,,,,,,"1,300.00",,"6,775.00"
Conventions,,975.00,,,,,,,,,,,"1,300.00",,"2,275.00"
Lecture Program,"2,000.00",,,,,,,,,,,,,,"2,000.00"
Medical Ed,,,,"2,500.00",,,,,,,,,,,"2,500.00"
CONNECTICUT ACADEMY OF PHYSICIAN ASSISTANTS,500.00,"4,500.00",500.00,,,,,,,,,,,,"5,500.00"
Conventions,500.00,,500.00,,,,,,,,,,,,"1,000.00"
Lecture Program,,"2,000.00",,,,,,,,,,,,,"2,000.00"
Medical Ed,,"2,500.00",,,,,,,,,,,,,"2,500.00"
CONNECTICUT BUSINESS & INDUSTRY ASSOCIATION INC,840.00,,,700.00,,180.20,,,,,"45,000.00","30,000.00",,"32,000.00","108,720.20"
General Counsel,,,,,,180.20,,,,,,,,,180.20
Human Resources,840.00,,,,,,,,,,,,,,840.00
Public Affairs,,,,700.00,,,,,,,,,,,700.00
St. Gov Leg  Aff,,,,,,,,,,,"45,000.00","30,000.00",,"32,000.00","107,000.00"
CONNECTICUT CHAPTER OF CMSA INC,,,400.00,,,,,,,,,,,,400.00
Conventions,,,400.00,,,,,,,,,,,,400.00
CONNECTICUT CHAPTER OF THE AMERICAN COLLEGE OF PHYSICIANS INC,,,,,,,800.00,,800.00,,,,,,"1,600.00"
Conventions,,,,,,,800.00,,800.00,,,,,,"1,600.00"
CONNECTICUT ORTHOPAEDIC SOCIETY,750.00,,,,,,,,,,,,,,750.00
Lecture Program,750.00,,,,,,,,,,,,,,750.00
CONNECTICUT PAIN SOCIETY,"2 ,000.00",,,,,,,,,,,,,,"2,000.00"
Medical Ed,"2,000.00",,,,,,,,,,,,,,"2,000.00"
CONNECTICUT PHARMACISTS ASSOC,,750.00,750.00,,,"7,500.00","7,500.00","8,000.00","17,850.00","10,290.00","6,000.00",,"10,000.00",,"68,640.00"
Conventions,,,750.00,,,,850.00,,,,,,,,"1,600.00"
Health Policy,,,,,,,,"3,000.00",,290.00,,,,,"3,290.00"
ManagedCare FF,,750.00,,,,,,,,,,,,,750.00
Medical Ed,,,,,,"7,500.00","6,650.00","5,000.00","17,850.00","10,000.00","6,000.00",,"10,000.00",,"63,000.00"
CONNECTICUT POLICE CHIEFS ASSOC,,770.00,,,,,,,,,,,,,770.00
LELE,,770.00,,,,,,,,,,,,,770.00
CONNECTICUT SOCIETY OF HEALTH SYSTEM PHARMACISTS,"2 ,000.00",,,,"1,000.00",,,,,,,,,,"3,000.00"
Lecture Program,"2,000.00",,,,,,,,,,,,,,"2,000.00"
Medical Ed,,,,,"1,000.00",,,,,,,,,,"1,000.00"
CONNECTICUT STATE SOCIETY OF ANESTHESIOLOGISTS INC,200.00,200.00,,,,,,,,,,,,,400.00
Clinical Rsch 1,200.00,,,,,,,,,,,,,,200.00
Clinical Rsch 3,,200.00,,,,,,,,,,,,,200.00
CONSULTANT PHARMACISTS INC,,,,,,,,300.00,,,300.00,,,,600.00
Conventions,,,,,,,,300.00,,,300.00,,,,600.00
CONSUMER HEALTHCARE PRODUCTS ASSOCIATION,"72,019.00","62,730.00","45,509.00","60,600.00","60,500.00","61,100.00","61,507.00","60,500.00","60,500.00","60,500.00",,"60,500.00","60,500.00",,"726,465.00"
Corp Quality,320.00,,,,,,,,,,,,,,320.00
Direct Mfg O_H,,640.00,,,,,,,,,,,,,640.00
Executive Admin,,,320.00,,,,,,,,,,,,320.00
Human Resources,"1,245.00",,,,,,,,,,,,,,"1,245.00"
ISQA,320.00,,,,,,,,,,,,,,320.00
Marketing,,"60,500.00",,,,,,,,,,,,,"60,500.00"
PPMD,320.00,,,,,,,,,,,,,,320.00
PPMD - QA,,,,,,600.00,,,,,,,,,600.00
Preclin Phar An,,950.00,,,,,,,,,,,,,950.00
