Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
RHEUMATOLOGY ASSN OF N ALABAMA,,,"1,000.00",550.00,,,,,,,,,,,"1,550.00"
Medical Rsch,,,"1,000.00",550.00,,,,,,,,,,,"1,550.00"
"RHODE ISLAND ACADEMY OF FAMILY PHYSICIANS 1 ,350.00",,,,,,,,,,,,,,,"1,350.00"
Conventions 550.00,,,,,,,,,,,,,,,550.00
Lecture Program 800.00,,,,,,,,,,,,,,,800.00
RHODES ISLAND SOCIETY OFOSTEOPATHIC,,,650.00,,,,,,,,,,,,650.00
Conventions,,,650.00,,,,,,,,,,,,650.00
RI & SE MA CHAPTER ONCOLOGY NURSING SOCIETY,,,250.00,,,,,,550.00,,,,,,800.00
Conventions,,,250.00,,,,,,550.00,,,,,,800.00
"ROANOKE VALLEY ACADEMY OF MEDICINE 3 ,000.00",,,,,,,,,,,,,,,"3,000.00"
"Medical Ed 3,000.00",,,,,,,,,,,,,,,"3,000.00"
SACRAMENTO VALLEY SOCIETY OF HEALTH SYSTEMS PHARMACIST250.00,,,,,,,,,,,,,,,250.00
ManagedCare FF 250.00,,,,,,,,,,,,,,,250.00
SAFE STATES ALLIANCE,,,,,,,,,,,700.00,,,,700.00
St. Gov Leg  Aff,,,,,,,,,,,700.00,,,,700.00
"SAN DIEGO ACADEMY OF FAMILY PHYSICIANS 10,000.00",,,,,,,,,,,,,,,"10,000.00"
"Medical Ed 5,000.00",,,,,,,,,,,,,,,"5,000.00"
"Other 5,000.00",,,,,,,,,,,,,,,"5,000.00"
SAN DIEGO SOCIETY OF HEALTH SYSTEM PHARMACHY - SDSHP 500.00,,,,,,,,,,,,,,,500.00
Sales Force 500.00,,,,,,,,,,,,,,,500.00
"SC ACADEMY OF FAMILY PHYSICIANS 2 ,235.00",,,"28,345.00","1,425.00",,,"1,000.00",,,,,,,,"33,005.00"
Conventions,,,"1,575.00","1,425.00",,,"1,000.00",,,,,,,,"4,000.00"
"Lecture Program 1,385.00",,,,,,,,,,,,,,,"1,385.00"
Medical Ed,,,"25,770.00",,,,,,,,,,,,"25,770.00"
Promotions RX,,,"1,000.00",,,,,,,,,,,,"1,000.00"
Sales Force 850.00,,,,,,,,,,,,,,,850.00
SEATTLE CONF ORGANIZING COMMITTEE SEATTLE NAT GOVERNORS ASSOC,,,,"25,000.00",,,,,,,,,,,"25,000.00"
St. Gov Leg  Aff,,,,"25,000.00",,,,,,,,,,,"25,000.00"
SICKLE CELL DISEASE ASSOCIATION OF AMERICA- EASTERN NC CHAPTER,,,,,,500.00,,,,,,,,,500.00
St. Gov Leg  Aff,,,,,,500.00,,,,,,,,,500.00
SICKLE CELL DISEASE ASSOCIATION OF AMERICA INC,,,"5,000.00",,"7,500.00",,,,,,250.00,,,,"12,750.00"
Medical Ed,,,"5,000.00",,"5,000.00",,,,,,,,,,"10,000.00"
Pur Pharma Fund,,,,,"2,500.00",,,,,,,,,,"2,500.00"
St. Gov Leg  Aff,,,,,,,,,,,250.00,,,,250.00
SICKLE CELL DISEASE ASSOCIATION OF PIEDMONT,,,"4,000.00",,,,,,,,,,,,"4,000.00"
Lecture Program,,,"4,000.00",,,,,,,,,,,,"4,000.00"
"SICKLE CELL FOUNDATION OF PALM BEACH COUNTY INC 1 ,500.00",,,,,,"1,000.00","1,000.00",,,,,,,,"3,500.00"
"Lecture Program 1,500.00",,,,,,,,,,,,,,,"1,500.00"
St. Gov Leg  Aff,,,,,,"1,000.00","1,000.00",,,,,,,,"2,000.00"
SIERRA SOCIETY OF HEALTH SYSTEMS PHARMACISTS,,,450.00,,,,,,,,,,,,450.00
Conventions,,,450.00,,,,,,,,,,,,450.00
SLC KENTUCKY NIGHT RECEPTION KENTUCKY RETAIL FEDERATION 300.00,,,200.00,150.00,,,,,,,,,,,650.00
Government Aff 300.00,,,,,,,,,,,,,,,300.00
St. Gov Leg  Aff,,,200.00,150.00,,,,,,,,,,,350.00
SOCIETY FOR WOMENS HEALTH RESEARCH,,,,,,,,"11,000.00","11,000.00","1,000.00","16,000.00","16,000.00","15,000.00","15,000.00","85,000.00"
Medical Ed,,,,,,,,,,,"15,000.00",,,,"15,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"15,000.00","15,000.00"
Public Affairs,,,,,,,,,"10,000.00",,,,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,"11,000.00","1,000.00","1,000.00","1,000.00","16,000.00","15,000.00",,"45,000.00"
SOCIETY OF TOXICOLOGY 100.00,,,"2,060.00","2,500.00","2,500.00",,,"10,000.00",,,,"5,000.00",,,"22,160.00"
Discovery Admin,,,,,,,,,,,,"5,000.00",,,"5,000.00"
NDSE 100.00,,,60.00,,,,,,,,,,,,160.00
PKDM,,,,,,,,"10,000.00",,,,,,,"10,000.00"
Pur Pharma Fund,,,"2,000.00","2,500.00","2,500.00",,,,,,,,,,"7,000.00"
SONOMA COUNTY ONCOLOGY NURSING SOC,,,,,500.00,,,,,,,,,,500.00
Conventions,,,,,500.00,,,,,,,,,,500.00
"SOUTH BAY PHARMACISTS ASSOC 1 ,000.00",,,,,"2,400.00",,,,,,,,,,"3,400.00"
"Lecture Program 1,000.00",,,,,,,,,,,,,,,"1,000.00"
Medical Ed,,,,,"2,400.00",,,,,,,,,,"2,400.00"
