Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
NORTHWEST PHARMACIST ASSOCIATION,"1 ,000.00",,"3,500.00",,,,,,,,,,,,"4,500.00"
Lecture Program,"1,000.00",,"3,500.00",,,,,,,,,,,,"4,500.00"
NPACE NURSE PRACT ASSOC FOR CONTINUING ED,,,"29,150.00","1,000.00",,,,,,,"7,500.00","19,250.00",,,"56,900.00"
Conventions,,,"2,150.00","1,000.00",,,,,,,,750.00,,,"3,900.00"
Medical Ed,,,"27,000.00",,,,,,,,"7,500.00","18,500.00",,,"53,000.00"
NURSE PRACTITIONER HEALTHCARE FOUNDATION,,,,,"69,720.00",,,,"37,500.00","207,500.00","47,500.00","47,500.00","10,000.00",,"419,720.00"
Medical Ed,,,,,"69,720.00",,,,,"65,000.00",,,,,"134,720.00"
Pur Pharma Fund,,,,,,,,,,"55,000.00",,,,,"55,000.00"
St. Gov Leg  Aff,,,,,,,,,"37,500.00","87,500.00","47,500.00","47,500.00","10,000.00",,"230,000.00"
OHIO ACADEMY OF FAMILY PHYSICIANS,"1 ,000.00",,"4,650.00","3,500.00",,"2,427.60",,,,650.00,"2,375.00",,"3,250.00",,"17,852.60"
Conventions,,,500.00,"1,500.00",,500.00,,,,650.00,650.00,,7 50.00,,"4,550.00"
Lecture Program,"1,000.00",,,,,,,,,,,,,,"1,000.00"
ManagedCare FF,,,400.00,,,,,,,,,,,,400.00
Marketing,,,,"1,000.00",,,,,,,,,,,"1,000.00"
Medical Ed,,,,,,,,,,,,,"2,500.00",,"2,500.00"
Par Against,,,"3,000.00",,,,,,,,,,,,"3,000.00"
Prof Relations,,,,"1,000.00",,,,,,,,,,,"1,000.00"
Public Affairs,,,,,,,,,,,"1,725.00",,,,"1,725.00"
St. Gov Leg  Aff,,,750.00,,,"1,927.60",,,,,,,,,"2,677.60"
OHIO ACADEMY OF PAIN MEDICINE,,,"7,500.00",,,,,,,,,,,,"7,500.00"
Medical Ed,,,"7,500.00",,,,,,,,,,,,"7,500.00"
OHIO ASSOCIATION OF CHIEFS OF POLIC,,,725.00,550.00,,,,,,,,,,,"1,275.00"
Analgesic,,,175.00,,,,,,,,,,,,175.00
LELE,,,550.00,550.00,,,,,,,,,,,"1,100.00"
OHIO ASSOCIATION OF PHYSICIAN ASSISTANTS,,,,,,,,,,,,,5 00.00,,500.00
Conventions,,,,,,,,,,,,,5 00.00,,500.00
OHIO CHAPTER AMERICAN COLLEGE OF SURGEONS,750.00,,,,,,,,,,,,,,750.00
Lecture Program,750.00,,,,,,,,,,,,,,750.00
OHIO HOSPICE AND PALLIATIVE CARE ORGANIZATION,"2 ,500.00",,,"17,500.00","2,500.00","3,000.00",,,,,,,,,"25,500.00"
Lecture Program,"2,500.00",,,,,,,,,,,,,,"2,500.00"
Medical Ed,,,,"2,500.00","2,500.00","3,000.00",,,,,,,,,"8,000.00"
Pur Pharma Fund,,,,"15,000.00",,,,,,,,,,,"15,000.00"
OHIO MARSHAL CNTY PHARMACISTS ASSOC,250.00,,"1,750.00","1,000.00",,,,,,,,,,,"3,000.00"
Lecture Program,,,"1,750.00",,,,,,,,,,,,"1,750.00"
Medical Ed,,,,"1,000.00",,,,,,,,,,,"1,000.00"
Sales Force,250.00,,,,,,,,,,,,,,250.00
OHIO MARSHALL COUNTY PHARMACISTS ASSOCIATION,,,,,,,,499.00,,,,,,,499.00
Conventions,,,,,,,,499.00,,,,,,,499.00
OHIO MEDICAL DIRECTORS ASSOCIATION,,,,,,,"2,500.00",,,,,,,,"2,500.00"
Medical Ed,,,,,,,"2,500.00",,,,,,,,"2,500.00"
OHIO MEDICAL EDUCATION FOUNDATION,,,"16,000.00",,,,,,,,,,,,"16,000.00"
Mkt Intrnt Strt,,,"16,000.00",,,,,,,,,,,,"16,000.00"
OHIO OSTEOPATHIC ASSOCIATION,,,"1,200.00","1,200.00",,,,,,,,,,,"2,400.00"
Conventions,,,"1,200.00","1,200.00",,,,,,,,,,,"2,400.00"
OHIO OSTEOPATHIC FOUNDATION,,,"1,500.00",,"1,200.00",,"2,000.00","2,000.00",,,"1,200.00",,"1,200.00","1,500.00","10,600.00"
Conventions,,,,,"1,200.00",,,,,,"1,200.00",,"1,200.00","1,500.00","5,100.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,"1,500.00"
Medical Ed,,,,,,,"2,000.00","2,000.00",,,,,,,"4,000.00"
OHIO PHARMACISTS ASSOCIATION,"2 ,225.00",,"2,225.00","1,225.00",,"1,000.00","1,325.00",850.00,,,,,3 50.00,"3,350.00","12,550.00"
Analgesic,,,,,,,500.00,,,,,,,,500.00
Conventions,,,,725.00,,,825.00,850.00,,,,,,"3,350.00","5,750.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,"1,500.00"
ManagedCare FF,725.00,,725.00,,,,,,,,,,,,"1,450.00"
Medical Ed,"1,500.00",,,500.00,,"1,000.00",,,,,,,3 50.00,,"3,350.00"
OHIO PHARMACISTS FOUNDATION,,,,,"24,000.00",,,,,,,"3,000.00","1,100.00",,"28,100.00"
Conventions,,,,,,,,,,,,,"1,100.00",,"1,100.00"
Medical Ed,,,,,"24,000.00",,,,,,,"3,000.00",,,"27,000.00"
OHIO SOCIETY OF HEALTH SYSTEM PHARMACISTS,775.00,,"1,000.00",,,,,,,,,,,,"1,775.00"
Lecture Program,775.00,,,,,,,,,,,,,,775.00
