Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,,,,,,,,,,,"5,000.00","5,000.00","12,500.00",,"22,500.00"
CALIFORNIA ASSOCIATION FOR NURSE PRACTITIONERS,,,"7,500.00",,"1,000.00",,"2,500.00",,,,,,,,,"11,000.00"
Conventions,,,,,"1,000.00",,,,,,,,,,,"1,000.00"
Medical Ed,,,"7,500.00",,,,"2,500.00",,,,,,,,,"10,000.00"
CALIFORNIA HOSPICE AND PALLIATIVE CARE ASSOCIATION,,300.00,550.00,,,,,,,,,,,,,850.00
Conventions,,,550.00,,,,,,,,,,,,,550.00
Lecture Program,,300.00,,,,,,,,,,,,,,300.00
CALIFORNIA HOSPICE FOUNDATION,"6 ,500.00",,"10,000.00","5,000.00","6,250.00",,,,,,,,,,,"27,750.00"
Lecture Program,,500.00,,,,,,,,,,,,,,500.00
Medical Ed,"6,000.00",,"10,000.00","5,000.00","6,250.00",,,,,,,,,,,"27,250.00"
CALIFORNIA MEDICAL ASSOCIATION,"10,000.00",,"20,000.00","40,000.00",,,"10,000.00",,,,,,,"2,500.00",,"82,500.00"
Analgesic,,,"20,000.00",,,,,,,,,,,,,"20,000.00"
Dom Oth Inc_Exp,,,,,,,"10,000.00",,,,,,,,,"10,000.00"
Health Policy,,,,,,,,,,,,,,"2,500.00",,"2,500.00"
Medical Ed,"10,000.00",,,"30,000.00",,,,,,,,,,,,"40,000.00"
Other,,,,"10,000.00",,,,,,,,,,,,"10,000.00"
CALIFORNIA NARCOTIC OFFICERS ASSOC,,,800.00,,"2,500.00","15,000.00",,"15,000.00","5,000.00",,"5,000.00",,,,,"43,300.00"
Corp.Security,,,,,,,,,,,"5,000.00",,,,,"5,000.00"
LELE,,,800.00,,"2,500.00","15,000.00",,"15,000.00","5,000.00",,,,,,,"38,300.00"
CALIFORNIA PHARMACISTS ASSOC EDUCATIONAL FOUNDATION,"7 ,900.00",,"8,748.00",,,,,,"5,000.00","21,525.00","5,000.00","5,000.00",,"4,500.00",,"57,673.00"
Analgesic,,,,,,,,,,,"5,000.00",,,,,"5,000.00"
Health Policy,,,,,,,,,"5,000.00","21,525.00",,"5,000.00",,"4,500.00",,"36,025.00"
Lecture Program,"4,500.00",,"4,848.00",,,,,,,,,,,,,"9,348.00"
ManagedCare FF,"1,400.00",,"3,900.00",,,,,,,,,,,,,"5,300.00"
Other,"2,000.00",,,,,,,,,,,,,,,"2,000.00"
CALIFORNIA SOCIETY OF ADDICTION MEDICINE,"5 ,000.00",,"5,000.00",,,,,,,,,,,,,"10,000.00"
Medical Ed,"5,000.00",,"5,000.00",,,,,,,,,,,,,"10,000.00"
CALIFORNIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,4,",500.00","6,000.00",,,,"4,700.00",,,,,,,,,"15,200.00"
Lecture Program,"2,500.00",,,,,,,,,,,,,,,"2,500.00"
ManagedCare FF,"2,000.00",,,,,,,,,,,,,,,"2,000.00"
Medical Ed,,,"6,000.00",,,,"4,700.00",,,,,,,,,"10,700.00"
CALIFORNIA SOCIETY OF PHYSICAL MEDICINE & REHABILITATION,,,"1,000.00","1,000.00",,,,,,,,,,"1,000.00",,"3,000.00"
Conventions,,,,,,,,,,,,,,"1,000.00",,"1,000.00"
Medical Ed,,,"1,000.00","1,000.00",,,,,,,,,,,,"2,000.00"
CALIFRONIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,,525.00,,,,,,,,,,,,,,525.00
Medical Liason,,525.00,,,,,,,,,,,,,,525.00
CANCER SUPPORT COMMUNITY,,,,,,,,,,,"5,000.00","15,000.00","20,000.00","10,000.00",,"50,000.00"
Public Affairs,,,,,,,,,,,"5,000.00","15,000.00","10,000.00",,,"30,000.00"
St. Gov Leg  Aff,,,,,,,,,,,,,"10,000.00","10,000.00",,"20,000.00"
CANCER SUPPORT COMMUNITY-CENTRAL INDIANA INC,,,,,,,,,"1,000.00",,"1,000.00","1,000.00",,,,"3,000.00"
St. Gov Leg  Aff,,,,,,,,,"1,000.00",,"1,000.00","1,000.00",,,,"3,000.00"
CASE MANAGEMENT SOC OF LONG ISLAND,,,,400.00,,,,,,,,,,,,400.00
Conventions,,,,400.00,,,,,,,,,,,,400.00
CASE MANAGEMENT SOCIETY OF AMERICA,"20,346.58",,"35,169.68","25,098.41","18,500.00","9,250.00","3,000.00","15,000.00",875.00,,"70,100.00",,"11,800.00","6,800.00",,"215,939.67"
Conventions,"2,399.00",,"8,100.00","1,000.00",,,,"12,000.00",875.00,,"5,850.00",,,"1,800.00",,"32,024.00"
Lecture Program,"1,000.00",,,,,,,,,,,,,,,"1,000.00"
ManagedCare FF,"3,365.00",,350.00,"3,000.00",,,,,,,,,"1,800.00",,,"8,515.00"
Medical Ed,"13,582.58",,"20,219.68","18,098.41","18,500.00","6,500.00",,,,,"64,250.00",,"10,000.00","5,000.00",,"156,150.67"
Other,,,"6,500.00",,,,,,,,,,,,,"6,500.00"
Professional Rels,,,,"3,000.00",,,,,,,,,,,,"3,000.00"
St. Gov Leg  Aff,,,,,,"2,750.00","3,000.00","3,000.00",,,,,,,,"8,750.00"
C-CHANGE,,,,,"83,000.00",,,,"100,000.00",,"50,000.00","50,000.00","75,000.00",,,"358,000.00"
Pur Pharma Fund,,,,,"83,000.00",,,,,,,,,,,"83,000.00"
St. Gov Leg  Aff,,,,,,,,,"100,000.00",,"50,000.00","50,000.00","75,000.00",,,"275,000.00"
CENTER FOR PRACTICAL BIOETHICS INC,"270,000.00",,"250,000.00","250,000.00","250,000.00","201,500.00","100,000.00","510,175.99","525,000.00","302,800.00","934,770.00","25,000.00","101,000.00","15,000.00","3,500.00","3,738,745.99"
Medical Ed,"20,000.00",,,,,,,,,,,,,,,"20,000.00"
Other,,,,,,,,,"500,000.00",,"500,000.00",,,,,"1,000,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,,"3,500.00","3,500.00"
Pur Pharma Fund,"250,000.00",,"250,000.00","250,000.00","250,000.00",,,"500,000.00",,"277,800.00","250,250.00",,"1,000.00",,,"2,029,050.00"
