Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
VERMONT SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,400.00,,,,,,,,,,,,,400.00
Conventions,,,400.00,,,,,,,,,,,,,400.00
VERMONT STATE NURSES  ASSOCIATION,"3 ,500.00",,,,,,,,,,,,,,,"3,500.00"
Lecture Program,"3,500.00",,,,,,,,,,,,,,,"3,500.00"
VIRGINIA ACADEMY OF FAMILY PHYSCIANS,820.00,,"5,950.00",,,,"2,000.00",,"1,500.00",,"2,000.00","2,000.00","2,000.00",,,"16,270.00"
Conventions,820.00,,950.00,,,,,,,,,,,,,"1,770.00"
Medical Ed,,,"5,000.00",,,,"2,000.00",,"1,500.00",,"2,000.00","2,000.00","2,000.00",,,"14,500.00"
VIRGINIA ACADEMY OF PHYSICIAN ASSISTANTS,,,,,,,,,"5,000.00",,,,"2,500.00",,,"7,500.00"
Medical Ed,,,,,,,,,"5,000.00",,,,"2,500.00",,,"7,500.00"
VIRGINIA ASSOCIATION OF CHIEFS OF POLICE,,,"3,500.00",,,,,,,,,,,,,"3,500.00"
LELE,,,"3,500.00",,,,,,,,,,,,,"3,500.00"
VIRGINIA GERIATRICS SOCIETY,,,"1,000.00","1,500.00",,,,,,,,,,,,"2,500.00"
Conventions,,,"1,000.00","1,500.00",,,,,,,,,,,,"2,500.00"
VIRGINIA INDUSTRIAL PLASTICS,,,,,,,"3,352.77",,,,,,,,,"3,352.77"
Pharm Tech,,,,,,,"2,454.04",,,,,,,,,"2,454.04"
Quality Assur,,,,,,,898.73,,,,,,,,,898.73
VIRGINIA PHARMACISTS ASSOCIATION,"2 ,125.00",,"1,503.87",,,"1,500.00",,,,,,,,,,"5,128.87"
Conventions,,,725.00,,,,,,,,,,,,,725.00
Lecture Program,"2,125.00",,,,,,,,,,,,,,,"2,125.00"
Market Strategies,,,778.87,,,,,,,,,,,,,778.87
Medical Ed,,,,,,"1,500.00",,,,,,,,,,"1,500.00"
VIRGINIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,"2 ,500.00",,"2,500.00",750.00,,"3,085.00","2,800.00",,,,,,,,,"11,635.00"
Conventions,,,,750.00,,,,,,,,,,,,750.00
Lecture Program,"2,500.00",,,,,,,,,,,,,,,"2,500.00"
Medical Ed,,,"2,500.00",,,550.00,"2,800.00",,,,,,,,,"5,850.00"
St. Gov Leg  Aff,,,,,,"2,535.00",,,,,,,,,,"2,535.00"
WASH STATE ACADEMY OF PHYS ASSIST,,,"3,975.00","1,825.00",550.00,,,,,,,,,,,"6,350.00"
Conventions,,,475.00,325.00,550.00,,,,,,,,,,,"1,350.00"
Lecture Program,,,"3,500.00",,,,,,,,,,,,,"3,500.00"
Medical Ed,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
WASHINGTON ACADEMY OF FAMILY PHYSICANS,500.00,,"1,500.00",,,,,,,,,,,,,"2,000.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Sales Force,500.00,,,,,,,,,,,,,,,500.00
WASHINGTON ACADEMY OF PAIN MGMT,,,,,,,995.00,995.00,,995.00,975.00,"7,500.00",,9 00.00,,"12,360.00"
Conventions,,,,,,,995.00,995.00,,995.00,975.00,,,9 00.00,,"4,860.00"
Medical Ed,,,,,,,,,,,,"7,500.00",,,,"7,500.00"
WASHINGTON CHAPTER OF THE ACP ASIM,850.00,,850.00,900.00,,,,,,,,,,,,"2,600.00"
Conventions,850.00,,850.00,900.00,,,,,,,,,,,,"2,600.00"
WASHINGTON LEGAL FOUNDATION,"5 ,000.00",,"10,000.00","10,000.00","20,000.00","50,000.00","50,000.00","75,000.00","75,000.00","75,000.00","75,000.00","75,000.00","75,000.00","50,000.00",,"645,000.00"
Pur Pharma Fund,"5,000.00",,"10,000.00","10,000.00","20,000.00",,,,,,,,,,,"45,000.00"
St. Gov Leg  Aff,,,,,,"50,000.00","50,000.00","75,000.00","75,000.00","75,000.00","75,000.00","75,000.00","75,000.00","50,000.00",,"600,000.00"
WASHINGTON STATE HOSPICE & PALLIATIVE CARE ORANIZATION,"2 ,000.00",,"3,500.00","4,500.00",,,,,,,,,,,,"10,000.00"
Lecture Program,"2,000.00",,"3,500.00",,,,,,,,,,,,,"5,500.00"
Medical Ed,,,,"2,500.00",,,,,,,,,,,,"2,500.00"
Other,,,,"2,000.00",,,,,,,,,,,,"2,000.00"
WASHINGTON STATE MEDICAL ASSOC,"8 ,750.00",,"1,250.00",,,,,,,,,,,,,"10,000.00"
Conventions,"1,250.00",,"1,250.00",,,,,,,,,,,,,"2,500.00"
Market Strategies,"7,500.00",,,,,,,,,,,,,,,"7,500.00"
WASHINGTON STATE PHARMACISTS ASSOC,"7 ,735.00",,"4,200.00","1,200.00",,,,,,,,,,,,"13,135.00"
Conventions,,,"1,200.00","1,200.00",,,,,,,,,,,,"2,400.00"
Lecture Program,"5,000.00",,"3,000.00",,,,,,,,,,,,,"8,000.00"
Medical Ed,"1,500.00",,,,,,,,,,,,,,,"1,500.00"
Medical Liason,35.00,,,,,,,,,,,,,,,35.00
Sales Force,"1,200.00",,,,,,,,,,,,,,,"1,200.00"
WEST CENTRAL FLORIDA HOSPICE & PALLIATIVE NURSES ASSN,,,500.00,,,,,,,,,,,,,500.00
Medical Ed,,,500.00,,,,,,,,,,,,,500.00
WEST CENTRAL MINNESOTA ONCOLOGY NURSING SOCIETY,,,500.00,,,,,,,,,,,,,500.00
Conventions,,,500.00,,,,,,,,,,,,,500.00
WEST CENTRAL OHIO CHAPTER OF  THE  ONCOLOGY NURSING SOCIETY,,,250.00,,,,,,,,,,,,,250.00
