Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
KENTUCKY ASSOC OF HOSPICE & PALLIATIVE CARE,"2 ,500.00",,"3,000.00","5,000.00",,420.00,,,,,,,,,,,"10,920.00"
Medical Ed,"2,500.00",,"3,000.00","5,000.00",,250.00,,,,,,,,,,,"10,750.00"
St. Gov Leg  Aff,,,,,,170.00,,,,,,,,,,,170.00
KENTUCKY BOARD OF PHARMACY,,,,,,205.00,200.00,200.00,400.00,300.00,200.00,100.00,2 00.00,,1 00.00,,"1,905.00"
General Counsel,,,,,,205.00,200.00,200.00,400.00,300.00,200.00,100.00,2 00.00,,1 00.00,,"1,905.00"
KENTUCKY MEDICAL ASSOCIATION,"1 ,200.00",,"1,300.00",733.50,,,,,,,,,,,,,"3,233.50"
Conventions,"1,200.00",,600.00,733.50,,,,,,,,,,,,,"2,533.50"
Medical Ed,,,700.00,,,,,,,,,,,,,,700.00
KENTUCKY NURSES ASSOCIATION,500.00,,,,,,,,,,,,,,,,500.00
Lecture Program,500.00,,,,,,,,,,,,,,,,500.00
KENTUCKY PHARMACISTS ASSOCIATION,,,650.00,"10,000.00",,,,,,,,,,,,,"10,650.00"
Conventions,,,650.00,,,,,,,,,,,,,,650.00
Pur Pharma Fund,,,,"10,000.00",,,,,,,,,,,,,"10,000.00"
LANCE ARMSTRONG FOUNDATION,,,,,,"25,000.00","25,000.00","25,000.00","100,000.00",,,,,,,,"175,000.00"
St. Gov Leg  Aff,,,,,,"25,000.00","25,000.00","25,000.00","100,000.00",,,,,,,,"175,000.00"
LANE COUNTY PAIN SOCIETY PAIN SOCIETY OF OREGON,"7 ,500.00",,"14,250.00","13,000.00","2,500.00",,,250.00,,"5,000.00","10,750.00",750.00,,,"1,250.00",,"55,250.00"
Conventions,,,250.00,,,,,250.00,,,750.00,750.00,,,"1,250.00",,"3,250.00"
Lecture Program,"1,500.00",,,,,,,,,,,,,,,,"1,500.00"
Medical Ed,,,"12,000.00","6,000.00","2,500.00",,,,,"5,000.00","10,000.00",,,,,,"35,500.00"
Pur Pharma Fund,,,,"7,000.00",,,,,,,,,,,,,"7,000.00"
Sales Force,"6,000.00",,,,,,,,,,,,,,,,"6,000.00"
St. Gov Leg  Aff,,,"2,000.00",,,,,,,,,,,,,,"2,000.00"
LAWRENCE SUNFLOWER ONCOLOGY NURSING SOCIETY,,,,,,,,,,,750.00,,,,,,750.00
Conventions,,,,,,,,,,,750.00,,,,,,750.00
LEUKEMIA & LYMPHOMA SOCIETY,"5 ,000.00",,300.00,750.00,"1,000.00",,,"1,000.00","6,000.00","6,000.00","6,000.00","33,000.00","1,000.00",,"1,000.00",,"61,050.00"
Conventions,,,200.00,,"1,000.00",,,,,,,,,,,,"1,200.00"
Fed Gov Affairs,,,,250.00,,,,,,,,,,,,,250.00
Medical Ed,,,,500.00,,,,,"2,000.00",,"5,000.00",,,,,,"7,500.00"
Pur Pharma Fund,"5,000.00",,100.00,,,,,,,,,,,,,,"5,100.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00","4,000.00","6,000.00","1,000.00","33,000.00","1,000.00",,"1,000.00",,"47,000.00"
LOTSA HELPING HANDS INC,,,,,,,,,,"20,000.00","20,000.00","15,000.00",,,,,"55,000.00"
Par Against,,,,,,,,,,"20,000.00","20,000.00",,,,,,"40,000.00"
Public Affairs,,,,,,,,,,,,"10,000.00",,,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,,,,,"5,000.00",,,,,"5,000.00"
LOUISIANA ACADEMY OF FAMILY,"2 ,000.00",,"1,000.00","3,000.00",,,,,,,,,"1,400.00",,,,"7,400.00"
Conventions,,,"1,000.00",,,,,,,,,,,,,,"1,000.00"
Medical Ed,,,,"3,000.00",,,,,,,,,"1,400.00",,,,"4,400.00"
Other,"2,000.00",,,,,,,,,,,,,,,,"2,000.00"
LOUISIANA ACADEMY OF PHYSICIAN ASSISTANTS,"2 ,500.00",,500.00,,,,,,,,,,,,,,"3,000.00"
Conventions,500.00,,500.00,,,,,,,,,,,,,,"1,000.00"
Medical Ed,"2,000.00",,,,,,,,,,,,,,,,"2,000.00"
LOUISIANA ASSOCIATION OF CHIEFS OF POLICE,,,500.00,,,,,,,,,,,,,,500.00
LELE,,,500.00,,,,,,,,,,,,,,500.00
LOUISIANA BOARD OF PHARMACY,,,,,,50.00,50.00,100.00,100.00,120.00,200.00,200.00,2 00.00,,2 00.00,,"1,220.00"
General Counsel,,,,,,50.00,50.00,100.00,100.00,120.00,200.00,200.00,2 00.00,,2 00.00,,"1,220.00"
LOUISIANA PAIN INITIATIVE,,,"1,500.00",,"5,000.00",,,,,,,,,,,,"6,500.00"
Lecture Programs,,,"1,500.00",,,,,,,,,,,,,,"1,500.00"
Medical Ed,,,,,"5,000.00",,,,,,,,,,,,"5,000.00"
LOUISIANA PHARMACIST ASSOC,650.00,,"2,837.50",,"2,175.00",,,,,,,,,,,,"5,662.50"
Conventions,,,337.50,,675.00,,,,,,,,,,,,"1,012.50"
Lecture Program,,,"2,500.00",,,,,,,,,,,,,,"2,500.00"
ManagedCare FF,650.00,,,,,,,,,,,,,,,,650.00
Medical Ed,,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
LOUISIANA SOCIETY OF HEALTH SYSTEM PHARMACISTS,725.00,,750.00,,"4,000.00",,,"3,000.00",,,,,,,,,"8,475.00"
Conventions,725.00,,750.00,,,,,,,,,,,,,,"1,475.00"
Medical Ed,,,,,"4,000.00",,,"3,000.00",,,,,,,,,"7,000.00"
LOUISIANA SOCIETY OF PAIN MANAGEMENT NURSES,,,"2,500.00",,,,,,,,,,,,,,"2,500.00"
Lecture Program,,,"2,500.00",,,,,,,,,,,,,,"2,500.00"
LUZERNE COUNTY PHARMACISTS ASSOCIATION INC,"1 ,200.00",,,,,,,,,,,,,,,,"1,200.00"
