Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
NORMAN MARY JANE MD WESTERN MEDICAL DIRECTORS ASSOC,,"4,000.00",,,,,,,,,,,"4,000.00"
Medical Ed,,"4,000.00",,,,,,,,,,,"4,000.00"
"NORTH CAROLINA ACADEMY OF FAMILY PHYSICIANS 47,775.00",,"52,520.00",900.00,,,,"4,000.00","8,000.00","10,275.00","14,000.00","9,075.00","12,600.00","159,145.00"
Conventions 775.00,,950.00,900.00,,,,,,"2,275.00",,"1,075.00","2,600.00","8,575.00"
"Medical Ed 30,000.00",,"51,000.00",,,,,"4,000.00","8,000.00","8,000.00","14,000.00","8,000.00","10,000.00","133,000.00"
"Other 17,000.00",,,,,,,,,,,,,"17,000.00"
Promotions RX,,570.00,,,,,,,,,,,570.00
NORTH CAROLINA ACADEMY OF PHYSICIAN ASSISTANTS,,"1,300.00",,,,"1,500.00",,,,"1,200.00",,,"4,000.00"
Conventions,,"1,300.00",,,,,,,,"1,200.00",,,"2,500.00"
Medical Ed,,,,,,"1,500.00",,,,,,,"1,500.00"
NORTH CAROLINA ASSOC OF PHARMACIST 750.00,,"4,200.00",,,,,"1,000.00",,,,,,"5,950.00"
Conventions 750.00,,,,,,,,,,,,,750.00
Lecture Program,,"1,700.00",,,,,,,,,,,"1,700.00"
Medical Ed,,,,,,,"1,000.00",,,,,,"1,000.00"
Other,,"2,500.00",,,,,,,,,,,"2,500.00"
NORTH CAROLINA ASSOCIATION OF CHIEFS OF POLICE,,,,,,,,,500.00,,,,500.00
LELE,,,,,,,,,500.00,,,,500.00
NORTH CAROLINA CHAPTER OF AMERICAN SOCIETY OF CONSULTA650.00,,,,,,,,,,,,,650.00
Lecture Program 650.00,,,,,,,,,,,,,650.00
NORTH CAROLINA NATIONAL ASSOC OF DIRECTORS OF NURSING,,,"2,000.00",,,,,,,,,,"2,000.00"
Lecture Programs,,,"2,000.00",,,,,,,,,,"2,000.00"
NORTH CAROLINA NURSES ASSOCIATION,,"4,500.00","2,000.00",,,,,,,,,,"6,500.00"
Lecture Program,,"4,500.00",,,,,,,,,,,"4,500.00"
Medical Ed,,,"2,000.00",,,,,,,,,,"2,000.00"
NORTH CAROLINA SHERIFFS ASSOC,,100.00,,,,,,,,,,,100.00
Executive Admin,,100.00,,,,,,,,,,,100.00
NORTH CENTRAL FLORIDA CHAPTER ONCOLOGY NURSING SOCIET 750.00,,"2,450.00",,,,,,,,,,,"3,200.00"
Conventions 250.00,,,,,,,,,,,,,250.00
Lecture Program 500.00,,"2,450.00",,,,,,,,,,,"2,950.00"
NORTH CENTRAL WEST VIRGINIA CHAPTER OF ONCOLOGY NURSING SOCIETY,,750.00,,,,,,,,,,,750.00
Lecture Program,,750.00,,,,,,,,,,,750.00
"NORTH DAKATA MEDICAL ASSOCIATION 6 ,591.00",,600.00,,,,,,,,,,,"7,191.00"
"Lecture Program 6,591.00",,,,,,,,,,,,,"6,591.00"
Lecture Programs,,600.00,,,,,,,,,,,600.00
NORTH DAKOTA NURSE PRACTITIONER ASSOCIATION,,,,,,,,500.00,500.00,500.00,,5 00.00,"2,000.00"
Conventions,,,,,,,,500.00,500.00,500.00,,5 00.00,"2,000.00"
NORTH DAKOTA STATE BOARD OF PHARM 150.00,,150.00,150.00,150.00,300.00,300.00,300.00,,500.00,200.00,,,"2,200.00"
General Counsel 150.00,,150.00,150.00,150.00,300.00,300.00,300.00,,500.00,200.00,,,"2,200.00"
NORTH DAKOTA STATE BOARD OF PHARMACY 250.00,,,,,,,,,,400.00,,,650.00
General Counsel,,,,,,,,,,400.00,,,400.00
Sales Force 250.00,,,,,,,,,,,,,250.00
"NORTHEAST FLORIDA ONCOLOGY NURSING SOCIETY 1 ,500.00",,,,,,,,,,,,,"1,500.00"
"Lecture Program 1,500.00",,,,,,,,,,,,,"1,500.00"
NORTHEAST FLORIDA SOCIETY OF HEALTH-SYSTEM PHARMACISTS,,,500.00,,,,,500.00,,,,,"1,000.00"
Conventions,,,500.00,,,,,500.00,,,,,"1,000.00"
"NORTHEAST LOUISIANA SOCIETY OF HEALTH SYSTEM PHARMACIS 1 ,850.00",,,,,,,,,,,,,"1,850.00"
"Lecture Program 1,850.00",,,,,,,,,,,,,"1,850.00"
NORTHEAST OHIO NURSE PRACTITIONERS,,500.00,,,,,,,,,,,500.00
Conventions,,500.00,,,,,,,,,,,500.00
"NORTHEASTERN ILLNOIS PHARMACISTS ASSOCIATION 1 ,000.00",,,,,,,,,,,,,"1,000.00"
"Medical Ed 1,000.00",,,,,,,,,,,,,"1,000.00"
NORTHEASTERN PENNSYLVANIA REHABILITATION NURSES 300.00,,,,,,,,,,,,,300.00
Sales Force 300.00,,,,,,,,,,,,,300.00
NORTHEASTERN WISCONSIN ONCOLOGY NURSING SOCIETY,,,250.00,,,,,,,,,,250.00
Conventions,,,250.00,,,,,,,,,,250.00
"NORTHERN MICHIGAN PHARMCISTS ASSOC 2 ,000.00",,,,,,,,,,,,,"2,000.00"
"Lecture Program 2,000.00",,,,,,,,,,,,,"2,000.00"
NORTHWEST FLORIDA CHAPTER ONCOLOGY NURSING SOCIETY,,500.00,,,,,,,,,,,500.00
Conventions,,500.00,,,,,,,,,,,500.00
