Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
HEMOTOLOGY/ONCOLOGY PHARMACY ASSOCIATION,,,,,,,,,,,,"5,000.00",,,"5,000.00"
Medical Ed,,,,,,,,,,,,"5,000.00",,,"5,000.00"
HOPE OF SOUTHWEST FLORIDA INC HOPE HOSPICE & PALLIATIVE CARE,,,,"6,182.06","5,513.74",,,,,,,,,,"11,695.80"
Other,,,,"6,182.06","5,513.74",,,,,,,,,,"11,695.80"
HOPE OF WISCONSIN,"3 ,000.00",,"1,000.00",175.00,,,,,,,,,,,"4,175.00"
Conventions,,,,175.00,,,,,,,,,,,175.00
Lecture Program,"3,000.00",,,,,,,,,,,,,,"3,000.00"
Medical Ed,,,"1,000.00",,,,,,,,,,,,"1,000.00"
HOSPICE & PALLIATIVE NURSES FOUNDATION,,,,,,,"1,000.00",,,,,,,,"1,000.00"
Medical Ed,,,,,,,"1,000.00",,,,,,,,"1,000.00"
HOSPICE AND PALLIATIVE CARE ASSOCIATION,600.00,,"3,000.00","3,300.00",,,,,,,,,,,"6,900.00"
Conventions,600.00,,,300.00,,,,,,,,,,,900.00
Medical Ed,,,"3,000.00","3,000.00",,,,,,,,,,,"6,000.00"
HOSPICE AND PALLIATIVE NURSE ASSOCIATION,"17,850.00",,"11,330.00","20,945.00",180.00,,,85.00,,,,,6 95.00,,"51,085.00"
Conventions,,,,,,,,,,,,,6 95.00,,695.00
Medical Ed,"7,850.00",,"11,260.00",,,,,,,,,,,,"19,110.00"
Mkt Intrnt Strt,,,,"12,655.00",,,,,,,,,,,"12,655.00"
Other,"10,000.00",,,"8,220.00",,,,,,,,,,,"18,220.00"
Public Affairs,,,70.00,,,,,,,,,,,,70.00
St. Gov Leg  Aff,,,,70.00,180.00,,,85.00,,,,,,,335.00
HOSPICE FOUNDATION OF AMERICA,,,,,"20,000.00",,,,,,,,,,"20,000.00"
Medical Ed,,,,,"20,000.00",,,,,,,,,,"20,000.00"
HOSPICE SERVICE OF LAKE COUNTY,"2 ,400.00",,,,,,,,,,,,,,"2,400.00"
Medical Ed,"2,400.00",,,,,,,,,,,,,,"2,400.00"
HOSPITAL PHARMACISTS OF WESTERN MA,,,"2,600.00",,,,,,,600.00,,,,,"3,200.00"
Conventions,,,,,,,,,,600.00,,,,,600.00
Lecture Program,,,"2,600.00",,,,,,,,,,,,"2,600.00"
IASP 2010 JPDL MONTREAL,,,,,,,,"64,988.33","126,634.34",,,,,,"191,622.67"
Conventions,,,,,,,,"64,988.33","125,060.38",,,,,,"190,048.71"
Discovery Admin,,,,,,,,,"1,573.96",,,,,,"1,573.96"
IDAHO ACADEMY OF FAMILY PHYSICIANS INC,440.00,,,,,,,,,,,,,,440.00
Lecture Program,440.00,,,,,,,,,,,,,,440.00
IDAHO MEDICAL ASSOCIATION,475.00,,,,,,,,,,,,,,475.00
ManagedCare FF,475.00,,,,,,,,,,,,,,475.00
IDAHO NURSES ASSOCIATION,,,,,,250.00,,,,,,,,,250.00
Conventions,,,,,,250.00,,,,,,,,,250.00
IDAHO SOCIETY FOR INTERVENTIONAL PAIN PHYSICIANS,,,300.00,,,,,,,,,,,,300.00
Conventions,,,300.00,,,,,,,,,,,,300.00
IDAHO SOCIETY OF ANESTHESIOLOGISTS,,,400.00,,,,,,,,,,,,400.00
Conventions,,,400.00,,,,,,,,,,,,400.00
ILLINOIS ACADEMY OF FAMILY,"3 ,000.00",,"10,000.00",,,,"1,000.00",,,"75,380.00","6,000.00","14,200.00",,,"109,580.00"
Lecture Program,"3,000.00",,,,,,,,,,,,,,"3,000.00"
Medical Ed,,,"10,000.00",,,,"1,000.00",,,"75,380.00","6,000.00","14,200.00",,,"106,580.00"
ILLINOIS COUNCIL OF HEALTH SYSTEM PHARMACISTS,"2 ,450.00",,,,,,,,,,,,,,"2,450.00"
Conventions,750.00,,,,,,,,,,,,,,750.00
Market Strategies,"1,700.00",,,,,,,,,,,,,,"1,700.00"
ILLINOIS DRUG ENFORCEMENT OFFICERS ASSOC,,,350.00,,,,,,,,,,,,350.00
LELE,,,350.00,,,,,,,,,,,,350.00
ILLINOIS HOSPICE & PALLATIVE CARE O,,,,"10,000.00",600.00,,,,,,,,,,"10,600.00"
Medical Ed,,,,,600.00,,,,,,,,,,600.00
Pur Pharma Fund,,,,"10,000.00",,,,,,,,,,,"10,000.00"
ILLINOIS NURSING HOME ADMINISTRATORS ASSN,,,575.00,,,,,,,,,,,,575.00
Conventions,,,575.00,,,,,,,,,,,,575.00
ILLINOIS PHARMACY CONVENTION C/O ILLINOIS PHARMACISTS ASSOC,,,900.00,,,,,,,,,,,,900.00
Conventions,,,900.00,,,,,,,,,,,,900.00
ILLINOIS SOC OF ANESTHESIOLOGISTS,800.00,,,,,,,,,,,,,,800.00
Conventions,800.00,,,,,,,,,,,,,,800.00
ILLINOIS SOCIETY OF ADDICTION MEDICINE,"4 ,000.00",,,,,,,,,,,,,,"4,000.00"
Lecture Program,"4,000.00",,,,,,,,,,,,,,"4,000.00"
