Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
"Lecture Program 3,850.00",,"2,725.00",,,,,,,,,,,,"6,575.00"
Medical Ed,,"2,525.00",,,,"1,000.00",,"3,760.00",,,,,,"7,285.00"
"ARKANSAS PHARMACISTS ASSOC 2 ,550.00",,"3,050.00",,"1,500.00",,,,,,,,"7,000.00",,"14,100.00"
Conventions,,550.00,,,,,,,,,,,,550.00
"Lecture Program 2,000.00",,,,,,,,,,,,,,"2,000.00"
Lecture Programs,,"2,500.00",,,,,,,,,,,,"2,500.00"
ManagedCare FF 550.00,,,,,,,,,,,,,,550.00
Medical Ed,,,,"1,500.00",,,,,,,,"7,000.00",,"8,500.00"
ARKANSAS STATE BOARD OF PHARMACY 600.00,,,600.00,,600.00,,600.00,,"1,050.00",,,,,"3,450.00"
General Counsel 600.00,,,600.00,,600.00,,600.00,,"1,050.00",,,,,"3,450.00"
ARKANSAS STATE MEDICAL BOARD,,,45.00,35.00,,,,,,,,,,80.00
General Counsel,,,45.00,35.00,,,,,,,,,,80.00
"ARTHRISTIS FOUNDATION 10,000.00",,,,,,,,,,,,,,"10,000.00"
"Medical Ed 10,000.00",,,,,,,,,,,,,,"10,000.00"
ARTHRITIS FOUNDATION 550.00,,600.00,,,,,,,,,,,,"1,150.00"
Conventions,,600.00,,,,,,,,,,,,600.00
Lecture Program 550.00,,,,,,,,,,,,,,550.00
ARTHRITIS FOUNDATION CAROLINAS CHAPTER,,,,,,,,500.00,"1,000.00",,,,,"1,500.00"
Medical Ed,,,,,,,,,"1,000.00",,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,,500.00,,,,,,500.00
ARTHRITIS FOUNDATION CENTRAL OHIO CHAPTER,,,,,,,,"1,000.00",,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00",,,,,,"1,000.00"
ARTHRITIS FOUNDATION EASTERN MO,,,,,,500.00,,"2,000.00",,,,,,"2,500.00"
St. Gov Leg  Aff,,,,,,500.00,,"2,000.00",,,,,,"2,500.00"
ARTHRITIS FOUNDATION FLORIDA CH,,,,,"1,000.00","1,000.00",,,"1,000.00",,"1,000.00",,,"4,000.00"
St. Gov Leg  Aff,,,,,"1,000.00","1,000.00",,,"1,000.00",,"1,000.00",,,"4,000.00"
"ARTHRITIS FOUNDATION INC 5 ,000.00",,"125,000.00",,,,,,,,,"25,000.00","25,000.00","25,000.00","205,000.00"
ManagedCare FF,,"125,000.00",,,,,,,,,,,,"125,000.00"
"Pur Pharma Fund 5,000.00",,,,,,,,,,,,,,"5,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"25,000.00","25,000.00","25,000.00","75,000.00"
"ARTHRITIS FOUNDATION MASSACHUSETTS CHAPTER INC 10,000.00",,,,,,,,,,,,,,"10,000.00"
"Pur Pharma Fund 10,000.00",,,,,,,,,,,,,,"10,000.00"
ARTHRITIS FOUNDATION NORTHEAST REGION INC,,,,,,,,,,,"15,000.00",,,"15,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"15,000.00",,,"15,000.00"
ARTHRITIS FOUNDATION NORTHERN & SOUTHERN NEW ENGLAND CHAPTER INC,,,,,,,"2,000.00","2,000.00",,,,,,"4,000.00"
St. Gov Leg  Aff,,,,,,,"2,000.00","2,000.00",,,,,,"4,000.00"
ARTHRITIS FOUNDATION NORTHERN CALIFORNIA CHAPTER,,,,,,,,"1,000.00",,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00",,,,,,"1,000.00"
ARTHRITIS FOUNDATION OK CHAPTER,,,,,"1,000.00",,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,"1,000.00",,,,,,,,,"1,000.00"
ARTHRITIS FOUNDATION PACIFIC NW CHAPTER,,,,,,,,"1,000.00",,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00",,,,,,"1,000.00"
ARTHRITIS FOUNDATION ROCKY MOUNTAIN CHAPTER,,,,,,,,,"1,000.00","1,000.00","1,000.00",,,"3,000.00"
St. Gov Leg  Aff,,,,,,,,,"1,000.00","1,000.00","1,000.00",,,"3,000.00"
ARTHRITIS FOUNDATION SOUTH CENTRAL REGION INC,,,,,,,,"1,000.00",,"1,000.00",,,,"2,000.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00",,"1,000.00",,,,"2,000.00"
ARTHRITIS FOUNDATION VA CHAPTER,,,,,,"1,000.00",,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,"1,000.00",,,,,,,,"1,000.00"
ASCO AMERICAN SOC OF CLINICAL ONCOLOGY 184.00,,,,,,,,,,,,,,184.00
Lic &s Dev 184.00,,,,,,,,,,,,,,184.00
ASCO CANCER FOUNDATION,,,,"100,000.00",,,,,"10,000.00",,,,"5,000.00","115,000.00"
Medical Ed,,,,"100,000.00",,,,,"10,000.00",,,,,"110,000.00"
Patient & Professional Relations,,,,,,,,,,,,,"5,000.00","5,000.00"
ASCO HEALTH CARE OF NE LTD DBA OMNICARE OF RHODE ISLAND,,,,,,,,400.00,,,,7 50.00,,"1,150.00"
Conventions,,,,,,,,400.00,,,,,,400.00
ManagedCare FF,,,,,,,,,,,,7 50.00,,750.00
ASSOC OF FORMER FEDERAL NACOTICS AGENTS,,,,,,,,,,,500.00,,,500.00
LELE,,,,,,,,,,,500.00,,,500.00
ASSOC OF REHAB NURSES CTRL AZ CH,,175.00,,,,,,,,,,,,175.00
