Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Market Strategies,,"12,353.05","3,225.00",,,,,,,,,,,,"15,578.05"
Medical Ed,,"68,867.30","1,000.00",,,,,"28,550.00","16,300.00","289,633.00","27,250.00","68,275.00","15,950.00",,"515,825.30"
Par Against,,"9,027.84","8,774.20",,,,,,,,,,,,"17,802.04"
Professional Rels,,,"4,000.00",,,,,,,,,,,,"4,000.00"
"Promotions RX 20,400.00",,,,,,,,,,,,,,,"20,400.00"
Sales Force,,250.00,,,,,,,,,,,,,250.00
St. Gov Leg  Aff,,,,,"2,000.00","5,400.00","5,400.00",,"13,990.00",,"20,500.00",,,,"47,290.00"
AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,,"128,630.00","63,850.00","2,900.00",,,,,,,"40,000.00",,"37,850.00",,"273,230.00"
Conventions,,"42,450.00","6,650.00","2,900.00",,,,,,,,,"22,850.00",,"74,850.00"
Medical Ed,,"86,180.00","57,200.00",,,,,,,,"40,000.00",,,,"183,380.00"
St. Gov Leg  Aff,,,,,,,,,,,,,"15,000.00",,"15,000.00"
"AMERICAN SOCIETY OF HEALTH SYSTEMS 70,609.80",,"42,096.00",836.00,,,,,,,,,,,,"113,541.80"
"Conventions 20,150.00",,,,,,,,,,,,,,,"20,150.00"
Drug Sfty&Pharm,,,209.00,,,,,,,,,,,,209.00
Library InfoServ 369.90,,398.00,418.00,,,,,,,,,,,,"1,185.90"
Medical Affairs 184.95,,199.00,,,,,,,,,,,,,383.95
"Medical Ed 49,720.00",,"41,300.00",,,,,,,,,,,,,"91,020.00"
Medical Servs 184.95,,199.00,209.00,,,,,,,,,,,,592.95
AMERICAN SOCIETY OF PAIN EDUCATORS,,,,,"1,750.00",,"2,500.00",,,,,,,,"4,250.00"
Medical Ed,,,,,750.00,,,,,,,,,,750.00
St. Gov Leg  Aff,,,,,"1,000.00",,"2,500.00",,,,,,,,"3,500.00"
"AMERICAN SOCIETY OF PAIN MANAGEMENT FL 22,013.62",,"13,794.05","13,661.65","8,001.97","18,000.00","28,408.00","43,500.00","39,000.00","73,000.00","66,700.00","16,350.00","81,200.00","53,700.00","7,500.00","484,829.29"
"Conventions 4,100.00",,"2,000.00",,,,"10,000.00","10,000.00","16,000.00","10,000.00","45,500.00",150.00,,,,"97,750.00"
Lecture Program 750.00,,,,,,,,,,,,,,,750.00
"Medical Ed 17,163.62",,"10,699.05","13,386.65","8,001.97","13,500.00","8,408.00","3,500.00","13,500.00","3,500.00","8,500.00","3,500.00","3,500.00","33,500.00",,"140,659.29"
Other,,,,,"3,500.00",,,,,,,,,,"3,500.00"
Patient & Professional Relations,,,,,,,,,,,,,"12,700.00","7,500.00","20,200.00"
Prof Relations,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Pur Pharma Fund,,,,,,,"25,000.00",,"50,000.00",,,,,,"75,000.00"
St. Gov Leg  Aff,,95.00,275.00,,"1,000.00","10,000.00","5,000.00","9,500.00","9,500.00","12,700.00","12,700.00","77,700.00","7,500.00",,"145,970.00"
AMERICAN SOCIETY OF PAIN MANAGEMENT NORTHERN CALIFORNIA CHAPTER,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Lecture Program,,"1,500.00",,,,,,,,,,,,,"1,500.00"
AMERICAN SOCIETY OF PAIN MANAGEMENT NURSES LONG ISLAND,,750.00,,,,,,,,,,,,,750.00
Lecture Programs,,750.00,,,,,,,,,,,,,750.00
AMERICAN SOCIETY OF PAIN MANAGEMENT NURSING GARDEN STATE CHAPTER,,,,,,,750.00,,,,,,,,750.00
Conventions,,,,,,,750.00,,,,,,,,750.00
AMERICAN SOCIETY OF PAIN MGMT NURSES CT CHAPTER,,"1,500.00",,,,"6,500.00",,,,,,,,,"8,000.00"
Lecture Programs,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Medical Ed,,,,,,"6,500.00",,,,,,,,,"6,500.00"
"AMERICAN SOCIETY OF PAIN MNGMT  NURSES LONG ISLAND CHA5 ,000.00",,"2,500.00",250.00,,,200.00,,200.00,300.00,300.00,,,,,"8,750.00"
Conventions,,,250.00,,,200.00,,200.00,300.00,300.00,,,,,"1,250.00"
"Lecture Program 3,000.00",,"1,000.00",,,,,,,,,,,,,"4,000.00"
"Medical Ed 2,000.00",,"1,500.00",,,,,,,,,,,,,"3,500.00"
"AMERICAN SOCIETY OF PAIN MNGMT NURSES ST LOUIS CHAPTER 1 ,000.00",,,,,,,,,,,"2,500.00",,"2,500.00",,"6,000.00"
"Medical Ed 1,000.00",,,,,,,,,,,"2,500.00",,"2,500.00",,"6,000.00"
AMERICAN SOCIETY OF PEDIATRIC HEMATOLOGY / ONCOLOGY,,,,,,,,,,"4,000.00","1,500.00","1,675.00",,,"7,175.00"
St. Gov Leg  Aff,,,,,,,,,,"4,000.00","1,500.00","1,675.00",,,"7,175.00"
"AMERICAN SOCIETY OF REGIONAL ANESTHESIA 42,959.00",,"24,795.00",,,,,,,,,,,,,"67,754.00"
Analgesic 195.00,,,,,,,,,,,,,,,195.00
Clinical Rsch 3,,195.00,,,,,,,,,,,,,195.00
"Conventions 3,600.00",,,,,,,,,,,,,,,"3,600.00"
"Medical Ed 39,164.00",,"24,600.00",,,,,,,,,,,,,"63,764.00"
AMERICAN SOCIETY OF REGIONAL ANESTHESIA & PAIN MEDICINE,,"35,850.00","11,950.00",,,,,,,,,,,,"47,800.00"
Conventions,,,"1,950.00",,,,,,,,,,,,"1,950.00"
Medical Ed,,"35,850.00","10,000.00",,,,,,,,,,,,"45,850.00"
AMERICAN SOCIETY ON AGING,,,,,,165.00,195.00,,,,205.00,,2 50.00,,815.00
St. Gov Leg  Aff,,,,,,165.00,195.00,,,,205.00,,2 50.00,,815.00
"AMERICAN THORACIC SOCIETY 62,760.08",,"100,100.00","14,508.75",,,,,,,,,,,,"177,368.83"
"Conventions 22,383.20",,"15,100.00",,,,,,,,,,,,,"37,483.20"
