Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Lecture Program,250,,,,,,,,,,,,,,250
AMERICAN CHRONIC PAIN ASSOCIATION,102000,150000,100000,100000,70000,50000,35000,67000,200000,90255,146500,65970,25000,,1201725
Promotions RX,50000,50000,50000,,,,,,,,,,,,150000
Pur Pharma Fund,52000,100000,50000,100000,70000,,,40000,100000,,,1000,,,513000
St. Gov Leg  Aff,,,,,,50000,35000,27000,100000,90255,146500,64970,25000,,538725
AMERICAN COLLEGE OF CHEST PHYSICIANS,,2400,5200,,,,,,,,,,,,7600
Conventions,,2400,5200,,,,,,,,,,,,7600
AMERICAN COLLEGE OF EMERGENCY PHYSICIANS,,2300,,,,,,,,,55000,40500,45000,,142800
Conventions,,2300,,,,,,,,,,,,,2300
Medical Ed,,,,,,,,,,,,,20000,,20000
Patient & Professional Relations,,,,,,,,,,,,,25000,,25000
Public Affairs,,,,,,,,,,,,10500,,,10500
St. Gov Leg  Aff,,,,,,,,,,,55000,30000,,,85000
AMERICAN COLLEGE OF NURSE PRACTICIONER CLINICAL SYMPOSIUM,,54000,,,,,,,,,,,,,54000
Medical Ed,,54000,,,,,,,,,,,,,54000
AMERICAN COLLEGE OF NURSE PRACTITIONERS,22537,27030,83400,15000,,850,5000,,,144500,20000,,,,318317
Conventions,1500,1600,3400,,,,,,,44500,,,,,51000
Medical Ed,21037,10000,65000,,,,,,,100000,,,,,196037
Prof Relations,,15000,,,,,,,,,,,,,15000
Professional Rels,,,15000,15000,,,,,,,,,,,30000
Promotions RX,,,,,,,,,,,20000,,,,20000
Public Affairs,,430,,,,,,,,,,,,,430
St. Gov Leg  Aff,,,,,,850,5000,,,,,,,,5850
AMERICAN COLLEGE OF OSTEOPATHIC,44000,220175,143500,206740,30000,43000,1000,,,,46750,,,,735165
Conventions,9000,13100,13500,,,,,,,,,,,,35600
Medical Ed,35000,194575,60000,210340,30000,43000,1000,,,,25000,,,,598915
Other,,,,-3600,,,,,,,,,,,-3600
Prof Relations,,7500,70000,,,,,,,,,,,,77500
Promotions RX,,,,,,,,,,,21750,,,,21750
St. Gov Leg  Aff,,5000,,,,,,,,,,,,,5000
AMERICAN COLLEGE OF OSTEOPATHIC FAMILY PHYSICIANS,500,,,,,,,,,,,,,,500
Lecture Program,500,,,,,,,,,,,,,,500
AMERICAN COLLEGE OF OSTEOPATHIC FAMILY PHYSICIANS CA 1,0,,6000,5000,,1000,,5000,5000,,,1350,,,24350
Conventions,1000,,1000,,,,,,,,,,,,2000
Medical Ed,,,5000,5000,,1000,,5000,5000,,,,,,21000
Promotions RX,,,,,,,,,,,,1350,,,1350
AMERICAN COLLEGE OF OSTEOPATHIC INTERNISTS INC,,,,,,1000,,10000,,20000,20000,10000,30000,,91000
Conventions,,,,,,1000,,,,,,,,,1000
Medical Ed,,,,,,,,10000,,,,10000,10000,,30000
St. Gov Leg  Aff,,,,,,,,,,20000,20000,,20000,,60000
AMERICAN COLLEGE OF PHYSICANS SOUTHERN CALIFORNIA REGION,2,3000,,,,,,,,,,,,,3000
Medical Ed,,3000,,,,,,,,,,,,,3000
AMERICAN COLLEGE OF PHYSICIANS,,30000,43159,41400,30800,25000,25000,,,50600,34650,25000,27950,25000,358559
Conventions,,,17700,41400,5800,,,,,50600,12600,,2950,,131050
Drug Sfty&Pharm,,,459,,,,,,,,,,,,459
New Prod-Budget,,,,,,,,,,,3050,,,,3050
Other,,30000,,,,,,,,,,,,,30000
Patient & Professional Relations,,,,,,,,,,,,,,25000,25000
Professional Rels,,,25000,,,,,,,,,,,,25000
Promotions RX,,,,,,,,,,,19000,,,,19000
St. Gov Leg  Aff,,,,,25000,25000,25000,,,,,25000,25000,,125000
AMERICAN COLLEGE OF PHYSICIANS,750,2050,750,,,,700,,,,,,,,4250
Conventions,750,2050,750,,,,700,,,,,,,,4250
AMERICAN COLLEGE OF PHYSICIANS ALASKA CHAPTER ACP,,,,,,,,,,,,,1000,1000,2000
Conventions,,,,,,,,,,,,,1000,1000,2000
AMERICAN COLLEGE OF PHYSICIANS AMERICAN SOC OF INTERNAL MEDICINE,,1000,,,,,,,,,,,1000,,2000
Conventions,,1000,,,,,,,,,,,1000,,2000
AMERICAN COLLEGE OF PHYSICIANS MINNESOTA CHAPTER,,,2000,,,,,,,,,,,,2000
Conventions,,,2000,,,,,,,,,,,,2000
