Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
"Lecture Program 1,200.00",,,,,,,,,,,,,,,"1,200.00"
"M A G N U M  INC 15,000.00",,"15,000.00",,,,,,,,,,,,,"30,000.00"
"Pur Pharma Fund 15,000.00",,"15,000.00",,,,,,,,,,,,,"30,000.00"
MAINE ACADEMY OF FAMILY PHYSICIANS 545.00,,,,,,,,,,,,,,,545.00
Lecture Program 545.00,,,,,,,,,,,,,,,545.00
Maine Chiefs of Police Association,,350.00,350.00,,,,,,,,"5,000.00","1,500.00","2,500.00",,"9,700.00"
Analgesic,,350.00,,,,,,,,,,,,,350.00
Corp.Security,,,,,,,,,,,"5,000.00","1,500.00","2,500.00",,"9,000.00"
LELE,,,350.00,,,,,,,,,,,,350.00
"MAINE MEDICAL ASSOCIATION 5 ,850.00",,"1,400.00",,,,,,,,,,,,,"7,250.00"
Conventions 850.00,,"1,400.00",,,,,,,,,,,,,"2,250.00"
"Medical Ed 5,000.00",,,,,,,,,,,,,,,"5,000.00"
MAINE NURSE PRACTITIONER ASSOCIATION 500.00,,,,,,,,,,,,"1,000.00","1,000.00",,"2,500.00"
Conventions,,,,,,,,,,,,"1,000.00","1,000.00",,"2,000.00"
Lecture Program 500.00,,,,,,,,,,,,,,,500.00
"MAINE OSTEOPATHIC ASSOCIATION 1 ,100.00",,"5,200.00","1,500.00",600.00,,,,,,,,9 20.00,"2,760.00",,"12,080.00"
Conventions,,700.00,"1,500.00",600.00,,,,,,,,9 20.00,"2,760.00",,"6,480.00"
"Lecture Program 1,100.00",,,,,,,,,,,,,,,"1,100.00"
Medical Ed,,"3,000.00",,,,,,,,,,,,,"3,000.00"
Pur Pharma Fund,,"1,500.00",,,,,,,,,,,,,"1,500.00"
"MAINE STATE NURSES ASSOC 1 ,450.00",,400.00,,,,,,,,,,,,,"1,850.00"
Conventions 450.00,,,,,,,,,,,,,,,450.00
"Lecture Program 1,000.00",,400.00,,,,,,,,,,,,,"1,400.00"
MARYLAND ACADEMY OF FAMILY PHYSICIANS,,,"1,000.00","3,700.00",,,"2,500.00","3,500.00","3,500.00","3,500.00","2,500.00","2,500.00",,,"22,700.00"
Conventions,,,"1,000.00","1,200.00",,,,,,,,,,,"2,200.00"
Medical Ed,,,,"2,500.00",,,"2,500.00","3,500.00","3,500.00","3,500.00","2,500.00","2,500.00",,,"20,500.00"
"MARYLAND ACADEMY OF PHYSICIAN ASSISTANTS INC 1 ,247.84",,,"1,000.00",,,500.00,,,,,,,,,"2,747.84"
Conventions,,,"1,000.00",,,500.00,,,,,,,,,"1,500.00"
"Lecture Program 1,247.84",,,,,,,,,,,,,,,"1,247.84"
"MARYLAND BOARD OF PHARMACY 1 ,000.00",,"1,000.00","1,000.00","1,000.00",500.00,"1,650.00","2,000.00",,"3,500.00",,,"1,750.00",,,"13,400.00"
"General Counsel 1,000.00",,"1,000.00","1,000.00","1,000.00",500.00,"1,650.00","2,000.00",,"3,500.00",,,"1,750.00",,,"13,400.00"
MARYLAND PAIN INITIATIVE,,,,,,,"15,000.00",,,,,,,,"15,000.00"
St. Gov Leg  Aff,,,,,,,"15,000.00",,,,,,,,"15,000.00"
MARYLAND PHARMACISTS ASSOC 250.00,,,,"2,250.00",,,,,"1,500.00",,,,,,"4,000.00"
Market Strategies 250.00,,,,,,,,,,,,,,,250.00
Medical Ed,,,,"2,250.00",,,,,"1,500.00",,,,,,"3,750.00"
"MARYLAND SOCIETY OF HEALTH SYSTEM PHARMACISTS 2 ,500.00",,150.00,,"3,000.00",,,,,,,,,,,"5,650.00"
Conventions,,150.00,,,,,,,,,,,,,150.00
"Lecture Program 2,500.00",,,,,,,,,,,,,,,"2,500.00"
Medical Ed,,,,"3,000.00",,,,,,,,,,,"3,000.00"
MARYLAND STATE SOCIETY OF PM&R 500.00,,,,,,,,,,,,,,,500.00
Sales Force 500.00,,,,,,,,,,,,,,,500.00
"MASS CHAPTER OF NADONA/LTC 1 ,800.00",,,,,,,,,,,,,,,"1,800.00"
"Lecture Program 1,800.00",,,,,,,,,,,,,,,"1,800.00"
MASSACHUSETTS ACADEMY OF FAMILY PHYSICIANS 500.00,,500.00,,500.00,,,,,,,,,,,"1,500.00"
Conventions,,500.00,,,,,,,,,,,,,500.00
General Counsel,,,,500.00,,,,,,,,,,,500.00
Lecture Program 500.00,,,,,,,,,,,,,,,500.00
MASSACHUSETTS ASSOCIATION OF PHYSICIAN ASSISTANTS 900.00,,,,,,,,,,,,,,,900.00
Conventions 400.00,,,,,,,,,,,,,,,400.00
Lecture Program 500.00,,,,,,,,,,,,,,,500.00
MASSACHUSETTS ASSOCIATION OF PHYSICIANS ASSISTANTS,,"1,550.00",,,,,,,,,,,,,"1,550.00"
Lecture Program,,"1,550.00",,,,,,,,,,,,,"1,550.00"
MASSACHUSETTS CHIEFS OF POLICE ASSOCIATION,,750.00,,,"3,000.00","3,000.00",,,,,,,,,"6,750.00"
Analgesic,,750.00,,,,,,,,,,,,,750.00
LELE,,,,,"3,000.00","3,000.00",,,,,,,,,"6,000.00"
MASSACHUSETTS MEDICAL SOCIETY DBA NEW ENGLAND JOURNAL OF MEDICINE,,"37,593.60",,,,,"3,000.00","3,468.00","5,800.00","6,050.00","6,300.00","6,600.00","7,100.00","7,600.00","83,511.60"
Library InfoServ,,,,,,,"3,000.00","3,468.00","5,800.00","6,050.00","6,300.00","6,600.00","7,100.00",,"38,318.00"
Library Services,,,,,,,,,,,,,,"7,600.00","7,600.00"
