Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
ALASKA ACADEMY OF PHYSICIAN,,,,,,,"5,000.00",,,,,,,,"5,000.00"
Medical Ed,,,,,,,"5,000.00",,,,,,,,"5,000.00"
ALASKA NURSE PRACTITIONER ASSOC ,"1,000.00",,"1,500.00",,,,,,,,,,,,"2,500.00"
Conventions,,,500,,,,,,,,,,,,500
Lecture Program ,"1,000.00",,,,,,,,,,,,,,"1,000.00"
Medical Ed,,,"1,000.00",,,,,,,,,,,,"1,000.00"
ALASKA NURSE PRACTITIONER ASSOCIATI,,,,,,750,750,750,,,,,,,"2,250.00"
Conventions,,,,,,750,750,750,,,,,,,"2,250.00"
"ALASKA OSTEOPATHIC MEDICAL ASSOC 7 ,000.00","7,000.00",,,,,,"2,000.00","2,000.00",,,800,,,,"11,800.00"
Conventions,,,,,,,,,,,800,,,,800
"Medical Ed 7,000.00","7,000.00",,,,,,"2,000.00","2,000.00",,,,,,,"11,000.00"
ALASKA PHARMACISTS ASSOC,,"1,500.00",,"4,250.00",,,,,,,,,,8 00.00,"6,550.00"
Conventions,,,,750,,,,,,,,,,8 00.00,"1,550.00"
Lecture Program,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Medical Ed,,,,"3,500.00",,,,,,,,,,,"3,500.00"
ALBUQUERQUE CHAPTER OF ONCOLOGY NURSING SOCIETY 200.00,200,,,,,,,,,,,,,,200
Conventions 200.00,200,,,,,,,,,,,,,,200
ALLIANCE FOR AGING RESEARCH,,"1,000.00","1,000.00",,500,,,"11,000.00",,,,,,,"13,500.00"
Fed Gov Affairs,,"1,000.00","1,000.00",,500,,,,,,,,,,"2,500.00"
Public Affairs,,,,,,,,"10,000.00",,,,,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00",,,,,,,"1,000.00"
ALLIANCE FOR PATIENT ACCESS,,,,,,,"10,000.00",,"15,000.00",,"15,000.00","25,000.00","25,000.00","25,000.00","115,000.00"
Patient & Professional Relations,,,,,,,,,,,,,,"25,000.00","25,000.00"
St. Gov Leg  Aff,,,,,,,"10,000.00",,"15,000.00",,"15,000.00","25,000.00","25,000.00",,"90,000.00"
AM SOCIETY OF PAIN MGMT NURSES WISCONSIN CHAPTER,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Lecture Programs,,"1,500.00",,,,,,,,,,,,,"1,500.00"
AMERICAN ACADEMY OF FAM PHYSICIANS ALASKA CHAPTER,,,900,"1,350.00",,,,,,875,,8 75.00,8 75.00,,"4,875.00"
Conventions,,,900,"1,350.00",,,,,,875,,8 75.00,8 75.00,,"4,875.00"
AMERICAN ACADEMY OF FAMILY PHYS NJ DBA NJ ACADEMY OF FAMILY PHYSICIANS,,"1,500.00","3,437.50",,"1,250.00",,"7,500.00","5,000.00","2,500.00",,"6,100.00",,,,"27,287.50"
Conventions,,,937.5,,"1,250.00",,,,,,,,,,"2,187.50"
Lecture Program,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Medical Ed,,,"2,500.00",,,,"7,500.00","5,000.00","2,500.00",,"5,000.00",,,,"22,500.00"
Public Affairs,,,,,,,,,,,"1,100.00",,,,"1,100.00"
"AMERICAN ACADEMY OF FAMILY PHYSICIANS 239,549.49","239,549.49","231,920.00","32,860.00","50,000.00","103,000.00","53,500.00","489,000.00","471,000.00","96,500.00","353,600.00","640,500.00","300,000.00","113,000.00","25,000.00","3,199,429.49"
"Conventions 19,125.00","19,125.00","48,650.00","19,445.00",,"27,000.00","13,500.00","28,000.00","71,000.00","51,500.00","133,000.00","127,500.00",,,,"538,720.00"
"Lecture Program 1,300.00","1,300.00",,,,,,,,,,,,,,"1,300.00"
Medical Ed,"15,000.00","13,140.00","5,000.00",,"36,000.00",,"411,000.00","400,000.00","5,000.00","150,000.00","448,000.00","250,000.00","13,000.00",,"1,746,140.00"
