Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Medical Ed,,"19,448.00","10,000.00","85,000.00","10,000.00",,"10,000.00","20,000.00","75,000.00","75,000.00","50,000.00","80,000.00","40,000.00",,"474,448.00"
Professional Rels,,,"160,000.00","150,000.00",,,,,,,,,,,"310,000.00"
St. Gov Leg  Aff,,,,,"17,500.00","10,000.00","10,000.00",,,,,,,,"37,500.00"
AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,"81,200.00","93,003.84","57,500.00",,"4,800.00",,"15,000.00","61,500.00","78,764.00","117,650.00","158,550.00","16,900.00","70,300.00",,"755,167.84"
Conventions,"23,700.00","17,200.00",,,"4,800.00",,"5,000.00","32,500.00",,"3,000.00","42,800.00",,"55,300.00",,"184,300.00"
Medical Ed,"17,500.00","65,803.84","17,500.00",,,,"10,000.00","29,000.00","58,764.00","79,650.00","75,500.00","16,900.00","15,000.00",,"385,617.84"
Other,"40,000.00","10,000.00","40,000.00",,,,,,,,,,,,"90,000.00"
Promotions RX,,,,,,,,,,,"40,250.00",,,,"40,250.00"
St. Gov Leg  Aff,,,,,,,,,"20,000.00","35,000.00",,,,,"55,000.00"
AMERICAN ASSOC OF NURSE ASSESSMENT COORDINATION,,,,,,,,,,,"30,708.00","10,000.00","6,000.00",,"46,708.00"
Medical Ed,,,,,,,,,,,"8,500.00","10,000.00",,,"18,500.00"
St. Gov Leg  Aff,,,,,,,,,,,"22,208.00",,"6,000.00",,"28,208.00"
AMERICAN ASSOCIATION OF MANAGED CARE NURSES,,"3,500.00",,,,,,,,,,,,,"3,500.00"
Medical Ed,,"2,000.00",,,,,,,,,,,,,"2,000.00"
Prof Relations,,"1,500.00",,,,,,,,,,,,,"1,500.00"
AMERICAN BOARD OF PAIN MEDICINE,,175.00,,,,,,,"47,066.00",,,,,,"47,241.00"
Analgesic,,175.00,,,,,,,"47,066.00",,,,,,"47,241.00"
AMERICAN BRAIN TUMOR ASSOC,,,,,,,,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",,"6,000.00"
St. Gov Leg  Aff,,,,,,,,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",,"6,000.00"
AMERICAN CANCER SOC CANCER NTWK INC,,,,,,"90,000.00",,,"1,500.00",,,"26,000.00","25,000.00","25,000.00","167,500.00"
Patient & Professional Relations,,,,,,,,,,,,,,"25,000.00","25,000.00"
Pur Pharma Fund,,,,,,"90,000.00",,,,,,,,,"90,000.00"
St. Gov Leg  Aff,,,,,,,,,"1,500.00",,,"26,000.00","25,000.00",,"52,500.00"
AMERICAN CANCER SOCIETY,"22,000.00","19,150.00","53,560.00","63,660.00","25,020.00","16,950.00","14,620.00","48,000.00","39,500.00","46,000.00","42,000.00","46,250.00","19,750.00",,"456,460.00"
Admin Servs,,,,,500.00,,,,,,,,,,500.00
Analgesic,,,,120.00,,,,,,,,,,,120.00
Conventions,500.00,"1,350.00",,,,,,,,,500.00,7 50.00,,,"3,100.00"
Dom Oth Inc_Exp,,,,,,"2,200.00",,,,,,,,,"2,200.00"
Executive Admin,250.00,,,,,,,,,,"5,000.00","5,000.00",,,"10,250.00"
Lecture Program,"4,500.00","3,000.00",,,,,,,,,,,,,"7,500.00"
Market Strategies,,850.00,,,,,,,,,,,,,850.00
Medical Ed,"1,500.00",,,"2,500.00","2,500.00","5,000.00",,,,"4,000.00",,,,,"15,500.00"
Other,"10,000.00",,,,,,,,,,,,,,"10,000.00"
Pur Pharma Fund,"5,250.00","13,950.00","53,500.00","11,000.00","21,000.00","8,500.00","13,620.00","48,000.00","37,500.00","40,000.00","35,000.00","39,500.00","17,500.00",,"344,320.00"
St. Gov Leg  Aff,,,60.00,"50,040.00","1,020.00","1,250.00","1,000.00",,"2,000.00","2,000.00","1,500.00","1,000.00","2,250.00",,"62,120.00"
AMERICAN CANCER SOCIETY AM ALLIANCE OF CANCER PAIN INIT,300.00,300.00,"283,600.00",,"1,000.00","1,000.00","1,000.00","2,000.00","1,000.00","1,000.00","1,000.00",,,,"292,200.00"
Conventions,300.00,300.00,,,,,,,,,,,,,600.00
Pur Pharma Fund,,,"283,600.00",,,,,,,,,,,,"283,600.00"
St. Gov Leg  Aff,,,,,"1,000.00","1,000.00","1,000.00","2,000.00","1,000.00","1,000.00","1,000.00",,,,"8,000.00"
AMERICAN CANCER SOCIETY ARMSTRONG UNIT,"2 ,500.00","2,500.00","50,000.00",,,,,,,"1,000.00",,,,,"56,000.00"
Medical Ed,"2,500.00",,,,,,,,,,,,,,"2,500.00"
Pur Pharma Fund,,"2,500.00","50,000.00",,,,,,,,,,,,"52,500.00"
St. Gov Leg  Aff,,,,,,,,,,"1,000.00",,,,,"1,000.00"
AMERICAN CANCER SOCIETY EASTERN DIVISION INC,,,,"2,500.00",,,"5,000.00",,,,,,,,"7,500.00"
Medical Ed,,,,"2,500.00",,,,,,,,,,,"2,500.00"
St. Gov Leg  Aff,,,,,,,"5,000.00",,,,,,,,"5,000.00"
AMERICAN CANCER SOCIETY FL,,"1,200.00",,,,,,,,,,,,,"1,200.00"
Conventions,,"1,200.00",,,,,,,,,,,,,"1,200.00"
AMERICAN CANCER SOCIETY GREAT LAKE DIVISION INC,,,,,,"1,000.00",,,,,,,,,"1,000.00"
St. Gov Leg  Aff,,,,,,"1,000.00",,,,,,,,,"1,000.00"
AMERICAN CANCER SOCIETY GREAT WEST DIVN,,,,"2,500.00",,"1,000.00","7,000.00","10,000.00",,"12,000.00",,,,,"32,500.00"
Medical Ed,,,,,,"1,000.00","5,000.00","10,000.00",,"10,000.00",,,,,"26,000.00"
Pur Pharma Fund,,,,"2,500.00",,,,,,,,,,,"2,500.00"
St. Gov Leg  Aff,,,,,,,"2,000.00",,,"2,000.00",,,,,"4,000.00"
AMERICAN CANCER SOCIETY MIDWEST DIVISION INC,,900.00,,,,,,,,,,,,,900.00
Lecture Programs,,900.00,,,,,,,,,,,,,900.00
AMERICAN CANCER SOCIETY NORTHWEST DIVISION,"10,000.00",,,,,,,,,,,,,,"10,000.00"
