Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Clin Risk Assess,,220.00,,,,,,,,,,,,,220.00
Clinical Rsch 3,,440.00,348.00,,,,75.00,,,,,,,,863.00
Conventions,,,,,,,"2,500.00",,,,,,,,"2,500.00"
IRD Admin 45.00,,60.00,75.00,,,,,,,,,,,,180.00
"Medical Ed 10,000.00",,"2,500.00","2,500.00","5,000.00","2,500.00","5,000.00","5,000.00",,,,,,,,"32,500.00"
Prof Relations 45.00,,,,,,,,,,,,,,,45.00
EHLERS DANLOS NATIONAL FOUNDATION,,,,,,"5,250.00",,,,"2,000.00",,,,,"7,250.00"
St. Gov Leg  Aff,,,,,,"5,250.00",,,,"2,000.00",,,,,"7,250.00"
EHLERS DANLOS SYNDROME NETWORK CARES INC,,,,,,,,,"10,000.00",,,,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,,"10,000.00",,,,,,"10,000.00"
FBI NATIONAL ACADEMY ASSOCIATES 30.00,,"21,330.00","2,229.00","3,430.00","10,646.00",,"9,402.00","19,608.00","10,000.00","6,934.00",,"2,186.00",,,"85,795.00"
Analgesic 30.00,,"1,330.00",,,,,,,,,,,,,"1,360.00"
LELE,,"20,000.00","2,229.00","3,430.00","10,646.00",,"9,402.00","19,608.00","10,000.00","6,934.00",,"2,186.00",,,"84,435.00"
FBI NATIONAL ACADEMY ASSOCIATES NEW JERSEY CHAPTER,,,,,,,,,,,500.00,,,,500.00
LELE,,,,,,,,,,,500.00,,,,500.00
FBI NATIONAL ACADEMY ASSOCIATES WESTERN PENNSYLVANIA,,,,,,,,,,,300.00,3 00.00,,,600.00
LELE,,,,,,,,,,,300.00,3 00.00,,,600.00
"FBI-LAW ENFORCEMENT EXECUTIVE DEVELOPMENT ASSOCIATION3 ,700.00",,"25,600.00",,"25,766.33","25,647.70","26,750.00","25,000.00","25,000.00","27,633.29","37,077.58","31,500.69","67,029.67","7,574.30","25,000.00","353,279.56"
"Analgesic 3,700.00",,600.00,,,,,,,,,,,,,"4,300.00"
Corp.Security,,"25,000.00",,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","29,931.90","31,500.69","61,029.67","7,574.30","25,000.00","330,036.56"
LELE,,,,766.33,647.70,"1,750.00",,,"2,633.29","7,145.68",,"6,000.00",,,"18,943.00"
FEDERAL BUREAU OF INVESTIGATIONS NATIONAL ACADEMY 290.00,,,,,,,,,,,,,,,290.00
Analgesic 290.00,,,,,,,,,,,,,,,290.00
FEDERATION OF STATE MEDICAL BOARDS RESEARCH & EDUCATION FOUNDATI INC,,"60,000.00","199,895.00","339,000.00","50,000.00","100,000.00",,,,,,,,,"748,895.00"
Analgesic,,,"199,895.00","339,000.00",,"100,000.00",,,,,,,,,"638,895.00"
Medical Ed,,"60,000.00",,,"50,000.00",,,,,,,,,,"110,000.00"
"FLORIDA  ACADEMY OF PHYSICIAN ASSISTANTS 3 ,000.00",,"3,000.00",695.00,,,,,"5,000.00","5,000.00",,,,"6,500.00",,"23,195.00"
Conventions,,,695.00,,,,,,,,,,"1,500.00",,"2,195.00"
"Lecture Program 3,000.00",,,,,,,,,,,,,,,"3,000.00"
Medical Ed,,"3,000.00",,,,,,"5,000.00","5,000.00",,,,"5,000.00",,"18,000.00"
FLORIDA  SOCIETY OF ANESTHESIOLOGISTS INC,,,,"1,200.00","1,400.00",,,,,,,,,,"2,600.00"
Conventions,,,,"1,200.00","1,400.00",,,,,,,,,,"2,600.00"
FLORIDA ACADEMY OF FAMILY PHYS,,"11,000.00",,"10,000.00",,,,,,,,,,,"21,000.00"
Conventions,,900.00,,,,,,,,,,,,,900.00
Medical Ed,,,,"10,000.00",,,,,,,,,,,"10,000.00"
Prof Relations,,"10,100.00",,,,,,,,,,,,,"10,100.00"
FLORIDA ACADEMY OF PAIN MEDICINE 950.00,,"1,000.00",,"3,000.00",,,,,,,,,"1,500.00",,"6,450.00"
Conventions 950.00,,"1,000.00",,,,,,,,,,,"1,500.00",,"3,450.00"
Medical Ed,,,,"3,000.00",,,,,,,,,,,"3,000.00"
FLORIDA ACADEMY OF PHYSICIAN ASSISTANTS INC,,,,,,,,,,,"13,380.00","5,000.00",,,"18,380.00"
Medical Ed,,,,,,,,,,,"13,380.00","5,000.00",,,"18,380.00"
FLORIDA ASSOCIATION DIRECTORS OF NURSING ADMINISTRATION LTC,,,750.00,,,,,"5,000.00","10,000.00","10,000.00","10,000.00",,,,"35,750.00"
Conventions,,,750.00,,,,,,,,,,,,750.00
Medical Ed,,,,,,,,"5,000.00","10,000.00","10,000.00","10,000.00",,,,"35,000.00"
FLORIDA DEPARTMENT OF LAW ENFORCEMENT,,"8,749.43",,,,,,,,,,,,,"8,749.43"
Other,,"8,749.43",,,,,,,,,,,,,"8,749.43"
FLORIDA GERIATRICS SOCIETY,,750.00,,,,,,,,,,,,,750.00
Conventions,,750.00,,,,,,,,,,,,,750.00
"FLORIDA MEDICAL ASSOCIATION INC 1 ,070.00",,"7,500.00","15,000.00","5,000.00",,,"5,000.00",,,,,"5,000.00",,,"38,570.00"
"Conventions 1,070.00",,,,,,,,,,,,,,,"1,070.00"
Medical Ed,,,,"5,000.00",,,,,,,,,,,"5,000.00"
Professional Rels,,,"15,000.00",,,,,,,,,,,,"15,000.00"
Pur Pharma Fund,,"7,500.00",,,,,,,,,,,,,"7,500.00"
St. Gov Leg  Aff,,,,,,,"5,000.00",,,,,"5,000.00",,,"10,000.00"
FLORIDA MEDICAL DIRECTORS ASSOC 900.00,,"3,650.00",,,,,,"2,500.00",,,"7,500.00",,,,"14,550.00"
Conventions,,900.00,,,,,,,,,,,,,900.00
Lecture Programs,,"2,750.00",,,,,,,,,,,,,"2,750.00"
ManagedCare FF 900.00,,,,,,,,,,,,,,,900.00
Medical Ed,,,,,,,,"2,500.00",,,"7,500.00",,,,"10,000.00"
