Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Pur Pharma Fund,,,,,,,,,"15,000.00",,,,,,"15,000.00"
MINNESOTA SOCIETY OF ANESTHESIOLOGISTS,,500.00,,,,,,,,,,,,,500.00
Conventions,,250.00,,,,,,,,,,,,,250.00
Lecture Program,,250.00,,,,,,,,,,,,,250.00
MISSISSIPPI ACADEMY  OF FAMILY PHYSCIANS,"1 ,000.00",,"1,250.00","1,350.00",,400.00,,,,,,,"1,300.00","1,400.00","6,700.00"
Conventions,"1,000.00",,"1,250.00","1,350.00",,400.00,,,,,,,"1,300.00","1,400.00","6,700.00"
MISSISSIPPI GULF COAST CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,250.00,,,,,,,,,,,,250.00
Conventions,,,250.00,,,,,,,,,,,,250.00
MISSISSIPPI MENTORING NETWORK INC,1,",500.00",,,,,,,,,,,,,"1,500.00"
Pur Pharma Fund,"1,500.00",,,,,,,,,,,,,,"1,500.00"
MISSISSIPPI NURSES ASSOCIATION,5,",000.00",,,,,,"1,000.00","1,000.00","1,000.00","1,000.00",650.00,9 00.00,,"10,550.00"
Conventions,,,,,,,,,,,,650.00,9 00.00,,"1,550.00"
Lecture Program,"5,000.00",,,,,,,,,,,,,,"5,000.00"
Medical Ed,,,,,,,,"1,000.00","1,000.00","1,000.00","1,000.00",,,,"4,000.00"
MISSISSIPPI OSTEOPATHIC MED ASSOC,,,800.00,800.00,,500.00,,"2,000.00",,,,,"1,350.00","1,350.00","6,800.00"
Conventions,,,800.00,800.00,,,,,,,,,"1,350.00","1,350.00","4,300.00"
Medical Ed,,,,,,500.00,,"2,000.00",,,,,,,"2,500.00"
MISSISSIPPI PAIN SOCIETY,,500.00,"2,500.00",,,500.00,,,,,,,,,"3,500.00"
ManagedCare FF,,500.00,,,,,,,,,,,,,500.00
Medical Ed,,,"2,500.00",,,500.00,,,,,,,,,"3,000.00"
MISSISSIPPI PHARMACIST ASSOCIATION,1,",010.00","2,700.00","1,060.00",,,,,,,700.00,,8 99.00,9 49.00,"7,318.00"
Conventions,,,700.00,700.00,,,,,,,700.00,,8 99.00,9 49.00,"3,948.00"
Lecture Program,,,"2,000.00",,,,,,,,,,,,"2,000.00"
ManagedCare FF,,650.00,,,,,,,,,,,,,650.00
Market Strategies,,360.00,,360.00,,,,,,,,,,,720.00
MISSISSIPPI SOCIETY OF HEALTH SYSTEM PHARMACIST,,,,,,,,,"2,500.00",,,,,,"2,500.00"
Medical Ed,,,,,,,,,"2,500.00",,,,,,"2,500.00"
MISSISSIPPI STATE BOARD OF PHARMACY,,,,,,,,,,600.00,850.00,50.00,"1,100.00",1 00.00,"2,700.00"
General Counsel,,,,,,,,,,600.00,850.00,50.00,"1,100.00",1 00.00,"2,700.00"
MISSOURI ACADEMY OF FAMILY PHYSICIANS,,,,,,"1,000.00",,"2,500.00",,,,,,,"3,500.00"
Medical Ed,,,,,,"1,000.00",,"2,500.00",,,,,,,"3,500.00"
MISSOURI ACADEMY OF PHYSICIAN ASSISTANTS,,,,,,,,,,500.00,,,,,500.00
Conventions,,,,,,,,,,500.00,,,,,500.00
MISSOURI CHAPTER OF THE AMERICAN COLLEGE OF PHYSICIANS,,900.00,900.00,,,,,,,,"1,000.00",,,,"2,800.00"
Conventions,,900.00,900.00,,,,,,,,"1,000.00",,,,"2,800.00"
MISSOURI HEALTH CARE ASSOCIATION,,500.00,700.00,,,,,,,,,,,,"1,200.00"
Conventions,,,700.00,,,,,,,,,,,,700.00
Lecture Program,,500.00,,,,,,,,,,,,,500.00
MISSOURI PHARMACY ASSOCIATION,,675.00,,,,,,,,,,,,,675.00
ManagedCare FF,,675.00,,,,,,,,,,,,,675.00
MISSOURI SOCIETY OF THE AMERICAN COLLEGE OF OSTEOPATHIC,"2 ,000.00",,700.00,500.00,,"3,000.00","3,000.00","3,550.00","3,000.00",,,,,,"15,750.00"
Conventions,,,700.00,500.00,,,,550.00,,,,,,,"1,750.00"
Lecture Program,"2,000.00",,,,,,,,,,,,,,"2,000.00"
Medical Ed,,,,,,"3,000.00","3,000.00","3,000.00","3,000.00",,,,,,"12,000.00"
MISSOURI STATE MEDICAL ASSOCIATION,1,",000.00","2,250.00","1,000.00",,,,,,,,,,,"4,250.00"
Conventions,"1,000.00",,"1,000.00","1,000.00",,,,,,,,,,,"3,000.00"
Medical Ed,,,"1,250.00",,,,,,,,,,,,"1,250.00"
MONATANA NURSES ASSOCIATION,1,",630.00",,,,,,,,,,,,,"1,630.00"
Lecture Program,"1,630.00",,,,,,,,,,,,,,"1,630.00"
MONROE COUNTY OSTEOPATHIC MEDICAL ASSOC,,,"2,000.00",,"5,000.00",,,,,,,,,,"7,000.00"
