Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Conventions,,,250.00,,,,,,,,,,,,250.00
WEST KENTUCKY ONCOLOGY NURSING SOCIETY,,,"1,700.00",,,,,,,,,,,,"1,700.00"
Lecture Programs,,,"1,700.00",,,,,,,,,,,,"1,700.00"
WEST MICHIGAN CHRONIC FATIGUE,,,,,,,,,,,,"8,500.00","10,000.00",,"18,500.00"
St. Gov Leg  Aff,,,,,,,,,,,,"8,500.00","10,000.00",,"18,500.00"
WEST VIRGINIA ACADEMY OF FAMILY PHYSICIANS,,,"3,295.00",895.00,"2,500.00",,,,,,,"3,500.00","3,500.00","1,000.00","14,690.00"
Conventions,,,795.00,895.00,,,,,,,,,,"1,000.00","2,690.00"
Lecture Program,,,"2,500.00",,,,,,,,,,,,"2,500.00"
ManagedCare FF,,,,,"1,500.00",,,,,,,,,,"1,500.00"
Medical Ed,,,,,,,,,,,,"3,500.00","3,500.00",,"7,000.00"
St. Gov Leg  Aff,,,,,"1,000.00",,,,,,,,,,"1,000.00"
WEST VIRGINIA ASSOC OF PHYSICANS ASSISTANTS,,,"2,500.00",500.00,,,,,,,,,,,"3,000.00"
Conventions,,,,500.00,,,,,,,,,,,500.00
Lecture Program,,,"2,500.00",,,,,,,,,,,,"2,500.00"
WEST VIRGINIA ASSOCIATION OF DIRECTORS OF NURSING,,300.00,,,,,,,,,,,,,300.00
Conventions,,300.00,,,,,,,,,,,,,300.00
WEST VIRGINIA BOARD OF PHARMACY,,,,"1,000.00",,,,,,800.00,"1,500.00","2,400.00","2,400.00",,"8,100.00"
Analgesic,,,,"1,000.00",,,,,,,,,,,"1,000.00"
General Counsel,,,,,,,,,,800.00,"1,500.00","2,400.00","2,400.00",,"7,100.00"
WEST VIRGINIA PHARMACISTS ASSOC,"2 ,000.00",,750.00,,,,,,,,,,,,"2,750.00"
Conventions,,,750.00,,,,,,,,,,,,750.00
Lecture Program,"2,000.00",,,,,,,,,,,,,,"2,000.00"
WEST VIRGINIA SOCIETY OF HEALTH SYSTEM PHARMACISTS,"2 ,750.00",,,,,500.00,,,,,,,,,"3,250.00"
Conventions,,,,,,500.00,,,,,,,,,500.00
Lecture Program,"2,750.00",,,,,,,,,,,,,,"2,750.00"
WEST VIRGINIA STATE HEALTH DEPT WEST VIRGINIA BOARD OF MEDICINE,,,,97.75,,,,,,,,,,,97.75
General Counsel,,,,97.75,,,,,,,,,,,97.75
WEST VIRGINIA STATE MEDICAL ASSOCIATION,"1 ,600.00",,"3,750.00",,,,,,,,"1,250.00",,,,"6,600.00"
Conventions,,,,,,,,,,,"1,250.00",,,,"1,250.00"
ManagedCare FF,"1,600.00",,,,,,,,,,,,,,"1,600.00"
Market Strategies,,,"3,750.00",,,,,,,,,,,,"3,750.00"
WESTERN MASSACHUSETTS CHAPTER OF THE ONCOLOGY NURSIN,,250.00,,,,,,,,,,,,,250.00
Lecture Program,,250.00,,,,,,,,,,,,,250.00
WESTERN MICHIGAN SOCIETY OF HEALTH SYSTEM PHARMACISTS,,,"2,000.00",,,,,,,,,,,,"2,000.00"
Lecture Program,,,"2,000.00",,,,,,,,,,,,"2,000.00"
WESTERN NEW YORK ONCOLOGY NURSING SOCIETY,,,250.00,,,,,,,,,,,,250.00
Conventions,,,250.00,,,,,,,,,,,,250.00
WESTERN NEW YORK PHYSICIAN ASSISTANT ASSOC,,,,,,,,300.00,325.00,,,,,,625.00
Conventions,,,,,,,,300.00,325.00,,,,,,625.00
WESTERN PAIN SOCIETY,,,,,,"2,500.00","15,000.00","22,500.00","15,000.00","15,000.00","15,000.00","15,000.00",,,"100,000.00"
Medical Ed,,,,,,,"15,000.00","15,000.00","15,000.00","15,000.00","15,000.00","15,000.00",,,"90,000.00"
St. Gov Leg  Aff,,,,,,"2,500.00",,"7,500.00",,,,,,,"10,000.00"
WISCONSIN ACADEMY OF FAMILY PHYSICIANS,"5 ,000.00",,"1,500.00",,,,,,,,,,,,"6,500.00"
Lecture Program,"5,000.00",,"1,500.00",,,,,,,,,,,,"6,500.00"
WISCONSIN ACADEMY OF PHYSICIAN ASSISTANTS,,400.00,"1,425.00",,,,,,,,,"1,500.00",7 50.00,7 50.00,"4,825.00"
Conventions,,,"1,425.00",,,,,,,,,"1,500.00",7 50.00,7 50.00,"4,425.00"
Sales Force,,400.00,,,,,,,,,,,,,400.00
WISCONSIN ASSOCIATION OF MEDICAL DIRECTORS,,300.00,350.00,,,,,,,,,5 00.00,,,"1,150.00"
Conventions,,,,,,,,,,,,5 00.00,,,500.00
Lecture Program,,300.00,,,,,,,,,,,,,300.00
ManagedCare FF,,,350.00,,,,,,,,,,,,350.00
WISCONSIN ASSOCIATION OF NURSE ANESTHETISTS,,300.00,300.00,,,,,,,,,,,,600.00
Conventions,,,300.00,,,,,,,,,,,,300.00
Lecture Program,,300.00,,,,,,,,,,,,,300.00
WISCONSIN NURSES ASSOCIATION,,,400.00,,,,,,,,,4 50.00,4 00.00,,"1,250.00"
Conventions,,,400.00,,,,,,,,,4 50.00,4 00.00,,"1,250.00"
WISCONSIN SOCIETY OF ANESTHESIOLOGIST,,250.00,,,,,,,,,,,,,250.00
Medical Ed,,250.00,,,,,,,,,,,,,250.00
WISCONSIN SOCIETY OF PHYSICAL MEDICINE AND REHABILITATIO,,400.00,,,,,,,,300.00,,,,,700.00
