Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
St. Gov Leg  Aff,,,,,,"201,500.00","100,000.00","10,175.99","25,000.00","25,000.00","184,520.00","25,000.00","100,000.00","15,000.00","686,195.99"
CENTRAL ARIZONA CHAPTER CMSA,400.00,,,,,,,,,,,,,,400.00
ManagedCare FF,400.00,,,,,,,,,,,,,,400.00
"CENTRAL COAST COUNTIES PHARMACIST ASSOCIATION 1 ,500.00",,,,,,,,,,,,,,,"1,500.00"
"Lecture Program 1,500.00",,,,,,,,,,,,,,,"1,500.00"
CENTRAL IOWA ONCOLOGY NURSING SOC,,,"1,500.00",,,,,,,,,,,,"1,500.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,"1,500.00"
CENTRAL MIDWEST CHAPTER AMERICAN SOCIETY FOR PAIN MGT NURSI,,,"2,250.00",,,,,,,,,500.00,,,"2,750.00"
Conventions,,,,,,,,,,,,500.00,,,500.00
Lecture Programs,,,"2,250.00",,,,,,,,,,,,"2,250.00"
CENTRAL MINNESOTA SOCIETY OF HOSPITAL PHARMACISTS 1,",000.00",,"1,000.00",,,,,,,"2,500.00",,,,,"4,500.00"
Conventions,,,"1,000.00",,,,,,,,,,,,"1,000.00"
"ManagedCare FF 1,000.00",,,,,,,,,,,,,,,"1,000.00"
Medical Ed,,,,,,,,,,"2,500.00",,,,,"2,500.00"
CENTRAL OHIO ACADEMY OF FAMILY PHYSICIANS 1,",000.00",,500.00,,,,,,300.00,,,,,,"1,800.00"
Conventions,,,500.00,,,,,,300.00,,,,,,800.00
"Lecture Program 1,000.00",,,,,,,,,,,,,,,"1,000.00"
CENTRAL PA ONCOLOGY NURSING SOCIETY CANCER CARE ASSOCI,750.00,,"1,250.00",,,,,,,,,,,,"2,000.00"
Conventions,,,250.00,,,,,,,,,,,,250.00
Lecture Program,750.00,,"1,000.00",,,,,,,,,,,,"1,750.00"
CHICAGO CHAPTER OF THE ONCOLOGY NURSING SOCIETY,,,,,"1,300.00",,,,,,,,,,"1,300.00"
Conventions,,,,,300.00,,,,,,,,,,300.00
Medical Ed,,,,,"1,000.00",,,,,,,,,,"1,000.00"
"CHICAGO WESTERN SUBURBS CHPTR ONCOLOGY NURSING SOCIET1 ,500.00",,,,,,,,,,,,,,,"1,500.00"
"Medical Ed 1,500.00",,,,,,,,,,,,,,,"1,500.00"
CHILD NEUROLOGY EDUCATION & RESEARCH FOUNDATION,,,,,,,,,,,"10,000.00",,,,"10,000.00"
St. Gov Leg  Aff,,,,,,,,,,,"10,000.00",,,,"10,000.00"
CINCINNATI TRI STATE CHAPTER ONS,,,500.00,,,,,,,,,,,,500.00
Conventions,,,500.00,,,,,,,,,,,,500.00
"CLEVELAND CHAPTER ONCOLOGY NURSING SOCIETY 2 ,500.00",,,,,,,,,,,,,,,"2,500.00"
"Lecture Program 2,500.00",,,,,,,,,,,,,,,"2,500.00"
"COLE BARRY E MD 37,272.60",,,"17,669.14","4,034.17",,,,,,,,,,,"58,975.91"
"Lecture Program 37,272.60",,,"6,121.37",,,,,,,,,,,,"43,393.97"
Lecture Programs,,,"11,547.77",,,,,,,,,,,,"11,547.77"
Medical Ed,,,,"1,034.17",,,,,,,,,,,"1,034.17"
New Prod-Budget,,,,"3,000.00",,,,,,,,,,,"3,000.00"
COLLEGE OF OSTEOPATHIC MEDICINE OF OKLAHOMA STATE UNIV ALUMNI ASSN,,,"1,000.00",,,,,,,,,,,,"1,000.00"
Medical Ed,,,"1,000.00",,,,,,,,,,,,"1,000.00"
"COLORADO ACADEMY OF FAMILY PHYSICIANS 2 ,000.00",,,850.00,,,,,,,"5,000.00",,,,,"7,850.00"
Conventions,,,850.00,,,,,,,,,,,,850.00
"Lecture Program 2,000.00",,,,,,,,,,,,,,,"2,000.00"
Medical Ed,,,,,,,,,,"5,000.00",,,,,"5,000.00"
COLORADO ASSOC OF CHIEFS OF POLICE,,,,400.00,,,,,,,,,,,400.00
LELE,,,,400.00,,,,,,,,,,,400.00
COLORADO BUREAU OF INVESTIGATION,,,,,,79.00,,,39.50,,,,39.50,,158.00
General Counsel,,,,,,79.00,,,39.50,,,,39.50,,158.00
COLORADO MEDICAL DIRECTORS ASSOC,650.00,,,,,,,,,,,,,,650.00
Lecture Program,650.00,,,,,,,,,,,,,,650.00
COLORADO PRESCRIPTION DRUG ABUSE TASK FORCE,4.99,,"10,100.00",,,,,,,,,,,,"10,104.99"
Creative Servs,4.99,,,,,,,,,,,,,,4.99
Medical Ed,,,"10,100.00",,,,,,,,,,,,"10,100.00"
"COLORADO SOCIETY OF OSTEOPATHIC MEDICINE 3 ,500.00",,,,"1,200.00",,,"5,000.00",,,,,,,,"9,700.00"
Conventions,,,,"1,200.00",,,,,,,,,,,"1,200.00"
Medical Ed,,,,,,,"5,000.00",,,,,,,,"5,000.00"
"Other 3,500.00",,,,,,,,,,,,,,,"3,500.00"
COLUMBIA COUNTY BOARD OF COMMISS COLUMBIA COUNTY SHERIFF OFFICE,,,,"10,000.00",,,,,,,,,,,"10,000.00"
Corp.Security,,,,"10,000.00",,,,,,,,,,,"10,000.00"
COLUMBIA COUNTY SHERIFFS DEPT SHERIFFS OFFICE,,,,"1,000.00",,,,,,,,,,,"1,000.00"
Corp.Security,,,,"1,000.00",,,,,,,,,,,"1,000.00"
