Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
IMPERIAL POLK  FL  CHAPTER ONCOLOGY NURSING SOCIETY,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Lecture Program,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
INDIAN AMERICAN MEDICAL ASSN,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
Lecture Programs,,,"1,500.00",,,,,,,,,,,,,"1,500.00"
INDIAN MEDICAL ASSOCIATION OF NEW ENGLAND,,,,,,,,"1,000.00",,,,,,,,"1,000.00"
Conventions,,,,,,,,"1,000.00",,,,,,,,"1,000.00"
INDIAN MEDICAL ASSOCIATION OF SOUTHERN CALIFORNIA,,,,,,,,,,,,"5,000.00",,,,"5,000.00"
Medical Ed,,,,,,,,,,,,"5,000.00",,,,"5,000.00"
INDIANA ACADEMY OF FAMILY PHYSICIANS,,,"1,200.00","1,200.00",,,,,,,,,,,,"2,400.00"
Conventions,,,"1,200.00","1,200.00",,,,,,,,,,,,"2,400.00"
INDIANA ACADEMY OF PHYSICIAN ASSIS,,350.00,,,,,,,,,,750.00,7 50.00,,,"1,850.00"
Conventions,,350.00,,,,,,,,,,750.00,7 50.00,,,"1,850.00"
INDIANA ASSOC OF OSTEOPATHIC PHYSICIANS & SURGEONS INC,"3 ,850.00",,550.00,"3,000.00",900.00,550.00,550.00,"3,050.00",,"2,500.00",,700.00,"1,450.00",,"1,400.00","18,500.00"
Conventions,,,550.00,,900.00,,550.00,550.00,,,,700.00,"1,450.00",,"1,400.00","6,100.00"
Lecture Program,"3,000.00",,,,,,,,,,,,,,,"3,000.00"
ManagedCare FF,,850.00,,,,,,,,,,,,,,850.00
Medical Ed,,,,"3,000.00",,550.00,,"2,500.00",,"2,500.00",,,,,,"8,550.00"
INDIANA ASSOCIATION OF CHIEFS OF POLICE,,,"1,350.00",,,,,,,,,,,,,"1,350.00"
Analgesic,,,675.00,,,,,,,,,,,,,675.00
LELE,,,675.00,,,,,,,,,,,,,675.00
INDIANA SHERIFFS ASSN INC,,,400.00,,,,,,,,,,,,,400.00
LELE,,,400.00,,,,,,,,,,,,,400.00
INDIANA SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
Medical Ed,,,,"1,500.00",,,,,,,,,,,,"1,500.00"
INDIANA STATE MEDICAL ASSN,6,",489.72",,,,,,,,,,,"1,200.00",,,"7,689.72"
Conventions,,,,,,,,,,,,,"1,200.00",,,"1,200.00"
Lecture Program,"3,500.00",,,,,,,,,,,,,,,"3,500.00"
Market Strategies,"2,989.72",,,,,,,,,,,,,,,"2,989.72"
INLAND NORTHWEST ACADEMY OF FAMILY PHYSICIANS,,250.00,800.00,,,,,,,,,,"1,250.00",,,"2,300.00"
Conventions,,,800.00,,,,,,,,,,"1,250.00",,,"2,050.00"
Sales Force,,250.00,,,,,,,,,,,,,,250.00
INTERNATIONAL ASSOC FOR HOSPICE & PALLIATIVE CARE,,,"20,000.00","20,000.00","30,000.00","10,000.00","20,000.00","25,000.00","26,500.00",,,,,,,"151,500.00"
Pur Pharma Fund,,,"20,000.00","20,000.00","30,000.00",,,,,,,,,,,"70,000.00"
St. Gov Leg  Aff,,,,,,"10,000.00","20,000.00","25,000.00","26,500.00",,,,,,,"81,500.00"
INTERNATIONAL ASSOCIATION FOR THE STUDY OF PAIN,,525.00,"20,175.00",350.00,,,"1,000.00","34,480.61",,,,,,,,"56,530.61"
Analgesic,,,175.00,175.00,,,,"4,257.07",,,,,,,,"4,607.07"
Clin Data OP Tec,,175.00,,,,,,,,,,,,,,175.00
Clin Pln CMgmt,,175.00,,,,,,,,,,,,,,175.00
Clinical Rsch 3,,175.00,,175.00,,,,,,,,,,,,350.00
Conventions,,,,,,,,"29,223.54",,,,,,,,"29,223.54"
S&P Adj,,,"20,000.00",,,,,,,,,,,,,"20,000.00"
St. Gov Leg  Aff,,,,,,,"1,000.00","1,000.00",,,,,,,,"2,000.00"
INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,"4 ,920.00",,"12,100.00",937.50,,"10,557.00",,"21,930.00","45,135.00",,,"5,000.00",,,"5,000.00","105,579.50"
Analgesic,"2,320.00",,"10,000.00",,,,,,,,,,,,,"12,320.00"
Corp.Security,,,"2,000.00",,,,,,,,,,,,"5,000.00","7,000.00"
Direct Mfg O_H,,100.00,,,,,,,,,,,,,,100.00
LELE,,,,937.50,,"10,557.00",,"21,930.00","45,135.00",,,"5,000.00",,,,"83,559.50"
Medical Ed,"2,500.00",,,,,,,,,,,,,,,"2,500.00"
Security Rhodes,,,100.00,,,,,,,,,,,,,100.00
INTERNATIONAL NARCOTIC ENFORCE OFFICERS ASSOC INC,,625.00,"1,200.00",,,,,,,,,"1,200.00",,,,"3,025.00"
General Counsel,,,,,,,,,,,,"1,200.00",,,,"1,200.00"
Pharmaceutics,,,"1,200.00",,,,,,,,,,,,,"1,200.00"
Sales Admin,,625.00,,,,,,,,,,,,,,625.00
INTERNATIONAL SOCIETY FOR PHARMACOEPIDEMIOLOGY,,,,,,,,,,,"3,500.00","3,750.00","3,750.00",,,"11,000.00"
Analgesic,,,,,,,,,,,"3,500.00",,,,,"3,500.00"
Medical Ed,,,,,,,,,,,,"3,750.00","3,750.00",,,"7,500.00"
INTERNATIONAL SOCIETY OF PSYCHIATRIC MENTAL HEALTH NURS,"7 ,500.00",,,,,,,,,,,,,,,"7,500.00"
Medical Ed,"7,500.00",,,,,,,,,,,,,,,"7,500.00"
INTERSTITIAL CYSTITIS ASSOCIATION OF AMERICA,"5 ,000.00",,"5,000.00","5,000.00",,,,,"10,000.00","52,500.00",,"35,000.00",,,"10,000.00","122,500.00"
