Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
Clinical Rsch 3,,,,,,,,,,,"25,000.00",,,,"25,000.00"
"Conventions 9,000.00",,"27,000.00","39,600.00",,"12,900.00","28,500.00","30,000.00","66,500.00","21,000.00","57,500.00","30,000.00","10,000.00","5,000.00","15,000.00","352,000.00"
HECON 150.00,,,,,,,,,,,,,,,150.00
Market Strategies 400.00,,,,,,,,,,,,,,,400.00
Marketing,,,"5,000.00","42,000.00",,,,,,,,,,,"47,000.00"
"Medical Ed 65,000.00",,,"90,000.00","14,000.00","2,000.00","2,000.00","2,000.00","6,515.00","40,000.00","33,465.00","15,000.00","23,480.00","25,000.00",,"318,460.00"
"Medical Servs 1,611.45",,,,,,,,,,,,,,,"1,611.45"
Mkt Intrnt Strt,,"44,520.00",,,,,,,,,,,,,"44,520.00"
Neurarm 190.00,,,,,,,,,,,,,,,190.00
"Other 69,000.00",,"(2,520.00)","40,000.00",,,,,,,,,,,,"106,480.00"
Par Against,,"380,967.30","95,002.50","92,750.00","40,767.50",,"10,550.00",,,,,,,,"620,037.30"
Professional Rels,,"5,000.00","42,000.00","5,000.00",,,,,,,,,,,"52,000.00"
"Promotions RX 236,923.70",,"150,000.00",,,,,,,,,,,,,"386,923.70"
Public Affairs,,695.00,,,,,,,,,,,,,695.00
St. Gov Leg  Aff,,,,,"47,190.00","50,190.00","78,880.00","70,000.00","70,000.00","55,000.00","53,465.00","60,000.00","60,000.00",,"544,725.00"
AMERICAN PHARMACISTS ASSN FOUND,,"10,000.00","828,800.00",,"20,000.00",,,,"12,000.00","26,000.00",,,,,"896,800.00"
Conventions,,,"28,800.00",,,,,,,,,,,,"28,800.00"
Medical Ed,,"10,000.00",,,"20,000.00",,,,"12,000.00","26,000.00",,,,,"68,000.00"
Prof Relations,,,"800,000.00",,,,,,,,,,,,"800,000.00"
"AMERICAN PHARMACISTS ASSOCIATION 894,985.00",,"839,999.65",,"1,014,800.00","193,000.00","152,522.00","138,028.00","95,300.00","45,400.00","105,000.00","70,000.00","41,250.00","50,000.00","34,300.00","3,674,584.65"
"Conventions 56,800.00",,"28,800.00",,,,,,,"29,400.00",,,,,"34,300.00","149,300.00"
Executive Admin,,205.00,,,,,,,,,,,,,205.00
Market Strategies,,"750,439.65",,,"42,000.00",,,,,,,,,,"792,439.65"
"Medical Ed 63,000.00",,"59,500.00",,"414,800.00",,"35,300.00","100,000.00","47,500.00",,"20,000.00",,"11,250.00","50,000.00",,"801,350.00"
Merchandise OTC,,,,,,"12,500.00",,,,,,,,,"12,500.00"
"Mkt Intrnt Strt 20,000.00",,,,,,,,,,,,,,,"20,000.00"
Nonclinical Admn 195.00,,205.00,,,,,,,,,,,,,400.00
Pharm Tech 195.00,,850.00,,,,,,,,,,,,,"1,045.00"
"Pharmaceutics 2,550.00",,,,,,,,,,,,,,,"2,550.00"
Professional Rels,,,,"600,000.00",,,,,,,,,,,"600,000.00"
"Promotions RX 752,245.00",,,,,,,,,,,,,,,"752,245.00"
Pur Pharma Fund,,,,,,,,"5,000.00",,,,,,,"5,000.00"
St. Gov Leg  Aff,,,,,"151,000.00","104,722.00","38,028.00","42,800.00","16,000.00","85,000.00","70,000.00","30,000.00",,,"537,550.00"
"AMERICAN PSYCHIATRIC ASSOCIATION 1 ,085.00",,,,,,,,,,,,"2,222.64",,,"3,307.64"
Clinical Rsch 3 485.00,,,,,,,,,,,,,,,485.00
Promotions RX 600.00,,,,,,,,,,,,"2,222.64",,,"2,822.64"
AMERICAN PSYCHIATRIC FOUNDATION,,"1,000.00",,,,,,,,,,,,,"1,000.00"
Prof Relations,,"1,000.00",,,,,,,,,,,,,"1,000.00"
AMERICAN PUBLIC HEALTH ASSOCIATION,,"2,150.00",,,,,,,,,,,,,"2,150.00"
Market Strategies,,"2,150.00",,,,,,,,,,,,,"2,150.00"
"AMERICAN SOC OF  ADDICTION MEDICINE 30,694.40",,"40,970.00","16,350.00","20,120.00","2,500.00",,,,,,,,,,"110,634.40"
